"","Year","ADFG_Station","ADFG_tier","CPT_STD","female_ADFG","female_NBS","NOCrab_ADFG","NOCrab_NBS","other_ADFG","other_NBS","Total_ADFG","Total_NBS"
"1",2017,79,"t1","S",NA,NA,0,0,NA,NA,NA,NA
"2",2017,81,"t1","S",NA,147.363030668089,NA,NA,NA,NA,151.902733641595,73.6815153340444
"3",2017,121,"t2","S",NA,NA,0,0,NA,NA,NA,NA
"4",2017,123,"c","S",151.902733641595,1308.59997948115,NA,NA,151.902733641595,610.679990424538,303.805467283189,174.479997264154
"5",2017,125,"c","S",455.708200924784,891.089682384449,NA,NA,607.610934566378,445.544841192225,455.708200924784,NA
"6",2017,127,"c","S",NA,NA,NA,0,303.805467283189,NA,NA,NA
"7",2017,129,"c","S",151.902733641595,78.6861118933822,NA,NA,NA,NA,303.805467283189,NA
"8",2017,131,"c","S",151.902733641595,NA,NA,NA,NA,NA,303.805467283189,372.57227250085
"9",2017,133,"c","S",NA,76.1744461851152,NA,NA,303.805467283189,NA,2582.34647190711,457.046677110691
"10",2017,135,"O","S",NA,NA,0,NA,NA,NA,NA,430.349664122846
"11",2017,176,"c","S",NA,165.786753472611,NA,NA,151.902733641595,414.466883681527,NA,NA
"12",2017,180,"c","S",151.902733641595,341.836516685895,NA,NA,NA,256.377387514421,NA,940.050420886211
"13",2017,186,"c","S",NA,NA,NA,NA,NA,NA,303.805467283189,81.8096758430671
"14",2019,79,"t1","S",151.902733641595,84.1682968662965,NA,NA,NA,84.1682968662965,NA,84.1682968662965
"15",2019,81,"t1","S",303.805467283189,219.613699502575,NA,NA,NA,73.2045665008583,759.513668207973,658.841098507725
"16",2019,121,"t2","S",NA,NA,NA,0,NA,NA,NA,NA
"17",2019,123,"c","S",151.902733641595,329.002265262847,NA,NA,NA,164.501132631423,NA,82.2505663157117
"18",2019,125,"c","S",NA,NA,NA,0,151.902733641595,NA,NA,NA
"19",2019,127,"c","S",455.708200924784,187.326974269422,NA,NA,455.708200924784,93.6634871347112,NA,280.990461404134
"20",2019,129,"c","S",NA,813.853479028298,0,NA,NA,244.156043708489,NA,976.624174833958
"21",2019,131,"c","S",455.708200924784,1062.86711839064,NA,NA,151.902733641595,81.7590091069725,151.902733641595,1635.18018213945
"22",2019,133,"c","S",151.902733641595,413.738843738948,NA,NA,1367.12460277435,82.7477687477896,2734.2492055487,413.738843738948
"23",2019,135,"O","S",NA,NA,NA,NA,NA,77.1303320584204,NA,1156.95498087631
"24",2019,176,"c","S",NA,NA,0,0,NA,NA,NA,NA
"25",2019,180,"c","S",NA,NA,0,0,NA,NA,NA,NA
"26",2019,186,"c","S",151.902733641595,369.473753360456,NA,NA,NA,NA,1063.31913549116,443.368504032547
"27",2021,79,"t1","S",NA,999.105301202773,NA,NA,NA,NA,NA,NA
"28",2021,81,"t1","S",NA,NA,NA,NA,NA,NA,NA,231.768867724099
"29",2021,121,"t2","S",NA,NA,NA,NA,NA,NA,NA,83.6053642873834
"30",2021,123,"c","S",NA,82.1653933495659,0,NA,NA,NA,NA,NA
"31",2021,125,"c","S",NA,1619.89793960918,NA,NA,NA,NA,303.805467283189,1278.8667944283
"32",2021,127,"c","S",3189.95740647349,1706.96964239839,NA,NA,NA,170.696964239839,1215.22186913276,1365.57571391872
"33",2021,129,"c","S",455.708200924784,1250.08771448797,NA,NA,NA,NA,1063.31913549116,NA
"34",2021,131,"c","S",NA,175.427655345355,NA,NA,NA,NA,151.902733641595,NA
"35",2021,133,"c","S",NA,NA,0,NA,NA,NA,NA,715.79610086776
"36",2021,135,"O","S",NA,NA,NA,NA,NA,NA,NA,80.3993338432795
"37",2021,176,"c","S",NA,847.384019608466,0,NA,NA,NA,NA,84.7384019608466
"38",2021,180,"c","S",151.902733641595,358.706497196978,NA,NA,NA,NA,NA,NA
"39",2021,186,"c","S",NA,2269.75209200213,NA,NA,NA,NA,303.805467283189,2127.892586252
"40",2023,79,"t1","S",455.708200924784,493.748079525699,NA,NA,NA,NA,455.708200924784,NA
"41",2023,81,"t1","S",NA,NA,NA,NA,NA,NA,303.805467283189,673.709576676833
"42",2023,121,"t2","S",NA,NA,NA,NA,NA,NA,NA,84.4116000784353
"43",2023,123,"c","S",NA,413.159425166334,0,NA,NA,NA,NA,165.263770066534
"44",2023,125,"c","S",NA,NA,NA,0,NA,NA,NA,NA
"45",2023,127,"c","S",NA,NA,NA,NA,NA,NA,607.610934566378,78.6744364491111
"46",2023,129,"c","S",NA,79.2003991066512,NA,NA,NA,NA,759.513668207973,158.400798213302
"47",2023,131,"c","S",151.902733641595,573.33217465631,NA,NA,NA,NA,1063.31913549116,81.9045963794728
"48",2023,133,"c","S",NA,NA,NA,NA,NA,NA,607.610934566378,1465.25804228424
"49",2023,135,"O","S",NA,NA,NA,NA,NA,NA,NA,144.929594652214
"50",2023,176,"c","S",NA,NA,0,0,NA,NA,NA,NA
"51",2023,180,"c","S",151.902733641595,330.462440878204,NA,NA,NA,495.693661317306,151.902733641595,82.615610219551
"52",2023,186,"c","S",NA,393.423810843091,NA,NA,NA,NA,2126.63827098232,865.5323838548
