HAULJOIN,VESSEL,CRUISE,HAUL,HAUL_TYPE,PERFORMANCE,START_DATE,START_HOUR,DURATION,DISTANCE_FISHED,NET_WIDTH,NET_MEASURED,NET_HEIGHT,MID_LATITUDE,MID_LONGITUDE,GIS_STATION,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMPERATURE,GEAR_TEMPERATURE,WIRE_LENGTH,GEAR,ACCESSORIES,SUBSAMPLE,AREA_SWEPT_VARIABLE,AREA_SWEPT_FIXED,SPECIES_CODE,SEX,LENGTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,MERUS_LENGTH,CHELA_HEIGHT,DISEASE_CODE,DISEASE_DORSAL,DISEASE_VENTRAL,DISEASE_LEGS,CALCULATED_WEIGHT,WEIGHT,SAMPLING_FACTOR
3685,17,197601,74,3,0,5151976,1800,0.5,2.778,17,N,,58.85,-175.13333,M-28,137,137,-0.7,1.6,412,30,4,7,0.013768899,0.012343413,69323,1,98,2,,,,,,,,,,772.2496996,,1.4286
3685,17,197601,74,3,0,5151976,1800,0.5,2.778,17,N,,58.85,-175.13333,M-28,137,137,-0.7,1.6,412,30,4,7,0.013768899,0.012343413,69323,1,120,2,,,,,,,,,,1448.933185,,1.4286
3685,17,197601,74,3,0,5151976,1800,0.5,2.778,17,N,,58.85,-175.13333,M-28,137,137,-0.7,1.6,412,30,4,7,0.013768899,0.012343413,69323,1,116,2,,,,,,,,,,1304.06991,,1.4286
3750,17,197601,139,3,0,6081976,1200,0.5,2.778,17,N,,59,-173.61667,M-26,117,117,1.3,0.7,320,30,4,7,0.013768899,0.012343413,69323,,,,,,,,,,,,,,,
3752,17,197601,141,3,0,6081976,1700,0.5,2.408,17,N,,59.01667,-174.25,M-27,128,128,1.4,1.4,366,30,4,7,0.011935028,0.010699402,69323,1,132,2,,,,,,,,,,1948.327552,,1
3752,17,197601,141,3,0,6081976,1700,0.5,2.408,17,N,,59.01667,-174.25,M-27,128,128,1.4,1.4,366,30,4,7,0.011935028,0.010699402,69323,1,125,2,,,,,,,,,,1644.88083,,1
4160,19,197601,177,3,0,6131976,500,0.5,2.778,17,N,,59.18333,-172.06667,N-23,82,82,,,274,30,539,7,0.013768899,0.012343413,69323,1,108,2,,,,,,,,,,1044.413812,,1
4161,19,197601,178,3,0,6131976,700,0.5,2.963,17,N,,59.31667,-172.33333,N-24,84,84,,,274,30,539,7,0.014685834,0.013165418,69323,,,,,,,,,,,,,,,
4163,19,197601,180,3,0,6131976,1100,0.5,2.963,17,N,,59.65,-173.1,O-25,93,93,,,274,30,539,7,0.014685834,0.013165418,69323,1,104,2,,,,,,,,,,928.8487342,,1
4163,19,197601,180,3,0,6131976,1100,0.5,2.963,17,N,,59.65,-173.1,O-25,93,93,,,274,30,539,7,0.014685834,0.013165418,69323,1,88,2,,,,,,,,,,552.73709,,1
4166,19,197601,183,3,0,6141976,1500,0.5,2.778,17,N,,59.68333,-173.75,O-26,101,101,,,274,30,539,7,0.013768899,0.012343413,69323,1,144,2,,,,,,,,,,2553.153942,,1
4166,19,197601,183,3,0,6141976,1500,0.5,2.778,17,N,,59.68333,-173.75,O-26,101,101,,,274,30,539,7,0.013768899,0.012343413,69323,1,135,2,,,,,,,,,,2089.235172,,1
4166,19,197601,183,3,0,6141976,1500,0.5,2.778,17,N,,59.68333,-173.75,O-26,101,101,,,274,30,539,7,0.013768899,0.012343413,69323,1,123,2,,,,,,,,,,1564.476714,,1
4166,19,197601,183,3,0,6141976,1500,0.5,2.778,17,N,,59.68333,-173.75,O-26,101,101,,,274,30,539,7,0.013768899,0.012343413,69323,1,124,2,,,,,,,,,,1604.3372,,1
4170,19,197601,187,3,0,6151976,1200,0.5,3.334,17,N,,59.33333,-174.38333,N-27,115,115,,,366,30,539,7,0.016524661,0.014813872,69323,1,103,2,,,,,,,,,,901.3781008,,1
