NOAA_Station,ADFG_Station,Haul ,Haul_rate,Month,Day,Year,Latitude,Longitude,tow_distance_NM,Depth_m,Bottom_Temp,Surface_Temp
,184,1,,8,7,1996,64.3325,-165.3818333,1.4,21.9456,10,
,184,2,r,8,7,1996,64.2985,-165.1815,1.3,18.288,10,
,183,3,,8,7,1996,64.33083333,-164.9993333,1.4,29.2608,8.7,
,182,4,,8,7,1996,64.332,-164.6376667,1.45,14.6304,9.3,
,203,5,,8,7,1996,64.47783333,-164.2551667,1.4,16.4592,9.1,
,202,6,,8,7,1996,64.51066667,-163.8125,1.35,12.8016,10,
,181,7,,8,7,1996,64.3415,-164.1821667,1.3,10.9728,8.7,
,201,8,,8,8,1996,64.49466667,-162.317,1.5,10.9728,12.4,
,176,9,,8,8,1996,64.35516667,-162.2848333,1.4,16.4592,6.5,
,150,10,,8,8,1996,64.18866667,-162.3271667,1.4,16.4592,6.1,
,123,11,,8,8,1996,64.02183333,-162.2955,1.5,14.6304,6.5,
,124,12,,8,8,1996,63.99516667,-162.6461667,1.34,16.4592,7.3,
,151,13,,8,8,1996,64.14333333,-162.6546667,1.47,20.1168,5.9,
,177,14,,8,9,1996,64.34633333,-162.6335,1.39,20.1168,7,
,152,15,,8,9,1996,64.17616667,-163.0131667,1.48,23.7744,6.7,
,125,16,,8,9,1996,64.01033333,-163.0631667,1.7,16.4592,8.1,
,126,17,,8,9,1996,63.99683333,-163.433,1.8,18.288,8.3,
,153,18,,8,9,1996,64.15566667,-163.4478333,1.5,18.288,9.4,
,180,19,,8,9,1996,64.31566667,-163.7946667,1.7,14.6304,10.7,
,179,20,,8,9,1996,64.33733333,-163.4703333,1.6,16.4592,9.5,
,127,21,,8,10,1996,64.00133333,-163.8326667,1.37,16.4592,9.5,
,154,22,,8,10,1996,64.152,-163.8055,1.6,18.288,8.6,
,155,23,,8,10,1996,64.15233333,-164.1311667,1.4,16.4592,9.3,
,128,24,,8,10,1996,63.98016667,-164.151,1.3,14.6304,10.1,
,129,25,,8,10,1996,63.98866667,-164.5803333,1.42,16.4592,9.9,
,130,26,,8,10,1996,63.99116667,-164.955,1.43,14.6304,10.3,
,156,27,,8,10,1996,64.15616667,-164.6531667,1.9,12.8016,9.5,
,157,28,,8,11,1996,64.1645,-164.9531667,1.39,12.8016,10.1,
,158,29,,8,11,1996,64.1655,-165.2915,1.4,16.4592,9.3,
,131,30,,8,11,1996,64.00416667,-165.353,1.37,14.6304,8.8,
,132,31,,8,11,1996,63.99016667,-165.6916667,1.32,18.288,8.4,
,159,32,,8,11,1996,64.14633333,-165.7121667,1.3,18.288,8.6,
,160,33,,8,11,1996,64.16883333,-166.0713333,1.26,20.1168,7.9,
,133,34,,8,11,1996,64.0165,-166.1195,1.2,20.1168,7.5,
,134,35,,8,11,1996,63.996,-166.4653333,1.24,27.432,7,
,161,36,,8,12,1996,64.17866667,-166.4951667,1.26,23.7744,7.1,
,187,37,,8,12,1996,64.31233333,-166.4875,1.36,25.6032,7.3,
,186,38,,8,12,1996,64.33333333,-166.162,1.26,21.9456,7.1,
,185,39,,8,12,1996,64.33416667,-165.7316667,1.31,20.1168,9,
,206,40,,8,13,1996,64.52083333,-166.575,0.3,21.9456,7.6,
,135,41,,8,14,1996,64.00183333,-166.8708333,1.42,31.0896,5.1,
,107,42,,8,14,1996,63.856,-166.5308333,1.27,29.2608,6.2,
,82,43,,8,14,1996,63.6905,-166.457,1.28,25.6032,6.9,
,81,44,,8,14,1996,63.65783333,-166.145,1.26,23.7744,7.3,
,106,45,,8,14,1996,63.817,-166.0818333,1.32,23.7744,7.9,
,80,46,,8,15,1996,63.68466667,-165.7361667,1.21,20.1168,8.2,
,79,47,,8,15,1996,63.68533333,-165.3796667,1.31,16.4592,9.5,
,78,48,,8,15,1996,63.66916667,-164.9993333,1.31,12.8016,10.5,
,103,49,,8,15,1996,63.80016667,-164.945,1.27,14.6304,10.2,
,104,50,,8,15,1996,63.82583333,-165.2866667,1.31,16.4592,9.1,
,105,51,,8,15,1996,63.82983333,-165.7271667,1.41,18.288,8.5,
,131,52,r,8,15,1996,63.9695,-165.3778333,1.21,16.4592,9.9,
,130,53,r,8,15,1996,64.02283333,-165.0266667,1.23,16.4592,10.8,
,153,54,r,8,16,1996,64.16033333,-163.4803333,1.28,18.288,7.6,
,126,55,r,8,16,1996,63.99466667,-163.5178333,1.21,18.288,8.6,
,125,56,r,8,16,1996,63.9815,-163.1906667,1.31,16.4592,8.3,
,124,57,r,8,16,1996,63.99666667,-162.737,1.3,16.4592,9.2,
,151,58,r,8,16,1996,64.14333333,-162.6583333,1.18,20.1168,7.3,
,152,59,r,8,16,1996,64.16416667,-163.061,1.21,23.7744,7.1,
,157,60,r,8,17,1996,64.16516667,-164.9351667,1.27,14.6304,10.6,
,158,61,r,8,17,1996,64.16583333,-165.2976667,1.31,16.4592,10.3,
,159,62,r,8,17,1996,64.15016667,-165.7025,1.32,18.288,9.1,
,132,63,r,8,17,1996,64.007,-165.7608333,1.3,18.288,8.5,
,133,64,r,8,17,1996,63.988,-166.0891667,1.26,20.1168,7.9,
,160,65,r,8,17,1996,64.16766667,-166.0718333,1.27,20.1168,8,
,134,66,r,8,17,1996,63.9995,-166.4721667,1.21,27.432,6.5,
,161,67,r,8,17,1996,64.15033333,-166.5181667,1.21,25.6032,7.8,
,187,68,r,8,17,1996,64.31233333,-166.49,1.27,25.6032,7.5,
,186,69,r,8,18,1996,64.33466667,-166.1673333,1.23,21.9456,9,
,185,70,r,8,18,1996,64.33233333,-165.7603333,1.2,20.1168,10,
,184,71,r,8,18,1996,64.32816667,-165.3981667,1.31,21.9456,10.2,
,183,72,r,8,18,1996,64.333,-164.9863333,1.19,31.0896,10.2,
,134,1,,7,28,1999,64.00183333,-166.5001667,1,27.432,1.3,
,133,2,,7,28,1999,64.00116667,-166.0771667,1,20.1168,1.9,
,132,3,,7,28,1999,64.00233333,-165.0066667,1,16.4592,5.3,
,131,4,,7,29,1999,64.00966667,-165.0025,1.5,14.6304,5.5,
,130,5,,7,29,1999,64.00266667,-164.0093333,1.3,16.4592,4.3,
,129,6,,7,29,1999,64,-164.5928333,1,16.4592,3.7,
,129,7,r,7,29,1999,67.00283333,-164.5835,1,16.4592,3.8,
,128,8,,7,29,1999,64.0025,-164.214,1,14.6304,3.4,
,127,9,,7,29,1999,64.009,-163.8438333,1,16.4592,2.9,
,126,10,,7,29,1999,64.00233333,-163.4466667,1,18.288,3.5,
,125,11,,7,29,1999,64.00416667,-163.0575,1,16.4592,2.8,
,124,12,,7,30,1999,64.00533333,-162.6951667,1,16.4592,2.2,
,123,13,,7,30,1999,64.00733333,-162.3263333,1,14.6304,3.1,
,150,14,,7,30,1999,64.17066667,-162.3121667,1.1,14.6304,6,
,176,15,,7,30,1999,64.33666667,-162.2845,1.4,14.6304,9.1,
,201,16,,7,30,1999,64.49883333,-162.2646667,1.3,9.144,,
,204,17,,7,31,1999,64.50383333,-165.747,0.9,14.6304,8.7,
,186,18,,7,31,1999,64.33483333,-166.1065,0.8,20.1168,5,
,187,19,,8,1,1999,64.33416667,-166.5133333,1.3,23.7744,,
,161,20,,8,1,1999,64.1705,-166.4951667,0.9,23.7744,,
,160,21,,8,1,1999,64.16866667,-166.114,1,18.288,,
,159,22,,8,1,1999,64.16666667,-165.7288333,1.1,16.4592,5.6,
,185,23,,8,1,1999,64.338,-165.749,1,18.288,6.3,
,184,24,,8,2,1999,64.33883333,-165.3511667,1.2,20.1168,5.6,
,184,25,r,8,2,1999,64.338,-165.3228333,1.2,21.9456,5.6,
,158,26,,8,2,1999,64.16766667,-165.3436667,1,0,4.3,
,157,27,,8,2,1999,64.33083333,-164.966,1.2,12.8016,6.1,
,183,28,,8,2,1999,64.33466667,-164.972,0.9,29.2608,6.3,
,183,29,d,8,2,1999,64.34116667,-164.9751667,0.7,31.0896,,
,183,30,r,8,2,1999,64.32983333,-164.9758333,0.8,27.432,6,
,182,31,,8,2,1999,64.33716667,-164.5813333,1,12.8016,8.4,
,182,32,r,8,2,1999,64.34133333,-164.6015,1.2,14.6304,8.2,
,156,33,,8,3,1999,64.17766667,-164.5675,1,12.8016,6.8,
,155,34,,8,3,1999,64.174,-164.1903333,1.2,14.6304,4.5,
,181,35,,8,3,1999,64.33466667,-164.1968333,1,10.9728,8.7,
,203,36,,8,3,1999,64.502,-164.1998333,1.2,14.6304,10.4,
