Year,Haul,Spcode,subsample_w_kg,subsample_n,wholesample_w_kg,wholesample_n
1999,1,10130,0.02,2,,
1999,1,10210,0.24,3,,
1999,1,10260,2.34,5,,
1999,1,10285,0.16,1,,
1999,1,21315,0.12,4,,
1999,1,21370,0.16,1,,
1999,1,21371,2.22,1,,
1999,1,21725,0.04,2,,
1999,1,21735,0.96,7,,
1999,1,40500,2.56,6,,
1999,1,41201,0.36,1,,
1999,1,66045,0.08,7,,
1999,1,66610,0.01,1,,
1999,1,68577,0.58,9,,
1999,1,68580,1.62,51,,
1999,1,69061,0.48,6,,
1999,1,69086,0.8,4,,
1999,1,71010,0.4,1,,
1999,1,71580,0.01,2,,
1999,1,80020,2.98,10,,
1999,1,80594,0.02,1,,
1999,1,81742,20.5,98,,
1999,1,83020,1.75,16,,
1999,1,98082,5.37,27,,
1999,1,98205,0.36,1,,
1999,1,99999,1.28,30,,
1999,2,10210,0.4,6,,
1999,2,10285,0.5,4,,
1999,2,21735,0.12,2,,
1999,2,40500,0.42,3,,
1999,2,66611,0.3,22,,
1999,2,68577,0.06,1,,
1999,2,68580,0.14,7,,
1999,2,69061,0.12,3,,
1999,2,80020,1.16,15,,
1999,2,81742,31.31,249,,
1999,2,83020,0.01,1,,
1999,2,99999,0.01,1,,
1999,3,10210,0.8,11,,
1999,3,10220,,,4.32,4
1999,3,10285,0.66,5,,
1999,3,21371,1.9,5,,
1999,3,21378,0.2,1,,
1999,3,21384,0.12,2,,
1999,3,21725,0.12,4,,
1999,3,21735,3.98,51,,
1999,3,23055,0.24,4,,
1999,3,23808,0.02,1,,
1999,3,40500,0.96,4,,
1999,3,54030,0.01,2,,
1999,3,66611,0.31,26,,
1999,3,69061,0.1,1,,
1999,3,69322,0.86,1,,
1999,3,74000,0.61,4,,
1999,3,80020,3.4,17,,
1999,3,80590,0.31,1,,
1999,3,81742,23,224,,
1999,3,83020,0.79,4,,
1999,3,98000,0.21,1,,
1999,3,99999,0.02,1,,
1999,4,10210,3.7,58,,
1999,4,10220,0.58,1,,
1999,4,10285,4.2,30,,
1999,4,21371,10.2,12,,
1999,4,21384,0.06,1,,
1999,4,21725,0.1,7,,
1999,4,21735,3.1,41,,
1999,4,23055,0.54,5,,
1999,4,41201,0.01,1,,
1999,4,66045,0.01,2,,
1999,4,66530,0.03,16,,
1999,4,66548,0.03,15,,
1999,4,66611,0.92,145,,
1999,4,68580,0.38,11,,
1999,4,68781,0.3,1,,
1999,4,69061,0.01,1,,
1999,4,74000,0.01,1,,
1999,4,80010,2.4,4,,
1999,4,80020,1.4,7,,
1999,4,81742,19,254,,
1999,4,83020,0.9,16,,
1999,4,98000,0.08,1,,
1999,4,99999,0.01,1,,
1999,5,10210,2.5,52,,
1999,5,10220,6.5,11,,
1999,5,10285,3,21,,
1999,5,21384,0.4,4,,
