# ADFG_Crab_1999.csv,,,,,,,,,,,,,
# 1999 Trawl Survey Crab data ,,,,,,,,,,,,,
#  Legal size based on CW,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#,,,,,,,,,,,,,
Year,Haul,ADFG_Station,Sex,Size_mm,Legal,Shell,Other,Clutch,Egg Stage,Egg condition,Egg color,Durometer,JM
1999,3,132,1,103,2,2,,,,,,,
1999,5,130,1,114,2,2,,,,,,,
1999,5,130,1,107,2,2,,,,,,,
1999,5,130,1,103,2,2,,,,,,,
1999,5,130,1,87,1,2,,,,,,,
1999,5,130,1,97,1,2,,,,,,,
1999,6,129,1,117,2,2,,,,,,,
1999,6,129,1,107,2,2,,,,,,,
1999,6,129,1,123,2,2,,,,,,,
1999,6,129,1,111,2,2,,,,,,,
1999,6,129,1,127,2,2,,,,,,,
1999,6,129,1,117,2,2,,,,,,,
1999,6,129,1,101,1,2,,,,,,,
1999,6,129,1,105,2,2,,,,,,,
1999,6,129,1,88,1,2,,,,,,,
1999,6,129,1,99,2,2,,,,,,,
1999,8,128,1,116,2,3,,,,,,,
1999,8,128,1,109,2,2,,,,,,,
1999,8,128,1,99,2,2,,,,,,,
1999,8,128,2,56,1,2,,1,,,,,J
1999,10,126,2,96,1,2,,5,1,1,2,,M
1999,11,125,1,112,2,3,,,,,,,
1999,11,125,1,119,2,3,,,,,,,
1999,11,125,1,123,2,4,,,,,,,
1999,14,150,1,90,1,2,,,,,,,
1999,14,150,1,112,2,3,,,,,,,
1999,14,150,1,138,2,2,,,,,,,
1999,14,150,1,110,2,4,,,,,,,
1999,14,150,1,113,2,2,,,,,,,
1999,18,186,1,106,2,2,,,,,,,
1999,19,187,1,106,2,2,,,,,,,
1999,20,161,2,103,1,2,,5,1,1,2,,M
1999,23,185,1,55,1,2,,,,,,,
1999,23,185,2,51,1,2,,1,,,,,J
1999,23,185,1,51,1,2,,,,,,,
1999,23,185,1,110,2,2,,,,,,,
1999,23,185,1,117,2,2,,,,,,,
1999,23,185,1,114,2,2,,,,,,,
1999,23,185,1,99,1,2,,,,,,,
1999,23,185,1,23,1,2,,,,,,,
1999,24,184,1,109,2,2,,,,,,,
1999,24,184,1,104,2,2,,,,,,,
1999,24,184,1,90,1,2,,,,,,,
1999,24,184,1,101,2,2,,,,,,,
1999,24,184,1,95,1,2,,,,,,,
1999,24,184,1,114,2,2,,,,,,,
1999,24,184,1,111,2,2,,,,,,,
1999,25,184,1,70,1,2,,,,,,,
1999,25,184,1,119,2,2,,,,,,,
1999,25,184,1,41,1,2,,,,,,,
1999,25,184,1,109,2,2,,,,,,,
1999,25,184,1,115,2,3,,,,,,,
1999,25,184,1,98,1,2,,,,,,,
1999,25,184,1,65,1,2,,,,,,,
1999,25,184,1,61,1,2,,,,,,,
1999,25,184,1,114,2,2,,,,,,,
1999,25,184,1,105,2,2,,,,,,,
1999,26,158,1,106,2,2,,,,,,,
1999,27,157,1,112,2,2,,,,,,,
1999,27,157,1,23,1,2,,,,,,,
1999,28,183,1,102,2,2,,,,,,,
1999,28,183,1,112,2,2,,,,,,,
1999,28,183,1,101,1,2,,,,,,,
1999,28,183,1,117,2,2,,,,,,,
1999,28,183,1,104,2,2,,,,,,,
1999,28,183,1,99,1,2,,,,,,,
1999,28,183,1,99,1,2,,,,,,,
1999,28,183,1,103,2,2,,,,,,,
1999,28,183,1,120,2,2,,,,,,,
1999,28,183,1,104,2,2,,,,,,,
1999,28,183,1,68,1,2,,,,,,,
1999,28,183,1,101,2,2,,,,,,,
1999,28,183,1,85,1,2,,,,,,,
1999,28,183,1,107,2,3,,,,,,,
1999,28,183,1,86,1,2,,,,,,,
1999,28,183,1,90,1,2,,,,,,,
1999,28,183,1,111,2,2,,,,,,,
1999,28,183,1,95,1,3,,,,,,,
1999,28,183,2,51,1,2,,1,,,,,J
1999,28,183,1,90,1,2,,,,,,,
1999,28,183,1,87,1,2,,,,,,,
1999,28,183,1,101,1,2,,,,,,,
1999,28,183,1,109,2,2,,,,,,,
1999,28,183,2,64,1,2,,1,,,,,J
1999,28,183,1,104,1,3,,,,,,,
1999,28,183,1,95,1,2,,,,,,,
1999,28,183,2,77,1,2,,5,1,1,2,,M
1999,28,183,1,116,2,2,,,,,,,
1999,30,183,1,98,1,2,,,,,,,
1999,30,183,1,102,2,2,,,,,,,
1999,30,183,1,106,2,2,,,,,,,
1999,30,183,1,68,1,2,,,,,,,
1999,30,183,1,107,2,3,,,,,,,
1999,30,183,2,52,1,2,,1,,,,,J
1999,30,183,1,124,2,2,,,,,,,
1999,30,183,1,100,2,2,,,,,,,
1999,30,183,1,98,1,2,,,,,,,
1999,30,183,1,70,1,2,,,,,,,
1999,30,183,1,104,2,2,,,,,,,
1999,30,183,2,57,1,2,,1,,,,,J
1999,30,183,1,99,1,3,,,,,,,
1999,30,183,1,106,2,2,,,,,,,
1999,30,183,1,102,2,2,,,,,,,
1999,30,183,1,112,2,2,,,,,,,
1999,30,183,1,99,1,3,,,,,,,
1999,30,183,2,67,1,2,,5,1,1,2,,M
1999,30,183,2,83,1,2,,5,1,1,2,,M
1999,30,183,1,122,2,2,,,,,,,
1999,30,183,1,92,1,2,,,,,,,
1999,30,183,1,110,2,2,,,,,,,
1999,30,183,1,102,2,2,,,,,,,
1999,30,183,1,125,2,2,,,,,,,
1999,30,183,1,100,2,2,,,,,,,
1999,30,183,1,115,2,2,,,,,,,
1999,30,183,1,119,2,2,,,,,,,
1999,30,183,1,112,2,2,,,,,,,
1999,30,183,1,98,1,2,,,,,,,
1999,30,183,1,91,1,2,,,,,,,
1999,30,183,1,79,1,2,,,,,,,
1999,30,183,1,100,2,2,,,,,,,
1999,30,183,1,86,1,2,,,,,,,
1999,30,183,1,117,2,2,,,,,,,
1999,30,183,1,96,1,2,,,,,,,
1999,30,183,1,70,1,2,,,,,,,
1999,30,183,1,89,1,2,,,,,,,
1999,30,183,1,100,1,2,,,,,,,
1999,30,183,1,119,2,2,,,,,,,
1999,31,182,1,110,2,2,,,,,,,
1999,31,182,1,98,1,2,,,,,,,
1999,31,182,1,93,1,2,,,,,,,
1999,31,182,2,78,1,2,,5,1,1,2,,M
1999,31,182,1,99,1,2,,,,,,,
1999,31,182,1,85,1,2,,,,,,,
1999,31,182,1,108,2,2,,,,,,,
1999,31,182,1,113,2,2,,,,,,,
1999,31,182,2,78,1,2,,5,1,1,2,,M
1999,31,182,2,81,1,2,,5,1,1,2,,M
1999,31,182,1,105,2,2,,,,,,,
1999,31,182,1,105,2,2,,,,,,,
1999,31,182,2,80,1,2,,5,1,1,2,,M
1999,31,182,1,110,2,2,,,,,,,
1999,31,182,2,83,1,2,,5,1,1,2,,M
1999,31,182,2,88,1,2,,5,1,1,2,,M
1999,32,182,1,98,1,2,,,,,,,
1999,32,182,1,102,1,2,,,,,,,
1999,32,182,1,108,2,2,,,,,,,
1999,32,182,2,87,1,2,,5,1,1,2,,M
1999,32,182,2,79,1,2,,5,1,1,2,,M
1999,32,182,1,98,1,2,,,,,,,
1999,32,182,1,118,2,3,,,,,,,
1999,32,182,1,111,2,3,,,,,,,
1999,32,182,1,91,1,2,,,,,,,
1999,32,182,1,128,2,2,,,,,,,
1999,32,182,1,103,2,2,,,,,,,
1999,32,182,1,93,1,2,,,,,,,
1999,32,182,1,49,1,2,,,,,,,
1999,32,182,1,105,2,2,,,,,,,
1999,32,182,1,112,2,2,,,,,,,
