# ADFG_Crab_2008.csv,,,,,,,,,,,,,
# 2008 Trawl Survey Crab data ,,,,,,,,,,,,,
#  Legal size based on CW,,,,,,,,,,,,,
"#  Female J: Juvenile (no eggs and belly flap not extended fully to coxa), M Mature (with eggs or belly flap extended fully to coxa)",,,,,,,,,,,,,
"# Male:  9: < 76 (pre3), 7: 76-89 (pre2), 5: 90-104 (pre1), 1: 105-115 (recruits), 3: > 115 (post recruits)",,,,,,,,,,,,,
#,,,,,,,,,,,,,
Year,Haul,ADFG_Station,Sex,Size_mm,Legal,Shell,Other,Clutch,Egg Stage,Egg condition,Egg color,Durometer,JM
2008,1,155,1,111,2,3,,,,,,,1
2008,1,155,1,105,2,2,,,,,,,1
2008,1,155,1,131,2,2,,,,,,,3
2008,1,155,2,56,,2,,,,,,,J
2008,1,155,2,23,,2,,,,,,,J
2008,2,126,1,106,2,2,,,,,,,1
2008,2,126,1,112,2,3,,,,,,,1
2008,2,126,1,130,2,3,,,,,,,3
2008,2,126,1,72,1,2,,,,,,,9
2008,2,126,2,64,,2,,3,1,1,2,,M
2008,3,96,1,113,2,3,,,,,,,1
2008,3,96,1,129,2,3,,,,,,,3
2008,3,96,1,129,2,3,,,,,,,3
2008,3,96,1,125,2,3,,,,,,,3
2008,3,96,2,81,,2,,4,1,1,2,,M
2008,3,96,2,71,,2,,4,1,1,2,,M
2008,3,96,1,60,1,2,,,,,,,9
2008,3,96,1,49,1,2,,,,,,,9
2008,3,96,2,48,,2,,,,,,,J
2008,3,96,2,49,,2,,,,,,,J
2008,3,96,2,52,,2,,,,,,,J
2008,4,123,1,130,2,2,,,,,,,3
2008,4,123,1,114,2,2,,,,,,,1
2008,4,123,1,33,1,2,,,,,,,9
2008,4,123,2,30,,2,,,,,,,J
2008,5,122,1,114,2,2,,,,,,,1
2008,5,122,2,40,,2,,,,,,,J
2008,6,95,1,116,2,2,,,,,,,3
2008,6,95,1,109,2,2,,,,,,,1
2008,6,95,1,110,2,2,,,,,,,1
2008,6,95,1,78,1,2,,,,,,,7
2008,6,95,2,77,,2,,4,1,1,2,,M
2008,7,94,1,34,1,2,,,,,,,9
2008,8,121,2,55,,2,,,,,,,J
2008,8,121,2,40,,2,,,,,,,J
2008,9,93,1,120,2,2,,,,,,,3
2008,10,70,2,122,,2,,5,1,1,2,,M
2008,10,70,2,90,,2,,5,1,1,2,,M
2008,10,70,2,84,,2,,4,1,1,2,,M
2008,11,69,1,132,2,3,,,,,,,3
2008,11,69,1,104,2,2,,,,,,,5
2008,12,68,2,68,,2,,,,,,,J
2008,12,68,2,79,,2,,5,1,1,2,,M
2008,13,120,1,81,1,2,,,,,,,7
2008,13,120,1,95,1,2,,,,,,,5
2008,13,120,1,93,1,2,,,,,,,5
2008,14,147,1,112,2,3,,,,,,,1
2008,14,147,1,117,2,3,,,,,,,3
2008,15,150,1,39,1,2,,,,,,,9
2008,15,150,1,54,1,2,,,,,,,9
2008,15,150,1,53,1,2,,,,,,,9
2008,15,150,2,32,,2,,,,,,,J
2008,15,150,2,64,,2,,,,,,,J
2008,16,151,1,114,2,2,,,,,,,1
2008,17,124,1,90,1,2,,,,,,,5
2008,17,124,1,92,1,2,,,,,,,5
2008,17,124,1,95,1,2,,,,,,,5
2008,17,124,1,84,1,2,,,,,,,7
2008,17,124,1,71,1,2,,,,,,,9
2008,17,124,1,75,1,2,,,,,,,9
2008,17,124,1,74,1,2,,,,,,,9
2008,17,124,1,65,1,2,,,,,,,9
2008,17,124,1,56,1,2,,,,,,,9
2008,17,124,1,61,1,2,,,,,,,9
2008,17,124,1,59,1,2,,,,,,,9
2008,17,124,1,50,1,2,,,,,,,9
2008,18,152,1,125,2,2,,,,,,,3
2008,18,152,1,105,2,2,,,,,,,1
2008,18,152,1,111,2,3,,,,,,,3
2008,18,152,1,105,2,2,,,,,,,1
2008,18,152,1,88,1,2,,,,,,,7
2008,18,152,1,82,1,2,,,,,,,7
2008,18,152,1,68,1,2,,,,,,,9
2008,18,152,1,58,1,2,,,,,,,9
2008,19,179,1,23,1,2,,,,,,,9
2008,19,179,1,40,1,2,,,,,,,9
2008,19,179,2,31,,2,,,,,,,J
2008,20,153,2,60,,2,,,,,,,J
2008,20,153,1,34,1,2,,,,,,,9
2008,21,125,1,91,1,2,,,,,,,5
2008,21,125,1,97,1,2,,,,,,,5
2008,21,125,1,85,1,2,,,,,,,7
2008,21,125,1,27,1,2,,,,,,,9
2008,21,125,2,89,,2,,4,1,1,2,,M
2008,22,127,1,65,1,2,,,,,,,9
2008,22,127,2,57,,2,,,,,,,J
2008,23,154,1,95,1,2,,,,,,,5
2008,23,154,1,61,1,2,,,,,,,9
2008,23,154,2,30,,2,,,,,,,J
2008,24,180,1,73,1,2,,,,,,,9
2008,24,180,2,40,,2,,,,,,,J
2008,24,180,2,60,,2,,4,1,1,2,,M
2008,27,181,2,86,,2,,5,1,1,2,,M
2008,28,128,1,68,1,2,,,,,,,9
2008,28,128,1,65,1,2,,,,,,,9
2008,28,128,1,138,2,2,,,,,,,3
2008,29,129,2,67,,2,,,,,,,J
2008,29,129,1,65,1,2,,,,,,,9
2008,29,129,1,64,1,2,,,,,,,9
2008,29,129,1,53,1,2,,,,,,,9
2008,29,129,1,65,1,2,,,,,,,9
2008,29,129,1,52,1,2,,,,,,,9
2008,29,129,1,66,1,2,,,,,,,9
2008,29,129,1,97,1,2,,,,,,,5
2008,29,129,1,84,1,2,,,,,,,7
2008,29,129,1,82,1,2,,,,,,,7
2008,29,129,1,68,1,2,,,,,,,9
2008,29,129,1,138,2,2,,,,,,,3
2008,29,129,1,66,1,2,,,,,,,9
2008,29,129,1,66,1,2,,,,,,,9
2008,29,129,1,59,1,2,,,,,,,9
2008,29,129,1,54,1,2,,,,,,,9
2008,29,129,1,59,1,2,,,,,,,9
2008,29,129,1,86,1,2,,,,,,,7
2008,29,129,1,60,1,2,,,,,,,9
2008,29,129,2,56,,2,,,,,,,J
2008,29,129,2,59,,2,,,,,,,J
2008,29,129,2,54,,2,,,,,,,J
2008,29,129,2,54,,2,,,,,,,J
2008,29,129,2,59,,2,,,,,,,J
2008,29,129,2,57,,2,,,,,,,J
2008,29,129,2,63,,2,,,,,,,J
2008,29,129,2,68,,2,,,,,,,J
2008,29,129,2,62,,2,,,,,,,J
2008,29,129,2,63,,2,,,,,,,J
2008,29,129,2,82,,2,,3,1,3,0,,M
2008,30,156,1,91,1,2,,,,,,,5
2008,30,156,1,90,1,2,,,,,,,5
2008,30,156,1,81,1,2,,,,,,,7
2008,30,156,1,62,1,2,,,,,,,9
2008,30,156,1,60,1,2,,,,,,,9
2008,31,186,1,99,1,3,,,,,,,5
2008,31,186,1,112,2,2,,,,,,,1
2008,31,186,1,102,2,4,,,,,,,5
2008,31,186,1,31,1,2,,,,,,,9
2008,31,186,1,42,1,2,,,,,,,9
2008,31,186,2,36,,2,,,,,,,J
2008,31,186,1,28,1,2,,,,,,,9
2008,36,133,1,93,1,2,,,,,,,5
2008,38,159,2,65,,2,,,,,,,J
2008,38,159,2,66,,2,,,,,,,J
2008,38,159,2,66,,2,,,,,,,J
