Year,Haul,ADFG_Station,Sex,Size_mm,Legal,Shell,Other,Clutch,Egg Stage,Egg condition,Egg color,Durometer
2021,1,184,2,76,,,,5,1,1,5,
2021,1,184,1,102,2,2,,,,,,
2021,1,184,1,95,1,2,,,,,,
2021,1,184,2,87,,,,4,1,1,2,
2021,1,184,1,105,2,2,,,,,,
2021,1,184,2,86,,,,5,1,1,2,
2021,1,184,2,81,,,,3,1,1,2,
2021,1,184,2,85,,,,5,1,1,2,
2021,1,184,1,100,1,2,,,,,,
2021,1,184,1,86,1,2,,,,,,
2021,1,184,2,87,,,,5,1,1,5,
2021,1,184,2,85,,,,5,1,1,2,
2021,1,184,2,73,,,,1,,,,
2021,1,184,2,79,,,,5,1,1,2,
2021,1,184,2,85,,,,4,1,1,2,
2021,1,184,2,98,,,,3,1,1,2,
2021,1,184,1,101,1,2,,,,,,
2021,1,184,2,98,,,,5,1,1,2,
2021,1,184,2,81,,,,4,1,1,2,
2021,1,184,1,96,1,2,,,,,,
2021,1,184,2,90,,,,5,1,1,2,
2021,1,184,2,95,,,,5,1,1,2,
2021,1,184,1,88,1,2,,,,,,
2021,1,184,2,93,,,,5,1,1,2,
2021,1,184,1,96,1,2,,,,,,
2021,1,184,2,84,,,,6,1,1,2,
2021,1,184,2,80,,,,5,1,1,5,
2021,1,184,2,89,,,,5,1,1,2,
2021,1,184,2,79,,,,5,1,1,2,
2021,1,184,2,75,,,,4,1,1,2,
2021,1,184,2,85,,,,5,1,1,3,
2021,1,184,2,76,,,,4,1,1,2,
2021,1,184,2,79,,,,4,1,1,2,
2021,1,184,2,84,,,,4,1,1,2,
2021,1,184,2,77,,,,5,1,1,2,
2021,1,184,1,85,1,2,,,,,,
2021,1,184,1,91,1,2,,,,,,
2021,1,184,2,79,,,,1,,,,
2021,1,184,2,79,,,,3,1,1,2,
2021,1,184,1,94,1,2,,,,,,
2021,1,184,1,105,2,2,,,,,,
2021,1,184,2,88,,,,4,1,1,2,
2021,1,184,1,98,1,2,,,,,,
2021,1,184,2,82,,,,5,1,1,2,
2021,1,184,2,85,,,,5,1,1,2,
2021,1,184,1,91,1,2,,,,,,
2021,1,184,2,76,,,,4,1,1,2,
2021,1,184,2,89,,,,4,1,1,2,
2021,1,184,1,107,2,2,,,,,,
2021,2,185,1,79,1,2,,,,,,
2021,2,185,2,89,,,,4,1,1,2,
2021,2,185,1,108,2,2,,,,,,
2021,2,185,1,107,2,2,,,,,,
2021,2,185,1,81,1,2,,,,,,
2021,2,185,2,79,,,,3,1,1,2,
2021,2,185,1,98,1,2,,,,,,
2021,2,185,1,85,1,2,,,,,,
2021,2,185,1,107,2,2,,,,,,
2021,2,185,1,80,1,2,,,,,,
2021,2,185,1,122,2,2,,,,,,
2021,2,185,1,88,1,2,,,,,,
2021,2,185,1,89,1,2,,,,,,
2021,2,185,1,120,2,2,,,,,,
2021,2,185,1,110,2,2,,,,,,
2021,2,185,1,84,1,2,,,,,,
2021,2,185,1,87,1,2,,,,,,
2021,2,185,1,86,1,2,,,,,,
2021,2,185,1,90,1,2,,,,,,
2021,2,185,1,72,1,2,,,,,,
2021,2,185,1,92,1,2,,,,,,
2021,2,185,2,79,,,,4,1,1,5,
2021,2,185,1,102,1,2,,,,,,
2021,2,185,1,84,1,2,,,,,,
2021,2,185,1,80,1,2,,,,,,
2021,2,185,1,101,1,2,,,,,,
2021,2,185,1,122,2,4,,,,,,
2021,2,185,1,104,2,2,,,,,,
2021,2,185,1,80,1,2,,,,,,
2021,2,185,1,94,1,2,,,,,,
2021,2,185,1,76,1,2,,,,,,
2021,2,185,1,111,2,2,,,,,,
2021,2,185,1,106,2,2,,,,,,
2021,2,185,1,90,1,2,,,,,,
2021,2,185,1,104,2,2,,,,,,
2021,2,185,1,97,1,2,,,,,,
2021,2,185,1,111,2,2,,,,,,
2021,2,185,1,80,1,2,,,,,,
2021,2,185,1,89,1,2,,,,,,
2021,2,185,1,75,1,2,,,,,,
2021,2,185,1,100,1,2,,,,,,
2021,2,185,2,77,,,,1,,,,
2021,2,185,1,130,2,3,,,,,,
2021,2,185,1,79,1,2,,,,,,
2021,2,185,1,105,1,2,,,,,,
2021,2,185,1,78,1,2,,,,,,
2021,2,185,1,108,2,2,,,,,,
2021,2,185,1,73,1,2,,,,,,
2021,2,185,1,113,2,2,,,,,,
2021,2,185,1,76,1,2,,,,,,
2021,2,185,1,82,1,2,,,,,,
2021,2,185,1,112,2,4,,,,,,
2021,2,185,1,106,2,1,,,,,,
2021,2,185,1,68,1,2,,,,,,
2021,2,185,1,71,1,2,,,,,,
2021,2,185,1,99,1,2,,,,,,
2021,2,185,1,118,2,2,,,,,,
2021,2,185,1,108,2,2,,,,,,
2021,2,185,1,117,2,2,,,,,,
2021,2,185,1,100,1,2,,,,,,
2021,2,185,2,76,,,,4,1,1,2,
2021,2,185,1,96,2,2,,,,,,
2021,2,185,1,91,1,2,,,,,,
2021,2,185,1,106,2,2,,,,,,
2021,2,185,1,80,1,2,,,,,,
2021,2,185,1,110,2,2,,,,,,
2021,2,185,1,81,1,2,,,,,,
2021,2,185,1,87,1,2,,,,,,
2021,2,185,1,80,1,2,,,,,,
2021,2,185,1,108,2,2,,,,,,
2021,2,185,1,109,2,2,,,,,,
2021,2,185,1,105,2,2,,,,,,
2021,2,185,1,90,1,2,,,,,,
2021,2,185,1,104,1,2,,,,,,
2021,2,185,1,75,1,2,,,,,,
2021,2,185,1,95,1,2,,,,,,
2021,2,185,1,113,2,2,,,,,,
2021,2,185,1,93,1,2,,,,,,
2021,2,185,1,105,2,2,,,,,,
2021,2,185,1,120,2,2,,,,,,
2021,2,185,2,63,,,,,,,,
2021,2,185,1,90,1,2,,,,,,
2021,2,185,1,83,1,2,,,,,,
2021,2,185,1,78,1,2,,,,,,
2021,2,185,2,81,,,,4,,,2,
2021,2,185,1,98,1,2,,,,,,
2021,2,185,1,73,1,2,,,,,,
2021,2,185,1,108,2,2,,,,,,
2021,2,185,1,70,1,2,,,,,,
2021,2,185,1,101,1,2,,,,,,
2021,2,185,1,107,2,3,,,,,,
2021,2,185,1,91,1,2,,,,,,
2021,2,185,1,87,1,2,,,,,,
2021,2,185,1,89,1,2,,,,,,
2021,2,185,1,97,1,2,,,,,,
2021,2,185,2,65,,,,,,,,
2021,2,185,1,90,1,2,,,,,,
2021,2,185,1,117,2,2,,,,,,
2021,2,185,1,125,2,2,,,,,,
2021,2,185,1,105,2,3,,,,,,
2021,2,185,1,90,1,2,,,,,,
2021,2,185,1,87,1,2,,,,,,
2021,2,185,1,83,1,2,,,,,,
2021,2,185,1,73,1,2,,,,,,
2021,2,185,1,105,2,2,,,,,,
2021,2,185,2,86,,,,4,1,1,5,
2021,3,159,1,105,2,2,,,,,,
2021,3,159,1,112,2,2,,,,,,
2021,3,159,1,78,1,2,,,,,,
2021,3,159,1,85,1,2,,,,,,
2021,3,159,1,68,1,2,,,,,,
2021,5,186,1,135,2,2,,,,,,
2021,5,186,1,82,1,2,,,,,,
2021,6,187,1,74,1,,,,,,,
2021,6,187,2,79,,,,3,1,1,3,
2021,6,187,2,80,,,,4,1,1,2,
2021,7,161,1,88,1,2,,,,,,
2021,10,158,1,113,2,2,,,,,,
2021,10,158,1,112,2,2,,,,,,
2021,10,158,1,104,1,2,,,,,,
2021,10,158,1,93,1,2,,,,,,
2021,11,157,1,99,1,2,,,,,,
2021,11,157,1,89,1,2,,,,,,
2021,11,157,1,84,1,2,,,,,,
2021,11,157,1,91,1,2,,,,,,
2021,11,157,2,89,,,,5,1,1,2,
2021,11,157,1,76,1,2,,,,,,
2021,11,157,2,82,,,,4,1,1,3,
2021,11,157,1,91,1,2,,,,,,
2021,14,155,1,97,1,2,,,,,,
2021,14,155,1,77,1,2,,,,,,
2021,14,155,1,78,1,2,,,,,,
2021,15,128,1,73,1,2,,,,,,
2021,16,129,1,105,2,2,,,,,,
2021,16,129,2,86,,,,5,1,1,2,
2021,16,129,1,96,1,2,,,,,,
2021,16,129,1,88,1,2,,,,,,
2021,16,129,1,101,1,2,,,,,,
2021,16,129,2,82,,,,4,1,1,2,
2021,16,129,1,94,1,2,,,,,,
2021,16,129,1,98,1,2,,,,,,
2021,16,129,2,99,,,,4,1,1,2,
2021,16,129,1,97,1,2,,,,,,
2021,18,154,1,108,2,2,,,,,,
2021,21,151,1,98,1,2,,,,,,
2021,22,150,1,47,1,2,,,,,,
2021,22,150,2,29,,,,,,,,
2021,26,97,1,98,1,2,,,,,,
2021,26,97,2,90,,,,5,1,1,2,
2021,26,97,2,88,,,,4,1,1,2,
2021,27,96,2,92,,,,4,1,1,2,
2021,27,96,2,93,,,,5,1,1,2,
2021,27,96,2,85,,,,5,1,1,2,
2021,27,96,2,83,,,,6,1,1,2,
2021,27,96,2,84,,,,3,1,1,2,
2021,27,96,2,78,,,,5,1,1,2,
2021,27,96,2,83,,,,5,1,1,5,
2021,27,96,1,119,2,2,,,,,,
2021,27,96,2,95,,,,5,1,1,2,
2021,27,96,2,87,,,,5,1,1,2,
2021,27,96,2,80,,,,5,1,1,2,
2021,27,96,2,70,,,,5,1,1,2,
2021,27,96,2,95,,,,4,1,1,2,
2021,27,96,2,89,,,,5,1,1,2,
2021,27,96,2,93,,,,6,1,1,2,
2021,27,96,2,84,,,,5,1,1,2,
2021,29,125,1,67,1,2,,,,,,
2021,29,125,1,94,1,2,,,,,,
2021,31,127,2,88,,,,5,1,1,2,
2021,31,127,1,91,1,3,,,,,,
2021,31,127,2,99,,,,6,1,1,2,
2021,31,127,2,85,,,,4,1,1,2,
2021,31,127,2,74,,,,3,1,1,2,
2021,31,127,2,90,,,,5,1,1,2,
2021,31,127,1,74,1,2,,,,,,
2021,31,127,2,84,,,,4,1,1,2,
2021,31,127,2,72,,,,6,1,1,2,
2021,31,127,2,84,,,,5,1,1,2,
2021,31,127,1,101,1,2,,,,,,
2021,31,127,2,93,,,,4,1,1,2,
2021,31,127,1,85,,,,,,,,
2021,31,127,2,73,,,,4,1,1,3,
2021,31,127,2,88,,,,6,1,1,2,
2021,31,127,2,80,,,,6,1,1,2,
2021,31,127,2,81,,,,6,1,1,2,
2021,31,127,1,77,1,2,,,,,,
2021,31,127,2,77,,,,4,1,1,2,
2021,31,127,1,97,1,2,,,,,,
2021,31,127,2,84,,,,5,1,1,2,
2021,31,127,2,81,,,,4,1,1,3,
2021,31,127,2,74,,,,3,1,1,3,
2021,31,127,2,79,,,,3,1,1,2,
2021,31,127,1,77,1,2,,,,,,
2021,31,127,1,96,1,2,,,,,,
2021,31,127,2,82,,,,5,1,1,2,
2021,31,127,2,76,,,,4,1,1,2,
2021,31,127,2,91,,,,4,1,1,2,
2021,32,132,1,100,1,2,,,,,,
2021,32,132,2,88,,,,5,1,1,3,
2021,33,131,1,84,1,3,,,,,,
2021,37,180,2,78,,,,5,1,1,2,
2021,39,183,1,139,2,4,,,,,,
