# ADFG_Crab_2024.csv,,,,,,,,,,,,,
# 2023 Trawl Survey Crab data ,,,,,,,,,,,,,
#  Legal size based on CW,,,,,,,,,,,,,
"#  Female J: Juvenile (no eggs and belly flap not extended fully to coxa), M Mature (with eggs or belly flap extended fully to coxa)",,,,,,,,,,,,,
"# Male:  9: < 76 (pre3), 7: 76-89 (pre2), 5: 90-104 (pre1), 1: 105-115 (recruits), 3: > 115 (post recruits)",,,,,,,,,,,,,
"# 5 (1): Pre-1 by length but legal so count as recruit,  1 (5): Recruit by length but sublegal; count as pre-1, 1 (3): Recruit by length but postrecruit by age, count as postrecruit.",,,,,,,,,,,,,
Year,Haul,ADFG_Station,Sex,Size_mm,Legal,Shell,Other,Clutch,Egg Stage,Egg condition,Egg color,Durometer,JM
2024,1,184,1,120,2,2,,,,,,,
2024,2,185,1,121,2,3,,,,,,,
2024,2,185,1,108,2,3,,,,,,,
2024,2,185,1,118,2,3,,,,,,,
2024,2,185,1,113,2,3,,,,,,,
2024,2,185,2,98,,,,5,1,1,2,,M
2024,2,185,1,110,2,2,,,,,,,
2024,2,185,1,118,2,3,,,,,,,
2024,2,185,1,126,2,2,,,,,,,
2024,2,185,2,81,,,,3,1,1,2,,M
2024,2,185,1,98,1,2,,,,,,,
2024,2,185,2,22,,,,,,,,,J
2024,3,186,1,121,2,2,,,,,,,
2024,3,186,1,132,2,2,,,,,,,
2024,3,186,1,110,2,2,,,,,,,
2024,3,186,1,118,2,2,,,,,,,
2024,3,186,1,126,2,2,,,,,,,
2024,3,186,1,115,2,3,,,,,,,
2024,3,186,2,79,,,,5,1,1,2,,M
2024,3,186,2,49,,,,,,,,,J
2024,3,186,1,120,2,2,,,,,,,
2024,3,186,1,102,1,2,,,,,,,
2024,3,186,1,99,1,2,,,,,,,
2024,3,186,2,67,,,,,,,,,J
2024,3,186,1,133,2,2,,,,,,,
2024,3,186,2,83,,,,3,1,1,2,,M
2024,3,186,1,122,2,3,,,,,,,
2024,3,186,1,133,2,2,,,,,,,
2024,3,186,1,123,2,2,,,,,,,
2024,3,186,1,114,2,3,,,,,,,
2024,3,186,1,106,2,2,,,,,,,
2024,3,186,1,110,2,3,,,,,,,
2024,3,186,2,79,,,,4,1,1,5,,M
2024,3,186,2,62,,,,,,,,,J
2024,3,186,2,72,,,,5,1,1,2,,M
2024,3,186,1,70,1,2,,,,,,,
2024,3,186,2,56,,,,,,,,,J
2024,4,187,1,120,2,2,,,,,,,
2024,4,187,1,120,2,2,,,,,,,
2024,5,161,1,110,2,3,,,,,,,
2024,6,134,1,122,2,2,,,,,,,
2024,6,134,1,115,2,2,,,,,,,
2024,10,106,1,123,2,2,,,,,,,
2024,10,106,1,94,1,2,,,,,,,
2024,10,106,1,107,2,2,,,,,,,
2024,11,133,1,127,2,2,,,,,,,
2024,12,160,1,130,2,2,,,,,,,
2024,12,160,1,117,2,2,,,,,,,
2024,12,160,1,130,2,2,,,,,,,
2024,13,159,1,134,2,3,,,,,,,
2024,13,159,1,132,2,2,,,,,,,
2024,13,159,1,114,2,2,,,,,,,
2024,13,159,1,127,2,2,,,,,,,
2024,13,159,2,79,,,,1,,,,,M
2024,13,159,1,139,2,3,,,,,,,
2024,13,159,1,128,2,2,,,,,,,
2024,13,159,1,129,2,2,,,,,,,
2024,13,159,1,98,1,2,,,,,,,
2024,13,159,2,67,,,,1,,,,,M
2024,13,159,1,129,2,2,,,,,,,
2024,13,159,1,121,2,3,,,,,,,
2024,14,132,1,126,2,2,,,,,,,
2024,14,132,1,135,2,2,,,,,,,
2024,14,132,1,135,2,2,,,,,,,
2024,14,132,1,115,2,3,,,,,,,
2024,14,132,1,123,2,2,,,,,,,
2024,14,132,1,122,2,2,,,,,,,
2024,14,132,1,104,2,2,,,,,,,
2024,14,132,1,118,2,2,,,,,,,
2024,14,132,1,114,2,2,,,,,,,
2024,14,132,1,97,1,2,,,,,,,
