Haul,Station,Sq.Miles,Distance,Vessel,DateUp,LatDeg,LatMin,LongDeg,LongMin,TowHead,StartHaul,EndHaul,Minutes,DepthMax,DepthMin,DepthAvg,Weather,Scope,Perform,Tempbottom
1,184,100,1.4,0,8/7/1996,64,19.95,165,22.91,91,7:30,7:57,27,13,12,12,811,80,22,10
2,184,100,1.3,0,8/7/1996,64,17.91,165,10.89,289,9:33,10:01,28,10,10,10,811,80,20,10
3,183,100,1.4,0,8/7/1996,64,19.85,164,59.96,79,11:10,11:40,30,16,16,16,811,95,20,8.7
4,182,100,1.45,0,8/7/1996,64,19.92,164,38.26,86,13:28,14:01,33,8,8,8,811,75,20,9.3
5,203,82.8,1.4,0,8/7/1996,64,28.67,164,15.31,61,15:25,15:55,30,9,9,9,811,80,20,9.1
6,202,85.6,1.35,0,8/7/1996,64,30.64,163,48.75,240,17:50,18:20,30,7,7,7,911,75,20,10
7,181,100,1.3,0,8/7/1996,64,20.49,164,10.93,228,20:00,20:30,30,6,6,6,912,75,20,8.7
8,201,91.2,1.5,0,8/8/1996,64,29.68,162,19.02,59,7:26,7:55,29,6,6,6,812,75,20,12.4
9,176,100,1.4,0,8/8/1996,64,21.31,162,17.09,189,9:29,10:02,33,10,9,9,822,85,20,6.5
10,150,100,1.4,0,8/8/1996,64,11.32,162,19.63,175,11:20,11:51,31,9,9,9,923,90,20,6.1
11,123,100,1.5,0,8/8/1996,64,1.31,162,17.73,218,12:58,13:32,34,9,8,8,922,80,20,6.5
12,124,100,1.34,0,8/8/1996,63,59.71,162,38.77,262,14:52,15:24,32,9,9,9,923,95,20,7.3
13,151,100,1.47,0,8/8/1996,64,8.6,162,39.28,325,16:55,17:26,31,11,10,11,922,100,20,5.9
14,177,78.1,1.39,0,8/9/1996,64,20.78,162,38.01,218,6:42,7:12,30,11,11,11,311,100,22,7
15,152,100,1.48,0,8/9/1996,64,10.57,163,0.79,249,8:58,9:32,34,13,13,13,611,100,20,6.7
16,125,100,1.7,0,8/9/1996,64,0.62,163,3.79,219,10:48,11:24,36,9,9,9,711,95,20,8.1
17,126,100,1.8,0,8/9/1996,63,59.81,163,25.98,279,12:21,12:58,37,10,9,10,711,90,20,8.3
18,153,100,1.5,0,8/9/1996,64,9.34,163,26.87,304,14:33,15:09,36,10,10,10,711,100,20,9.4
19,180,100,1.7,0,8/9/1996,64,18.94,163,47.68,330,16:48,17:26,38,8,8,8,821,90,20,10.7
20,179,100,1.6,0,8/9/1996,64,20.24,163,28.22,99,18:46,19:20,34,9,9,9,811,90,20,9.5
21,127,100,1.37,0,8/10/1996,64,0.08,163,49.96,270,6:35,7:06,31,9,9,9,112,90,20,9.5
22,154,100,1.6,0,8/10/1996,64,9.12,163,48.33,335,8:44,9:19,35,11,9,10,121,100,20,8.6
23,155,100,1.4,0,8/10/1996,64,9.14,164,7.87,295,10:31,11:06,35,10,9,9,121,100,20,9.3
24,128,100,1.3,0,8/10/1996,63,58.81,164,9.06,330,12:51,13:18,27,8,8,8,221,85,20,10.1
25,129,100,1.42,0,8/10/1996,63,59.32,164,34.82,0,14:35,15:09,34,10,9,9,221,85,20,9.9
26,130,100,1.43,0,8/10/1996,63,59.47,164,57.3,318,16:18,16:54,36,8,8,8,111,85,20,10.3
27,156,100,1.9,0,8/10/1996,64,9.37,164,39.19,57,18:28,19:12,44,7,7,7,111,85,20,9.5
28,157,100,1.39,0,8/11/1996,64,9.87,164,57.19,277,7:05,7:37,32,8,7,7,111,90,20,10.1
29,158,100,1.4,0,8/11/1996,64,9.93,165,17.49,271,8:29,9:05,36,9,9,9,111,90,20,9.3
30,131,100,1.37,0,8/11/1996,64,0.25,165,21.18,169,10:18,10:48,30,9,8,8,111,90,20,8.8
31,132,100,1.32,0,8/11/1996,63,59.41,165,41.5,297,11:52,12:24,32,10,10,10,111,100,20,8.4
32,159,100,1.3,0,8/11/1996,64,8.78,165,42.73,338,13:40,14:11,31,10,10,10,111,100,20,8.6
33,160,100,1.26,0,8/11/1996,64,10.13,166,4.28,271,15:08,15:41,33,11,11,11,111,100,20,7.9
34,133,100,1.2,0,8/11/1996,64,0.99,166,7.17,159,16:48,17:21,33,12,11,11,111,100,20,7.5
35,134,100,1.24,0,8/11/1996,63,59.76,166,27.92,294,18:35,19:06,31,15,15,15,111,110,20,7
36,161,100,1.26,0,8/12/1996,64,10.72,166,29.71,208,7:03,7:33,30,14,13,13,911,100,20,7.1
37,187,100,1.36,0,8/12/1996,64,18.74,166,29.25,345,8:41,9:11,30,14,13,14,911,100,20,7.3
38,186,100,1.26,0,8/12/1996,64,20,166,9.72,91,10:21,10:52,31,12,12,12,911,100,20,7.1
39,185,100,1.31,0,8/12/1996,64,20.05,165,43.9,93,11:58,12:29,31,11,10,11,911,100,20,9
40,206,100,0.3,0,8/13/1996,64,31.25,166,34.5,305,10:40,10:47,7,12,12,12,922,100,22,7.6
41,135,100,1.42,0,8/14/1996,64,0.11,166,52.25,166,12:09,12:43,34,17,17,17,921,110,20,5.1
42,107,100,1.27,0,8/14/1996,63,51.36,166,31.85,120,14:10,14:41,31,16,16,16,911,110,20,6.2
43,82,100,1.28,0,8/14/1996,63,41.43,166,27.42,174,15:55,16:24,29,14,14,14,911,110,20,6.9
44,81,100,1.26,0,8/14/1996,63,39.47,166,8.7,50,17:35,18:05,30,13,13,13,911,110,20,7.3
45,106,100,1.32,0,8/14/1996,63,49.02,166,4.91,337,19:25,19:58,33,13,13,13,911,1100,20,7.9
46,80,100,1.21,0,8/15/1996,63,41.08,165,44.17,155,8:06,8:36,30,11,11,11,911,100,20,8.2
47,79,100,1.31,0,8/15/1996,63,41.12,165,22.78,131,9:46,10:16,30,9,9,9,912,100,20,9.5
48,78,100,1.31,0,8/15/1996,63,40.15,164,59.96,91,11:24,11:56,32,8,7,7,922,90,20,10.5
49,103,100,1.27,0,8/15/1996,63,48.01,164,56.7,336,13:05,13:35,30,8,8,8,922,80,20,10.2
50,104,100,1.31,0,8/15/1996,63,49.55,165,17.2,277,14:40,15:22,32,9,8,9,922,90,20,9.1
51,105,100,1.41,0,8/15/1996,63,49.79,165,43.63,307,16:31,17:02,31,11,10,10,922,100,20,8.5
52,131,100,1.21,0,8/15/1996,63,58.17,165,22.67,350,18:55,19:25,30,9,9,9,922,90,20,9.9
53,130,100,1.23,0,8/15/1996,64,1.37,165,1.6,139,20:42,21:19,31,9,9,9,912,90,20,10.8
54,153,100,1.28,0,8/16/1996,64,9.62,163,28.82,104,7:10,7:41,31,10,9,10,611,95,20,7.6
55,126,100,1.21,0,8/16/1996,63,59.68,163,31.07,82,9:05,9:34,29,10,10,10,711,95,20,8.6
56,125,100,1.31,0,8/16/1996,63,58.89,163,11.44,38,10:21,10:52,31,9,9,9,511,95,20,8.3
57,124,100,1.3,0,8/16/1996,63,59.8,162,44.22,86,12:06,12:38,32,9,9,9,611,95,20,9.2
58,151,100,1.18,0,8/16/1996,64,8.6,162,39.5,301,13:49,14:19,30,11,11,11,511,110,20,7.3
59,152,100,1.21,0,8/16/1996,64,9.85,163,3.66,252,15:21,15:50,29,13,13,13,511,110,20,7.1
60,157,100,1.27,0,8/17/1996,64,9.91,164,56.11,276,6:52,7:23,31,8,8,8,911,80,20,10.6
61,158,100,1.31,0,8/17/1996,64,9.95,165,17.86,271,8:28,8:57,29,9,9,9,911,90,20,10.3
62,159,100,1.32,0,8/17/1996,64,9.01,165,42.15,319,10:01,10:33,32,10,10,10,711,100,20,9.1
63,132,100,1.3,0,8/17/1996,64,0.42,165,45.65,120,11:58,12:29,31,10,10,10,611,100,20,8.5
64,133,100,1.26,0,8/17/1996,63,59.28,166,5.35,344,13:48,14:19,31,12,11,11,111,100,20,7.9
65,160,100,1.27,0,8/17/1996,64,10.06,166,4.31,268,15:26,15:56,30,11,11,11,111,100,20,8
66,134,100,1.21,0,8/17/1996,63,59.97,166,28.33,297,17:31,17:59,28,15,15,15,111,100,20,6.5
67,161,100,1.21,0,8/17/1996,64,9.02,166,31.09,31,19:01,19:30,29,14,13,14,111,100,20,7.8
68,187,100,1.27,0,8/17/1996,64,18.74,166,29.4,348,20:28,20:59,31,14,13,14,111,100,20,7.5
69,186,100,1.23,0,8/18/1996,64,20.08,166,10.04,97,6:03,6:32,29,12,12,12,111,100,20,9
70,185,100,1.2,0,8/18/1996,64,19.94,165,45.62,96,7:32,8:02,30,11,11,11,111,100,20,10
71,184,100,1.31,0,8/18/1996,64,19.69,165,23.89,107,8:58,9:31,33,12,12,12,111,100,20,10.2
72,183,100,1.19,0,8/18/1996,64,19.98,164,59.18,99,10:36,11:06,30,17,16,17,111,110,20,10.2
,,,,,,,,,,,,,31,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
