Haul,Station,Date,N degrees,N minutes,W degrees,W minutes,Compass heading,Trawl start time,Trawl end time,Trawl total time,Distance towed,Depth min,Depth avg,Depth max,Clouds,Sea,Swell,Scope,Gear perf,Bottom temp
1,134,7/28/1999,64,11,166,3001,90,0,0,30,1,0,15,0,9,1,2,50,20,0
2,133,7/28/1999,64,7,166,463,95,0,0,30,1,0,11,0,1,1,2,55,20,0
3,132,7/28/1999,64,14,165,40,95,0,0,30,1,0,9,0,9,1,2,45,20,0
4,131,7/29/1999,64,58,165,15,20,0,0,30,1.5,0,8,0,8,2,4,50,20,0
5,130,7/29/1999,64,16,164,56,130,0,0,30,1.3,0,9,0,8,2,4,50,20,0
6,129,7/29/1999,64,0,164,3557,160,0,0,30,1,0,9,0,8,2,4,50,20,0
7,129,7/29/1999,67,17,164,3501,160,0,0,30,1,9,9,0,8,2,4,50,20,0
8,128,7/29/1999,64,15,164,1284,160,0,0,30,1,0,8,0,8,2,3,50,20,0
9,127,7/29/1999,64,54,163,5063,160,0,0,30,1,0,9,0,9,2,3,50,20,0
10,126,7/29/1999,64,14,163,2680,90,0,0,30,1,0,10,0,8,2,3,50,20,0
11,125,7/29/1999,64,25,163,345,160,0,0,30,1,0,9,0,9,1,5,50,20,0
12,124,7/30/1999,64,32,162,4171,180,0,0,30,1,,9,0,9,1,2,50,20,0
13,123,7/30/1999,64,44,162,1958,180,0,0,30,1,0,8,0,9,1,2,45,20,0
14,150,7/30/1999,64,1024,162,1873,180,0,0,30,1.1,0,8,0,9,1,2,45,20,0
15,176,7/30/1999,64,2020,162,1707,180,0,0,30,1.4,0,8,0,9,1,2,45,20,0
16,201,7/30/1999,64,2993,162,1588,180,0,0,30,1.3,0,5,0,9,1,2,45,20,0
17,204,7/31/1999,64,3023,165,4482,160,0,0,30,0.9,0,8,0,9,1,3,45,20,0
18,186,7/31/1999,64,2009,166,639,160,0,0,30,0.8,0,11,0,9,2,4,50,20,0
19,187,8/1/1999,64,2005,166,3080,220,0,0,30,1.3,,13,0,9,2,4,60,20,0
20,161,8/1/1999,64,1023,166,2971,165,0,0,30,0.9,0,13,0,9,1,3,60,20,0
21,160,8/1/1999,64,1012,166,684,170,0,0,30,1,0,10,0,9,1,3,55,20,0
