Haul ,Station ,Net,Vessel,Date,N degrees,N minutes,W degrees,W minutes,Compass heading ,Trawl Start,Trawl End,Trawl Total (min),Tow Distance (Km),Tow area (km2),Depth min (m),Depth avg (m),Depth max (m),Clouds,Sea,Swell,Scope (m),Gear perf,Bottom temp (oC)
1,184,1,Peggy Jo,7/27/2002,64,2004,165,2047,140,10:18,10:37,19,1.852,0.022568768,20.1168,21.9456,21.9456,1,1,1,91.44,20,10.06
2,184,1,Peggy Jo,7/27/2002,64,1939,165,1713,165,11:00,11:20,20,1.852,0.022568768,20.1168,21.9456,21.9456,1,1,1,91.44,20,9.81
3,183,1,Peggy Jo,7/27/2002,64,2009,164,5819,90,12:25,12:44,19,1.852,0.022568768,27.432,29.2608,29.2608,1,1,1,137.16,20,9.98
4,183,1,Peggy Jo,7/27/2002,64,1967,164,5662,270,13:20,13:39,19,1.852,0.022568768,25.6032,25.6032,25.6032,1,1,1,129.8448,20,10.24
5,182,1,Peggy Jo,7/27/2002,64,2046,164,3675,50,15:05,15:24,19,1.852,0.022568768,14.6304,14.6304,14.6304,1,1,1,73.152,20,11.85
6,181,1,Peggy Jo,7/27/2002,64,2018,164,1162,90,16:47,17:06,19,1.852,0.022568768,10.9728,10.9728,10.9728,3,1,1,64.008,20,12.26
7,203,1,Peggy Jo,7/27/2002,64,3051,164,998,240,18:22,18:41,19,1.852,0.022568768,16.4592,16.4592,16.4592,7,1,1,91.44,20,11.08
8,202,1,Peggy Jo,7/28/2002,64,3012,163,4747,90,8:01,8:20,19,1.852,0.022568768,12.8016,12.8016,12.8016,1,1,1,64.008,20,11.04
9,180,1,Peggy Jo,7/28/2002,64,2024,163,4767,250,9:40,10:00,20,1.852,0.022568768,14.6304,14.6304,14.6304,1,2,2,82.296,20,11.01
10,179,1,Peggy Jo,7/28/2002,64,1976,163,2671,270,11:16,11:35,19,1.852,0.022568768,16.4592,16.4592,16.4592,1,2,3,91.44,20,10.09
11,201,1,Peggy Jo,7/28/2002,64,2915,162,1630,225,15:38,15:48,10,0.926,0.011284384,10.9728,10.9728,10.9728,1,2,2,54.864,22,14.69
12,201,2,Peggy Jo,7/28/2002,64,2964,162,1583,190,16:53,17:13,20,1.852,0.022568768,10.9728,10.9728,10.9728,1,2,2,54.864,20,14.37
13,176,2,Peggy Jo,7/28/2002,64,2010,162,1717,190,18:19,18:37,18,1.852,0.022568768,14.6304,14.6304,14.6304,5,2,2,82.296,20,9.24
14,150,2,Peggy Jo,7/28/2002,64,1022,162,1921,240,19:55,20:14,19,1.852,0.022568768,12.8016,14.6304,14.6304,6,1,2,73.152,20,9.16
15,123,2,Peggy Jo,7/29/2002,64,11,162,2003,190,8:09,8:28,19,1.852,0.022568768,14.6304,14.6304,14.6304,8,1,2,73.152,20,6.61
16,124,2,Peggy Jo,7/29/2002,63,5987,162,4220,260,9:39,9:59,20,1.852,0.022568768,14.6304,16.4592,16.4592,8,1,2,82.296,20,7.63
17,151,2,Peggy Jo,7/29/2002,64,999,162,4049,270,11:15,11:35,20,1.852,0.022568768,18.288,18.288,18.288,8,1,2,91.44,20,8.43
18,152,2,Peggy Jo,7/29/2002,64,1003,163,315,270,12:45,13:04,19,1.852,0.022568768,21.9456,21.9456,21.9456,8,1,2,109.728,20,7.39
19,125,2,Peggy Jo,7/29/2002,63,5985,163,253,270,14:43,15:02,19,1.852,0.022568768,14.6304,14.6304,16.4592,9,1,2,82.296,20,8.41
20,126,2,Peggy Jo,7/29/2002,64,24,163,2558,270,16:03,16:23,20,1.852,0.022568768,16.4592,16.4592,16.4592,9,1,2,82.296,20,8.08
21,153,2,Peggy Jo,7/29/2002,64,1026,163,2329,270,17:45,18:04,19,1.852,0.022568768,16.4592,16.4592,16.4592,9,1,2,91.44,20,8.07
22,154,2,Peggy Jo,7/29/2002,64,1025,163,4809,280,19:09,19:29,20,1.852,0.022568768,16.4592,16.4592,16.4592,9,1,2,82.296,20,11.23
23,127,2,Peggy Jo,7/30/2002,64,76,163,4962,270,8:16,8:36,20,1.852,0.022568768,14.6304,14.6304,16.4592,9,1,2,82.296,20,9.33
24,128,2,Peggy Jo,7/30/2002,63,5987,164,1226,270,9:42,10:01,19,1.852,0.022568768,12.8016,14.6304,14.6304,9,1,2,73.152,20,x
25,155,2,Peggy Jo,7/30/2002,64,1079,164,992,270,11:25,11:45,20,1.852,0.022568768,14.6304,14.6304,16.4592,9,1,2,82.296,20,x
26,156,2,Peggy Jo,7/30/2002,64,1062,164,3143,270,12:46,13:16,30,2.778,0.033853152,12.8016,12.8016,12.8016,9,1,2,64.008,20,x
27,129,2,Peggy Jo,7/30/2002,64,18,164,3341,270,14:32,15:02,30,2.778,0.033853152,16.4592,16.4592,16.4592,9,1,2,82.296,20,11.23
28,129,1,Peggy Jo,7/30/2002,64,4,164,3370,270,15:28,15:58,30,2.778,0.033853152,16.4592,16.4592,16.4592,9,1,2,82.296,20,9.67
29,130,1,Peggy Jo,7/30/2002,63,5994,164,5390,285,16:49,17:19,30,2.778,0.033853152,14.6304,14.6304,14.6304,9,1,2,73.152,20,9.93
30,157,1,Peggy Jo,7/30/2002,64,915,164,5651,285,18:24,18:54,30,2.778,0.033853152,12.8016,12.8016,12.8016,4,1,2,64.008,20,11.09
31,158,1,Peggy Jo,7/31/2002,64,925,165,1933,320,8:12,8:42,30,2.5928,0.031596276,14.6304,14.6304,14.6304,1,1,2,73.152,20,x
32,131,1,Peggy Jo,7/31/2002,64,116,165,1400,270,10:16,10:46,30,2.4076,0.029339399,14.6304,14.6304,14.6304,1,1,2,73.152,20,x
33,132,1,Peggy Jo,7/31/2002,64,45,165,3803,300,11:50,12:20,30,2.778,0.033853152,16.4592,16.4592,16.4592,1,1,2,82.296,20,5.91
34,159,1,Peggy Jo,7/31/2002,64,861,165,4330,330,13:17,13:47,30,2.5928,0.031596276,16.4592,16.4592,16.4592,1,1,2,82.296,20,7.76
35,185,1,Peggy Jo,7/31/2002,64,1922,165,4546,5,14:54,15:24,30,2.5928,0.031596276,16.4592,18.288,20.1168,1,1,2,82.296,20,10.4
36,204,1,Peggy Jo,7/31/2002,64,2948,165,4389,280,16:36,17:06,30,2.5928,0.031596276,14.6304,14.6304,14.6304,1,1,2,73.152,20,10.82
37,186,1,Peggy Jo,8/1/2002,64,1988,166,646,270,8:10,8:40,30,2.5928,0.031596276,20.1168,20.1168,20.1168,7,1,2,100.584,20,x
38,187,1,Peggy Jo,8/1/2002,64,1962,166,3132,280,9:54,10:24,30,2.4076,0.029339399,23.7744,23.7744,23.7744,8,1,2,118.872,20,1.33
39,161,1,Peggy Jo,8/1/2002,64,994,166,2898,170,11:37,12:07,30,2.5928,0.031596276,23.7744,23.7744,23.7744,9,1,2,118.872,20,1.46
40,160,1,Peggy Jo,8/1/2002,64,872,166,764,0,13:19,13:49,30,2.5928,0.031596276,18.288,20.1168,20.1168,9,2,3,100.584,20,1.7
41,133,1,Peggy Jo,8/1/2002,64,39,166,510,160,15:06,15:36,30,2.5928,0.031596276,20.1168,20.1168,20.1168,8,1,2,100.584,20,1.7
42,134,1,Peggy Jo,8/1/2002,63,5982,166,2682,320,16:50,17:20,30,2.5928,0.031596276,25.6032,25.6032,25.6032,6,2,2,128.016,20,1.6
43,135,1,Peggy Jo,8/1/2002,63,5957,166,5050,320,18:38,19:08,30,2.5928,0.031596276,29.2608,29.2608,29.2608,8,1,2,146.304,20,2.17
44,107,1,Peggy Jo,8/2/2002,63,5022,166,2807,165,8:01,8:31,30,2.5928,0.031596276,27.432,27.432,27.432,9,1,2,137.16,20,2.86
45,82,1,Peggy Jo,8/2/2002,63,4016,166,2794,90,9:39,10:09,30,2.5928,0.031596276,23.7744,23.7744,25.6032,9,1,2,118.872,20,2.42
46,81,1,Peggy Jo,8/2/2002,63,3990,166,680,0,11:08,11:38,30,2.5928,0.031596276,23.7744,23.7744,23.7744,9,1,2,118.872,20,2
47,106,1,Peggy Jo,8/2/2002,63,4918,166,549,0,12:42,13:12,30,2.5928,0.031596276,23.7744,23.7744,23.7744,9,1,2,118.872,20,1.56
