Haul,Station,,,N,N  ,W  ,W  ,N,N  ,W  ,W  ,heading,Trawl  ,Trawl  ,Total,towed,min.,avg.,max.,,,,Scope  ,Gear  ,temp
#,#,Net,Date,degrees,minutes,degrees,minutes,degrees,minutes,degrees,minutes,(true),Start,End,(min.),(N. miles),(fm),(fm),(fm),Clouds,Sea,Swell,(fm),perf,(oC)
1,187,Homer,7/25/2006,64,1866,166,3207,64,1872,166,2996,86,18:54,19:21,27,1,14,14,14,9,1,1,75,20,13.8
2,186,Homer,7/25/2006,64,2429,166,1357,64,2362,166,1189,133,21:10,21:37,26,1,15,17,19,9,1,1,75,20,17
3,185,Homer,7/26/2006,64,2054,165,4522,64,1958,165,4464,165,11:30,11:56,25,1,11,11,12,9,1,1,50,20,11.6
4,185,Homer,7/26/2006,64,2007,165,4519,64,2036,165,4742,286,13:09,13:36,27,1,11,11,11,9,1,1,55,20,10.9
5,184,Homer,7/26/2006,64,1987,165,2100,64,1928,165,1916,126,15:36,16:04,28,1,12,13,13,7,1,2,60,20,12.4
6,183,Homer,7/26/2006,64,1995,164,5799,64,1957,164,5589,112,17:55,18:21,27,1,15,15,16,7,1,2,75,20,15.4
7,182,Homer,7/26/2006,64,2018,164,3418,64,2105,164,3344,20,19:56,20:22,26,1,8,8,8,9,1,2,40,20,7.5
8,181,Homer,7/26/2006,64,2022,164,1234,64,1940,164,1366,215,22:05,22:31,26,1,7,7,7,9,1,2,35,20,6.7
9,180,Homer,7/27/2006,64,2027,163,4765,64,1960,163,4936,228,9:56,10:23,27,1,9,9,9,9,1,2,45,20,9.1
10,179,Homer,7/27/2006,64,2002,163,2623,64,1926,163,2772,220,12:00,12:27,27,1,10,10,10,9,2,2,50,20,9.8
11,153,Homer,7/27/2006,64,1005,163,2696,64,927,163,2557,142,14:22,14:48,26,1,10,10,11,9,2,2,50,20,10.3
12,154,Homer,7/27/2006,64,1008,163,4993,64,959,163,4793,119,16:25,16:52,27,1,10,10,11,9,1,2,50,20,10.2
13,155,Homer,7/27/2006,64,1001,164,1253,64,981,164,1033,102,18:24,18:50,26,1,10,10,10,9,1,2,50,20,9.8
14,156,Homer,7/27/2006,64,1003,164,3544,64,937,164,3375,132,20:31,20:58,27,1,8,8,8,8,1,2,40,20,7.8
15,157,Homer,7/27/2006,64,996,164,5816,64,901,164,5743,161,22:38,23:05,27,1,8,8,8,9,1,2,40,20,7.9
16,204,Homer,7/30/2006,64,3002,165,4476,64,2983,165,4249,101,8:37,9:04,27,1,9,9,9,7,1,2,50,20,8.9
17,186,Homer,7/30/2006,64,2081,166,631,64,1989,166,726,204,11:18,11:44,26,1,12,13,14,7,1,2,75,20,13.1
