Haul,Station,,,N,N  ,W  ,W  ,,N,N  ,W  ,W  ,heading,Trawl  ,Trawl  ,Total,towed,min.,avg.,max.,,,,Scope  ,Gear  ,temp
#,#,Net,Date,degrees,minutes,degrees,minutes,,degrees,minutes,degrees,minutes,(true),Start,End,(min.),(N. miles),(fm),(fm),(fm),Clouds,Sea,Swell,(fm),perf,(oC)
1,155,used'06,7/24/08,64,9.99,164,12.46,,64,9.71,164,10.22,106,18:18,18:46,27.5,1.0,9.5,9.7,10.0,4,1,1,100,20,6.1
2,126,used'06,7/24/08,64,0.02,163,27.97,,64,0.19,163,25.74,81,21:32,21:59,26.2,1.0,9.9,9.9,10.0,4,2,1,100,20,4.0
3,96,used'06,7/25/08,63,49.42,162,18.63,,63,50.08,162,20.30,312,10:59,11:26,26.5,1.0,8.0,8.0,8.1,9,1,2,100,20,5.0
4,123,used'06,7/25/08,63,59.65,162,18.41,,64,0.45,162,19.79,323,13:02,13:30,27.2,1.0,8.9,9.0,9.1,9,2,2,100,20,3.2
5,122,used'06,7/25/08,64,0.97,161,56.96,,64,0.20,161,55.53,141,15:03,15:30,26.2,1.0,8.9,9.0,9.1,9,2,2,100,20,0.7
6,95,used'06,7/25/08,63,50.75,161,58.93,,63,50.05,161,57.36,138,17:08,17:35,27.0,1.0,8.3,8.4,8.5,9,2,2,100,20,2.2
7,94,used'06,7/25/08,63,51.09,161,36.41,,63,50.27,161,35.14,146,19:05,19:32,26.9,1.0,7.5,7.8,8.1,9,1,2,100,20,1.2
8,121,used'06,7/25/08,64,0.33,161,35.70,,63,59.97,161,33.59,111,21:06,21:32,26.5,1.0,8.6,8.7,8.7,9,2,2,100,20,1.0
9,93,used'06,7/26/08,63,49.82,161,12.66,,63,48.96,161,13.85,212,9:15,9:42,27.0,1.0,5.7,5.8,5.9,3,1,2,100,20,5.0
10,70,used'06,7/27/08,63,39.97,161,58.46,,63,39.62,161,57.09,120,9:15,9:35,20.0,0.7,6.4,6.4,6.5,8,1,2,75,26,3.2
11,69,used'06,7/27/08,63,40.28,161,35.92,,63,39.39,161,36.98,208,13:26,13:53,26.1,1.0,6.4,6.5,6.6,3,1,2,50,20,0.7
12,68,new#1,7/27/08,63,39.99,161,13.97,,63,39.81,161,15.49,253,15:40,15:59,19.2,0.7,5.6,5.6,5.6,3,1,2,50,20,2.2
13,120,new#1,7/27/08,63,59.99,161,11.10,,64,0.92,161,10.23,23,18:54,19:20,26.4,1.0,5.1,5.1,5.2,2,1,1,50,20,1.2
14,147,new#1,7/27/08,64,9.17,161,9.42,,64,10.15,161,9.78,351,20:43,21:10,26.8,1.0,4.8,5.0,5.2,2,1,1,50,20,1.4
15,150,new#1,7/28/08,64,10.00,162,18.26,,64,9.92,162,20.54,265,11:28,11:53,25.6,1.0,8.6,8.8,9.0,9,2,2,75,20,2.6
16,151,new#1,7/28/08,64,10.78,162,42.38,,64,10.55,162,40.18,103,13:38,14:06,27.2,1.0,10.5,10.7,10.9,9,2,2,75,20,3.3
17,124,new#1,7/28/08,64,0.03,162,41.86,,63,59.45,162,43.71,234,16:00,16:27,27.1,1.0,9.3,9.3,9.3,9,2,2,75,20,4.8
18,152,new#1,7/28/08,64,10.02,163,3.98,,64,10.57,163,2.06,57,19:10,19:37,27.4,1.0,12.6,12.7,12.8,9,2,2,75,20,4.1
19,179,new#1,7/30/08,64,19.97,163,26.36,,64,19.23,163,27.92,223,8:22,8:49,27.1,1.0,9.9,10.3,10.7,9,2,2,75,20,4.8
20,153,new#1,7/30/08,64,10.08,163,27.06,,64,9.28,163,25.68,142,10:12,10:39,27.3,1.0,10.3,10.5,10.8,9,2,2,75,20,4.0
21,125,new#1,7/30/08,63,59.97,163,5.25,,64,0.11,163,3.01,82,12:32,12:59,27.5,1.0,9.7,9.7,9.7,9,2,2,75,20,4.8
22,127,new#1,7/30/08,64,0.11,163,50.80,,63,59.77,163,48.69,110,15:53,16:20,27.0,1.0,9.1,9.2,9.4,9,2,2,75,20,5.4
