Haul,Haul,,Station,,,,,N,N  ,W  ,W  ,,N,N  ,W  ,W  ,,,heading,Trawl  ,Trawl  ,Total,towed,Speed,min.,avg.,max.,,,,Scope  ,Gear  ,temp*,temp,
#,#,,#,Net,Date,Month ,Day,degrees,minutes,degrees,minutes,,degrees,minutes,degrees,minutes,Lat d,longd,(true),Start,End,(min.),(N. miles),(knots),(fm),(fm),(fm),Clouds,Sea,Swell,(fm),perf,(oC),(oC),Comments
1,1,I15,187,1,7/19,7,19,64,19.25,166,28.57,,64,20.12,166,30.22,64.32083333,-166.4761667,322,7:18,7:44,26.3,1.00,2.28,13.4,13.6,13.8,9,1,2,75,20,na,9.2,
2,2,H15,161,1,7/19,7,19,64,9.24,166,29.51,,64,10.23,166,29.29,64.154,-166.4918333,10,10:00,10:26,25.9,1.00,2.30,13.6,13.9,14.2,9,1,2,75,20,na,6.8,Fog
3,3,G16,135,1,7/19,7,19,63,59.53,166,52.02,,63,58.53,166,51.49,63.99216667,-166.867,174,12:59,13:26,26.4,1.00,2.27,17.0,17.2,17.4,9,2,2,75,20,na,4.4,Dense fog
4,4,G15,134,1,7/19,7,19,64,0.02,166,29.09,,63,59.03,166,28.54,64.00033333,-166.4848333,174,15:05,15:32,26.8,1.00,2.24,15.1,15.3,15.5,9,2,2,75,20,na,6.1,Dense fog
5,5,G14,133,1,7/19,7,19,64,0.00,166,6.19,,64,0.59,166,6.4,64,-166.1031667,354,17:11,17:38,27.4,1.00,2.19,11.6,11.6,11.6,9,2,2,75,20,na,6.9,
6,6,G13,132,1,7/19,7,19,63,59.59,165,44.2,,64,0.52,165,48.25,63.99316667,-165.7366667,332,19:32,20:00,27.2,1.00,2.21,10.2,10.3,10.4,9,1,2,50,20,na,7.1,Requires retow @ 6 legal RKC
7,7,G13,132,1,7/19,7,19,64,0.00,165,44.05,,64,0.53,165,45.09,64,-165.7341667,332,20:47,21:14,27.2,1.00,2.21,10.1,10.1,10.2,9,1,2,50,20,na,7.1,
8,8,F13,105,1,7/20,7,20,63,50.30,165,41.56,,63,49.52,165,43.41,63.83833333,-165.6926667,231,9:36,10:03,27.0,1.00,2.22,10.7,10.8,10.9,3,1,1,50,20,na,7.4,Sticky bottom last half of tow
9,9,F14,106,1,7/20,7,20,63,50.03,166,6.06,,63,50.38,166,7.56,63.83383333,-166.101,306,11:45,12:11,26.6,1.00,2.25,13.7,13.8,14.0,4,1,1,75,20,6.49,6.9,
10,10,F15,107,1,7/20,7,20,63,50.00,166,28.35,,63,50.39,166,30.17,63.83333333,-166.4725,311,13:41,14:09,27.3,1.00,2.20,15.9,16.0,16.0,9,1,1,75,20,4.88,5.6,"Dense fog, NW 5-10 knts"
11,11,E15,82,1,7/20,7,20,63,40.25,166,28.34,,63,41.12,166,29.41,63.67083333,-166.4723333,331,16:04,16:31,27.0,1.00,2.22,14.4,14.5,14.6,7,1,1,75,20,4.61,6.1,Northerly 10 knts
12,12,E14,81,1,7/20,7,20,63,40.50,166,5.41,,63,39.51,166,5.57,63.675,-166.0901667,184,18:07,18:34,26.7,1.00,2.25,13.6,13.7,13.7,7,1,1,75,20,6.08,7.7,
13,13,E13,80,1,7/20,7,20,63,39.83,165,43.43,,63,40.61,165,42.03,63.66383333,-165.7238333,38,20:05,20:32,27.2,1.00,2.20,11.4,11.5,11.5,8,1,1,75,20,7.24,9.2,N 5-10 knts
14,14,E12,79,1,7/21,7,21,63,40.08,165,20.6,,63,41.05,165,20.03,63.668,-165.3433333,14,9:22,9:49,27.3,1.00,2.20,9.2,9.2,9.2,8,1,1,50,20,7.62,9.9,N 5-10 Squalls
15,15,E11,78,1,7/21,7,21,63,39.73,164,58.35,,63,40.50,164,57.9,63.66216667,-164.9725,15,11:20,11:42,21.5,0.80,2.23,7.9,8.0,8.1,8,1,1,50,20,8.78,10.9,"Terminated tow at 0.8nmi, observed unfavorable bottom ahead of vessel, mudded down on haul back; 30 minutes to get net on board."
16,16,F11,103,1,7/21,7,21,63,49.70,164,58.61,,63,50.63,164,57.77,63.82833333,-164.9768333,21,13:21,13:47,26.7,1.00,2.25,8.1,8.1,8.1,8,1,1,45,20,8.67,11.7,"NW 5 knts, soft shallow bottom"
17,17,F12,104,1,7/21,7,21,63,49.67,165,21.25,,63,50.55,165,20.17,63.82783333,-165.3541667,28,15:20,15:46,26.3,1.00,2.28,8.9,9.0,9.1,7,1,1,45,20,7.92,10.5,Soft bottom last half - towed slightly faster; retow @ 5 legal RKC
18,18,F12,104,1,7/21,7,21,63,50.09,165,21.01,,63,51.09,165,20.84,63.83483333,-165.3501667,4,16:51,17:18,26.8,1.00,2.24,9.0,9.0,9.0,7,1,1,45,20,8.06,11.1,Strong ebb current - did not attempt parallel tow
19,19,G12,131,1,7/21,7,21,63,59.94,165,21.85,,64,0.04,165,19.59,63.999,-165.3641667,84,18:42,19:10,27.6,1.00,2.17,8.7,8.8,8.9,7,1,1,45,20,7.68,11.2,
20,20,G11,130,1,7/21,7,21,63,59.93,164,58.41,,63,59.32,164,56.62,63.99883333,-164.9735,128,20:36,21:03,27.1,1.00,2.21,9.0,9.1,9.1,6,1,1,45,20,8.44,11.8,
