Haul,Station,,,N,N  ,W  ,W  ,,N,N  ,W  ,W  ,heading,Trawl  ,Trawl  ,Total,towed,min.,max.,,,,Scope  ,Gear  ,temp,temp*,
#,#,Net,Date,degrees,minutes,degrees,minutes,,degrees,minutes,degrees,minutes,(true),Start,End,(min.),(N. miles),(fm),(fm),Clouds,Sea,Swell,(fm),perf,(oC),(oC),Comments
1,184,1,7/18,64,19.93,165,21.44,,64,20.77,165,22.71,330,11:00,11:27,27,1.0,12.4,12.6,2,1,1,69,20,10.1,10.3,
2,185,1,7/18,64,19.74,165,44.82,,64,20.74,165,45.02,11,14:36,15:06,30,1.0,10.5,11.6,2,2,1,43,20,10.5,10.3,
3,186,1,7/20,64,20.00,166,6.81,,64,19.68,166,9.00,250,9:23,9:52,29,1.0,12.1,12.1,9,1,1,71,20,10.4,8.1,
4,159,1,7/20,64,10.02,165,53.18,,64,9.63,165,55.29,239,11:50,12:18,28,1.0,10.5,10.6,9,1,1,65,20,10.2,7.1,
5,160,1,7/20,64,10.10,166,21.84,,64,9.13,166,22.17,185,14:09,14:39,30,1.0,12.6,12.7,9,1,1,65,20,8.3,5.1,
6,182,1,7/22,64,20.00,164,35.67,,64,20.08,164,33.39,99,9:58,10:27,29,1.0,7.5,7.5,4,1,1,45,20,10.2,10.2,
7,156,1,7/22,64,9.99,164,35.43,,64,10.42,164,33.36,64,12:02,12:32,30,1.0,7.5,7.7,2,1,1,44,20,10.4,9.0,
8,155,1,7/22,64,9.99,164,12.51,,64,9.74,164,10.31,122,14:12,14:41,29,1.0,9.5,10.0,2,1,1,50,20,10.9,6.4,CTD didn't mark
9,127,1,7/22,64,0.02,163,50.08,,63,59.10,163,49.21,167,16:41,17:10,29,1.0,9.0,9.0,2,1,1,45,20,12.0,6.4,
10,126,1,7/22,64,0.01,163,27.32,,64,0.01,163,29.60,272,18:40,19:10,30,1.0,9.7,9.7,2,1,1,50,20,12.2,5.0,
11,125,1,7/22,64,0.01,163,4.66,,64,0.01,163,6.93,270,20:56,21:26,30,1.0,9.1,9.2,2,1,1,45,20,11.7,5.6,
12,124,1,7/23,64,0.02,162,41.68,,63,59.92,162,43.93,263,6:22,6:52,30,1.0,9.4,9.5,9,2,1,45,20,11.9,5.3,
13,123,1,7/23,63,59.99,162,19.14,,64,0.21,162,21.37,270,8:32,9:01,29,1.0,9.0,9.1,9,1,2,44,1,11.9,4.4,"Doors collapsing? Cables were slack, skipper thought due to large waves, reducing our catch"
14,176,1,7/23,64,20.01,162,17.36,,64,19.02,162,17.35,180,12:55,13:25,30,1.0,9.3,9.4,9,1,2,50,1,12.5,4.3,Lots of mud; net cut to remove branch; net torn on stanchion (4-5' tear)
15,150,1,7/24,64,10.00,162,18.23,,64,9.89,162,15.97,110,7:30,7:56,26,1.0,8.7,8.7,8,1,2,44,1,12.0,4.6,"Halfway through, had to increase speed to keep doors from crossing, looked like they were rolled up."
16,151,1,7/24,64,10.00,162,41.12,,64,10.49,162,39.13,79,10:45,11:15,30,1.0,10.6,11.0,5,1,1,69,1,12.2,3.2,Big rock ripped a small hole.
17,152,1,7/24,64,10.02,163,3.96,,64,10.04,163,1.68,105,13:23,13:53,30,1.0,13.0,13.3,5,1,1,69,20,12.2,4.1,
18,153,1,7/24,64,10.02,163,26.86,,64,10.02,163,24.59,106,15:40,16:09,29,1.0,9.8,10.1,3,1,1,50,20,12.0,4.6,
19,154,1,7/24,64,10.01,163,49.7,,64,9.93,163,47.44,113,18:16,18:45,29,1.0,9.6,9.7,2,1,1,50,20,12.6,5.4,"Towed good, looked good, light haul."
20,203,1,7/25,64,29.29,164,11.97,,64,30.00,164,14.26,273,6:28,6:58,30,1.0,9.5,10.0,1,1,1,50,20,10.8,7.2,
21,202,1,7/25,64,30.00,163,48.86,,64,29.64,163,51.03,253,8:45,9:15,30,1.0,7.5,7.8,2,1,1,44,20,10.8,6.2,
22,179,1,7/25,64,19.99,163,26.31,,64,19.99,163,24.03,90,11:28,11:58,30,1.0,9.5,9.9,2,1,1,50,20,11.6,6.5,
23,180,1,7/25,64,19.96,163,49.16,,64,19.26,163,47.55,148,13:40,14:10,30,1.0,8.6,8.7,7,1,1,50,20,12.2,7.4,Skipper says to stay south of center point at this station.
24,181,1,7/25,64,19.99,164,12.28,,64,20.42,164,10.21,100,15:52,16:22,30,1.0,6.9,7.0,9,1,1,44,20,11.3,9.6,
25,128,1,7/25,64,0.00,164,12.84,,64,0.80,164,11.46,63,19:24,19:54,30,1.0,8.3,8.4,5,1,1,45,20,11.6,10.3,
26,129,1,7/26,64,0.00,164,35.45,,64,0.29,164,37.62,282,6:19,6:49,30,1.0,9.6,9.7,8,1,1,45,20,10.3,9.1,
27,130,1,7/26,64,0.00,164,58.19,,63,59.38,164,59.96,238,8:23,8:51,28,1.0,9.0,9.1,8,1,1,45,20,9.0,8.4,
28,131,1,7/26,64,0.01,165,20.85,,64,0.27,165,18.67,93,10:21,10:51,30,1.0,8.7,8.9,8,1,1,45,20,8.3,8.1,
29,157,1,7/26,64,9.99,164,58.24,,64,10.56,164,56.32,90,12:58,13:28,30,1.0,7.7,8.0,9,1,1,43,20,9.8,8.9,
30,158,1,7/26,60,10.01,165,21.09,,64,9.92,165,18.82,116,15:08,15:37,29,1.0,8.9,9.0,9,1,1,45,20,8.6,8.0,
31,187,4,7/28,64,20.01,166,30.11,,64,20.68,166,28.43,73,10:10,10:39,29,1.0,13.7,14.5,9,1,1,75,20,10.2,7.3,
32,161,4,7/28,64,10.00,166,29.56,,64,10.18,166,27.33,101,12:23,12:53,30,1.0,13.3,13.7,6,1,1,75,20,8.1,6.2,
33,135,4,7/28,64,0.02,166,51.82,,64,0.34,166,53.96,292,15:15,15:44,29,1.0,17.0,17.2,8,1,1,75,20,7.1,4.1,
34,134,4,7/28,63,59.99,166,29.01,,63,59.88,166,26.79,116,17:28,17:57,29,1.0,14.9,15.1,4,1,1,75,20,8.1,5.8,
35,133,4,7/28,64,0.01,166,6.31,,64,0.01,166,4.06,116,19:26,19:56,30,1.0,11.6,11.8,2,1,1,75,20,9.0,7.0,
36,132,4,7/29,63,59.99,165,43.59,,64,0.43,165,45.63,284,6:29,6:58,29,1.0,10.1,10.1,1,1,1,50,20,9.1,8.2,
37,105,4,7/29,63,50.01,165,43.35,,63,50.00,165,41.10,121,8:39,9:08,29,1.0,10.6,10.8,1,1,1,50,20,9.0,6.3,
38,104,4,7/29,63,50.01,165,20.77,,63,50.00,165,23.02,262,10:30,10:59,29,1.0,9.1,9.2,1,1,1,45,20,8.8,7.6,
39,103,4,7/29,63,50.00,164,58.18,,63,49.89,165,0.42,264,12:40,13:09,29,1.0,8.0,8.0,1,1,1,45,20,9.6,8.7,
40,78,4,7/29,63,40.00,164,58.21,,63,40.06,164,55.99,111,15:08,15:37,29,1.0,7.3,7.4,1,1,1,50,20,12.3,8.4,2 kt current pulling hard. Trying to stay out of rip seems to help. Turned out clean but light.
41,79,4,7/29,63,39.99,165,20.66,,63,40.37,165,18.60,93,17:06,17:36,30,1.0,8.7,8.7,1,1,1,50,20,12.5,7.5,
42,80,4,7/29,63,40.02,165,42.98,,63,40.35,165,40.89,98,19:11,19:40,29,1.0,11.0,11.4,1,1,1,75,20,11.3,6.2,
43,81,4,7/30,63,39.98,166,5.55,,63,39.23,166,7.02,222,6:26,6:56,30,1.0,13.7,13.7,5,1,1,75,20,8.5,5.1,
44,82,4,7/30,63,39.95,166,28.04,,63,39.26,166,29.66,222,8:29,8:59,30,1.0,14.3,14.3,8,1,1,75,20,9.0,5.1,
45,107,4,7/30,63,49.96,166,28.46,,63,49.07,166,27.48,165,10:43,11:12,29,1.0,15.6,15.7,9,1,1,75,20,9.3,4.8,
46,106,4,7/30,63,49.99,166,5.91,,63,48.99,166,5.82,182,12:45,13:14,29,1.0,13.6,13.6,9,1,1,75,20,10.4,6.2,
47,183,4,7/30,64,19.89,164,57.59,,64,19.54,164,55.45,120,18:55,19:25,30,1.0,14.1,15.6,9,1,1,77,20,13.5,9.0,
