Haul,Station,,,N,N  ,W  ,W  ,N,N  ,W  ,W  ,heading,Trawl  ,Trawl  ,Total,towed,min.,max.,average,,,,Scope  ,Gear  ,temp,temp,temp,
#,#,Net,Date,degrees,minutes,degrees,minutes,degrees,minutes,degrees,minutes,(true),Start,End,(min.),(N. miles),(fm),(fm),(fa),Clouds,Sea,Swell,(fm),perf,(oC),(oC),°C,Comments
1,184,4,7/28,64,20.04,165,21.34,64,20.13,165,23.67,262,1320,1349,29,1.0,12.4,12.6,12.5,9,1,2,69,20,14.1,11.8,11.7,first tow  speed 2.4-2.5
2,185,4,7/28,64,19.98,165,45.15,64,19.99,165,42.85,94,1511,1539,28,1.0,10.8,10.9,10.9,9,1,2,55,20,14.0,11.9,11.6,
3,186,4,7/28,64,19.98,166,07.93,64,20.00,166,05.64,86,1730,1800,30,1.0,11.8,12.2,12.0,9,1,2,71,20,14.0,8.5,8,
4,187,4,7/29,64,20.02,166,30.03,64,19.99,166,27.72,92,0649,0719,30,1.0,13.6,13.7,13.7,9,1,1,75,20,14.0,7.1,6.9,
5,161,4,7/29,64,10.34,166,28.97,64,09.59,166,30.48,213,0848,0918,30,1.0,13.7,13.9,13.8,9,1,1,75,20,9.4,4.9,5,
6,135,4,7/29,64,00.15,166,51.88,63,59.30,166,52.77,191,1119,1149,30,1.0,17.1,17.3,17.2,9,1,1,75,20,9.4,3.5,3.5,
7,134,4,7/29,64,02.11,166,29.43,63,59.44,166,28.00,141,1328,1358,30,1.0,15.1,15.4,15.3,9,1,1,75,20,9.9,3.8,3.7,
8,107,4,7/29,63,50.71,166,28.49,63,49.57,166,28.52,175,1523,1553,30,1.0,15.7,15.9,15.8,8,1,1,75,20,10.0,4.2,4.2,
9,82,4,7/29,63,40.39,166,27.95,63,39.40,166,28.00,180,1718,1747,29,1.0,14.2,14.4,14.3,9,1,1,75,20,9.9,4.6,4.5,
10,81,4,7/29,63,40.00,166,04.55,63,39.99,166,06.80,270,1921,1951,30,1.0,13.4,13.7,13.6,9,1,1,75,20,10.8,8.2,8.2,
11,80,4,7/30,63,40.04,165,42.15,63,39.99,165,44.41,267,0615,0645,30,1.0,11.2,11.6,11.4,9,1,1,75,20,10.4,7.9,7.9,
12,79,4,7/30,63,39.72,165,20.80,63,40.69,165,20.35,10,0825,0855,30,1.0,9.0,9.1,9.1,9,1,1,50,20,10.4,10.1,10.0,
13,78,4,7/30,63,40.00,164,57.36,63,40.07,164,59.61,262,1027,1057,30,1.0,7.7,8.1,7.9,9,1,1,50,20,12.0,11.1,11.1,tow east to west or west to east and net stays clean
14,103,4,7/30,63,50.32,164,58.24,63,49.33,164,58.29,167,1226,1256,30,1.0,8.0,8.1,8.1,9,1,1,45,20,12.9,10.8,11.4,
15,104,4,7/30,63,50.21,165,21.40,63,49.61,165,19.59,126,1424,1455,31,1.0,9,9.1,9.1,9,1,1,45,20,10.9,9.6,9.5,towed at 2-1.9 knots
