Year,Haul,Station,Net,Date,Lat_Deg_Start,Lat_Min_Start,Long_Deg_Start,Long_Min_Start,Lat_Deg_End,Lat_Min_End,Long_Deg_End,Long_Min_End,Compas,Time_Start,Time_End,Tow_dist_NM,Depth_Min_fm,Depth_Max_fm,Depth_Ave_fm,Clouds,Sea,Swell,Scope_fm,Gear_perf,Temp_Surf_C,Temp_Bottom_C,Sal_PSU,Comments
1999,1,134,,7/28/1999,64,0.11,166,30.01,,,,,90,,,1,,,15,9,1,2,50,20,,1.3,,
1999,2,133,,7/28/1999,64,0.07,166,4.63,,,,,95,,,1,,,11,1,1,2,55,20,,1.9,,
1999,3,132,,7/28/1999,64,0.14,165,0.4,,,,,95,,,1,,,9,9,1,2,45,20,,5.3,,
1999,4,131,,7/29/1999,64,0.58,165,0.15,,,,,20,,,1.5,,,8,8,2,4,50,20,,5.5,,
1999,5,130,,7/29/1999,64,0.16,164,0.56,,,,,130,,,1.3,,,9,8,2,4,50,20,,4.3,,
1999,6,129,,7/29/1999,64,0,164,35.57,,,,,160,,,1,,,9,8,2,4,50,20,,3.7,,
1999,7,129,,7/29/1999,67,0.17,164,35.01,,,,,160,,,1,,,9,8,2,4,50,20,,3.8,,
1999,8,128,,7/29/1999,64,0.15,164,12.84,,,,,160,,,1,,,8,8,2,3,50,20,,3.4,,
1999,9,127,,7/29/1999,64,0.54,163,50.63,,,,,160,,,1,,,9,9,2,3,50,20,,2.9,,
1999,10,126,,7/29/1999,64,0.14,163,26.8,,,,,90,,,1,,,10,8,2,3,50,20,,3.5,,
1999,11,125,,7/29/1999,64,0.25,163,3.45,,,,,160,,,1,,,9,9,1,5,50,20,,2.8,,
1999,12,124,,7/30/1999,64,0.32,162,41.71,,,,,180,,,1,,,9,9,1,2,50,20,,2.2,,
1999,13,123,,7/30/1999,64,0.44,162,19.58,,,,,180,,,1,,,8,9,1,2,45,20,,3.1,,
1999,14,150,,7/30/1999,64,10.24,162,18.73,,,,,180,,,1.1,,,8,9,1,2,45,20,,6,,
1999,15,176,,7/30/1999,64,20.2,162,17.07,,,,,180,,,1.4,,,8,9,1,2,45,20,,9.1,,
1999,16,201,,7/30/1999,64,29.93,162,15.88,,,,,180,,,1.3,,,5,9,1,2,45,20,,,,
1999,17,204,,7/31/1999,64,30.23,165,44.82,,,,,160,,,0.9,,,8,9,1,3,45,20,,8.7,,
1999,18,186,,7/31/1999,64,20.09,166,6.39,,,,,160,,,0.8,,,11,9,2,4,50,20,,5,,
1999,19,187,,8/1/1999,64,20.05,166,30.8,,,,,220,,,1.3,,,13,9,2,4,60,20,,,,
1999,20,161,,8/1/1999,64,10.23,166,29.71,,,,,165,,,0.9,,,13,9,1,3,60,20,,,,
1999,21,160,,8/1/1999,64,10.12,166,6.84,,,,,170,,,1,,,10,9,1,3,55,20,,,,
1999,22,159,,8/1/1999,64,10,165,43.73,,,,,170,,,1.1,,,9,9,1,3,50,20,,5.6,,
1999,23,185,,8/1/1999,64,20.28,165,44.94,,,,,170,,,1,,,10,8,1,3,50,20,,6.3,,
1999,24,184,,8/2/1999,64,20.33,465,21.07,,,,,160,,,1.2,,,11,9,1,3,50,20,,5.6,,
1999,25,184,,8/2/1999,64,20.28,165,19.37,,,,,160,,,1.2,,,12,9,1,2,50,20,,5.6,,
1999,26,158,,8/2/1999,64,10.06,165,20.62,,,,,160,,,1,,,0,9,1,2,50,20,,4.3,,
1999,27,157,,8/2/1999,64,19.85,164,57.96,,,,,160,,,1.2,,,7,9,1,2,50,20,,6.1,,
1999,28,183,,8/2/1999,64,20.08,164,58.32,,,,,90,,,0.9,,,16,8,1,2,60,20,,6.3,,
1999,29,183,,8/2/1999,64,20.47,164,58.51,,,,,90,,,0.7,,,17,9,1,2,60,20,,,,
1999,30,183,,8/2/1999,64,19.79,164,58.55,,,,,90,,,0.8,,,15,9,1,2,60,20,,6,,
1999,31,182,,8/2/1999,64,20.23,164,34.88,,,,,45,,,1,,,7,8,1,2,50,20,,8.4,,
1999,32,182,,8/2/1999,64,20.48,164,36.09,,,,,45,,,1.2,,,8,8,1,2,50,20,,8.2,,
1999,33,156,,8/3/1999,64,10.66,164,34.05,,,,,90,,,1,,,7,8,1,2,50,20,,6.8,,
1999,34,155,,8/3/1999,64,10.44,164,11.42,,,,,70,,,1.2,,,8,8,1,2,50,20,,4.5,,
1999,35,181,,8/3/1999,64,20.08,164,11.81,,,,,90,,,1,,,6,8,1,2,45,20,,8.7,,
1999,36,203,,8/3/1999,64,30.12,164,11.99,,,,,90,,,1.2,,,8,7,1,2,45,20,,10.4,,
1999,37,202,,8/3/1999,64,30.1,163,48.48,,,,,90,,,1.1,,,7,7,10,2,45,20,,11,,
1999,38,180,,8/3/1999,64,20.18,163,49.33,,,,,90,,,1.1,,,8,6,1,2,50,20,,7.7,,
1999,39,154,,8/3/1999,64,10.2,163,49.57,,,,,90,,,1,,,8,8,1,2,50,20,,5.4,,
1999,40,179,,8/4/1999,64,20.02,163,26.58,,,,,140,,,0.9,,,9,9,1,3,50,20,,8.4,,
1999,41,153,,8/4/1999,64,10.06,163,25.81,,,,,90,,,1.1,,,10,9,1,3,50,20,,7.5,,
1999,42,153,,8/4/1999,64,10.73,163,25.35,,,,,90,,,1,,,9,9,1,3,50,20,,,,
1999,43,153,,8/4/1999,64,9.68,163,25.25,,,,,90,,,1.1,,,10,9,1,3,50,20,,7.6,,
1999,44,152,,8/4/1999,64,10.4,163,4.58,,,,,110,,,0.9,,,12,9,2,5,50,20,,3.4,,
1999,45,152,,8/4/1999,64,9.89,163,14.94,,,,,110,,,1,,,12,8,1,5,50,20,,3.6,,
1999,46,151,,8/4/1999,64,10.29,162,42.28,,,,,110,,,0.8,,,10,8,2,4,50,20,,3.1,,
1999,47,151,,8/4/1999,64,9.84,162,41.82,,,,,120,,,0.9,,,10,7,1,4,50,20,,3.3,,
