"#  ADF&G 2008 trawl survey Haul data   # Haul_rate : r (retow), d(bad tow)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The survey combined ADFG (1-69)and NSEDC trawls  NSEDC (70-88) Haul numbers were converted to sequntial of ADFG Haul number ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Haul,Station,Haul_rate,Net,Date,Lat_Deg_Start,Lat_Min_Start,Long_Deg_Start,Long_Min_Start,Lat_Deg_End,Lat_Min_End,Long_Deg_End,Long_Min_End,Compas,Time_Start,Time_End,Tow_minutes,Tow_dist_NM,Depth_Min_fm,Depth_Max_fm,Depth_Ave_fm,Clouds,Sea,Swell,Scope_fm,Gear_perf,Temp_Surf_C,Temp_Bottom_C,Sal_PSU,Comments
2008,1,155,,used'06,7/24/2008,64,9.99,164,12.46,64,9.71,164,10.22,106,18:18,18:46,27.5,1,9.5,10,9.7,4,1,1,100,20,,6.1,,
2008,2,126,,used'06,7/24/2008,64,0.02,163,27.97,64,0.19,163,25.74,81,21:32,21:59,26.2,1,9.9,10,9.9,4,2,1,100,20,,4,,
2008,3,96,,used'06,7/25/2008,63,49.42,162,18.63,63,50.08,162,20.3,312,10:59,11:26,26.5,1,8,8.1,8,9,1,2,100,20,,5,,
2008,4,123,,used'06,7/25/2008,63,59.65,162,18.41,64,0.45,162,19.79,323,13:02,13:30,27.2,1,8.9,9.1,9,9,2,2,100,20,,3.2,,
2008,5,122,,used'06,7/25/2008,64,0.97,161,56.96,64,0.2,161,55.53,141,15:03,15:30,26.2,1,8.9,9.1,9,9,2,2,100,20,,0.7,,
2008,6,95,,used'06,7/25/2008,63,50.75,161,58.93,63,50.05,161,57.36,138,17:08,17:35,27,1,8.3,8.5,8.4,9,2,2,100,20,,2.2,,
2008,7,94,,used'06,7/25/2008,63,51.09,161,36.41,63,50.27,161,35.14,146,19:05,19:32,26.9,1,7.5,8.1,7.8,9,1,2,100,20,,1.2,,
2008,8,121,,used'06,7/25/2008,64,0.33,161,35.7,63,59.97,161,33.59,111,21:06,21:32,26.5,1,8.6,8.7,8.7,9,2,2,100,20,,1,,
2008,9,93,,used'06,7/26/2008,63,49.82,161,12.66,63,48.96,161,13.85,212,09:15,09:42,27,1,5.7,5.9,5.8,3,1,2,100,20,,5,,
2008,10,70,,used'06,7/27/2008,63,39.97,161,58.46,63,39.62,161,57.09,120,09:15,09:35,20,0.7,6.4,6.5,6.4,8,1,2,75,26,,3.2,,
2008,11,69,,used'06,7/27/2008,63,40.28,161,35.92,63,39.39,161,36.98,208,13:26,13:53,26.1,1,6.4,6.6,6.5,3,1,2,50,20,,0.7,,
2008,12,68,,new#1,7/27/2008,63,39.99,161,13.97,63,39.81,161,15.49,253,15:40,15:59,19.2,0.7,5.6,5.6,5.6,3,1,2,50,20,,2.2,,
2008,13,120,,new#1,7/27/2008,63,59.99,161,11.1,64,0.92,161,10.23,23,18:54,19:20,26.4,1,5.1,5.2,5.1,2,1,1,50,20,,1.2,,
2008,14,147,,new#1,7/27/2008,64,9.17,161,9.42,64,10.15,161,9.78,351,20:43,21:10,26.8,1,4.8,5.2,5,2,1,1,50,20,,1.4,,
2008,15,150,,new#1,7/28/2008,64,10,162,18.26,64,9.92,162,20.54,265,11:28,11:53,25.6,1,8.6,9,8.8,9,2,2,75,20,,2.6,,
