"#  ADF&G 2011 trawl survey Haul data   # Haul_rate : r (retow), d(bad tow)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Haul,Station,Haul_rate,Net,Date,Lat_Deg_Start,Lat_Min_Start,Long_Deg_Start,Long_Min_Start,Lat_Deg_End,Lat_Min_End,Long_Deg_End,Long_Min_End,Compas,Time_Start,Time_End,Tow_minutes,Tow_dist_NM,Depth_Min_fm,Depth_Max_fm,Depth_Ave_fm,Clouds,Sea,Swell,Scope_fm,Gear_perf,Temp_Surf_C,Temp_Bottom_C,Sal_PSU,Comments
2011,1,187,,1,7/19/2011,64,19.25,166,28.57,64,20.12,166,30.22,322,07:18,07:44,26.3,1,13.4,13.8,13.6,9,1,2,75,20,,9.2,,
2011,2,161,,1,7/19/2011,64,9.24,166,29.51,64,10.23,166,29.29,10,10:00,10:26,25.9,1,13.6,14.2,13.9,9,1,2,75,20,,6.8,,Fog
2011,3,135,,1,7/19/2011,63,59.53,166,52.02,63,58.53,166,51.49,174,12:59,13:26,26.4,1,17,17.4,17.2,9,2,2,75,20,,4.4,,Dense fog
2011,4,134,,1,7/19/2011,64,0.02,166,29.09,63,59.03,166,28.54,174,15:05,15:32,26.8,1,15.1,15.5,15.3,9,2,2,75,20,,6.1,,Dense fog
2011,5,133,,1,7/19/2011,64,0,166,6.19,64,0.59,166,6.4,354,17:11,17:38,27.4,1,11.6,11.6,11.6,9,2,2,75,20,,6.9,,
2011,6,132,,1,7/19/2011,63,59.59,165,44.2,64,0.52,165,48.25,332,19:32,20:00,27.2,1,10.2,10.4,10.3,9,1,2,50,20,,7.1,,Requires retow @ 6 legal RKC
2011,7,132,r,1,7/19/2011,64,0,165,44.05,64,0.53,165,45.09,332,20:47,21:14,27.2,1,10.1,10.2,10.1,9,1,2,50,20,,7.1,,
2011,8,105,,1,7/20/2011,63,50.3,165,41.56,63,49.52,165,43.41,231,09:36,10:03,27,1,10.7,10.9,10.8,3,1,1,50,20,,7.4,,Sticky bottom last half of tow
2011,9,106,,1,7/20/2011,63,50.03,166,6.06,63,50.38,166,7.56,306,11:45,12:11,26.6,1,13.7,14,13.8,4,1,1,75,20,6.49,6.9,,
2011,10,107,,1,7/20/2011,63,50,166,28.35,63,50.39,166,30.17,311,13:41,14:09,27.3,1,15.9,16,16,9,1,1,75,20,4.88,5.6,,"Dense fog, NW 5-10 knts"
2011,11,82,,1,7/20/2011,63,40.25,166,28.34,63,41.12,166,29.41,331,16:04,16:31,27,1,14.4,14.6,14.5,7,1,1,75,20,4.61,6.1,,Northerly 10 knts
2011,12,81,,1,7/20/2011,63,40.5,166,5.41,63,39.51,166,5.57,184,18:07,18:34,26.7,1,13.6,13.7,13.7,7,1,1,75,20,6.08,7.7,,
