Year,Haul,Station,Net,Date,Lat_Deg_Start,Lat_Min_Start,Long_Deg_Start,Long_Min_Start,Lat_Deg_End,Lat_Min_End,Long_Deg_End,Long_Min_End,Compas,Time_Start,Time_End,Tow_dist_NM,Depth_Min_fm,Depth_Max_fm,Depth_Ave_fm,Clouds,Sea,Swell,Scope_fm,Gear_perf,Temp_Surf_C,Temp_Bottom_C,Sal_PSU,Comments,,
2021,1,184,,7/19/2021,64,19.65,165,22.3,64,20.09,165,20.22,70,8:35,8:56,1,11.7,12.6,,6,1,2,36,20,,8.4,,,,
2021,2,185,,7/19/2021,64,20.03,165,43.74,64,20.56,165,46,286,10:45,11:07,1,11.2,11.4,,9,1,2,35,20,,6.4,,,,
2021,3,159,,7/19/2021,64,10.17,165,43.84,64,9.25,165,44.86,190,12:57,13:20,1,10.2,10.4,,9,1,2,33,20,,4.3,,,,
2021,4,160,,7/19/2021,64,9.65,166,6.94,64,10.68,166,6.95,356,15:00,0:00,1,11.5,11.5,,9,1,2,35,20,,2.7,,,,
2021,5,186,,7/19/2021,64,20.06,166,7.43,64,19.09,166,4.94,88,17:00,17:25,1,11.6,12.3,,9,1,2,36,20,,3.2,,,,
2021,6,187,,7/20/2021,64,19.15,166,28.22,64,19.16,166,26.8,120,7:34,7:53,1,13.3,13.8,,9,2,2,40,20,,2.8,,,,
2021,7,161,,7/20/2021,64,9.11,166,28.95,64,8.31,166,27.49,135,9:50,10:13,1,13.4,14,,9,2,3,46,20,,3,,,,
2021,8,134,,7/20/2021,64,0.15,166,28.98,63,59.4,166,29.99,193,11:51,0:00,1,15.2,15.5,,9,2,3,46,20,,3.2,,,,
2021,9,133,,7/20/2021,63,59.9,166,6.6,64,0.88,166,5.2,25,14:27,14:50,1,11.5,12,,9,2,3,36,20,,3.6,,,,
2021,10,158,,7/21/2021,64,9.91,165,21.57,64,10.24,165,19.38,65,16:01,16:25,1,9,9,,9,1,1,27,20,,9,,,,
2021,11,157,,7/21/2021,64,9.99,164,58.8,64,10.2,164,56.52,68,17:49,18:13,1,7.8,8,,8,1,1,25,20,,9,,,,
2021,12,182,,7/21/2022,64,19.84,165,35.86,64,19.24,164,37.6,230,20:12,20:34,1,6.9,7.2,,9,1,1,21,20,,7.5,,,,
2021,13,181,,7/22/2021,64,19.52,164,14.05,64,19.41,164,11.57,63,7:46,8:09,1,6.7,6.8,,7,1,2,20,20,,8.2,,,,
2021,14,155,,7/22/2021,64,10.4,164,13.51,64,9.58,164,11.67,111,9:41,,1,9.2,10,,7,2,3,30,20,,7.2,30.8582,,,
2021,15,128,,7/22/2021,64,0.18,164,13.74,64,59.45,164,11.87,103,11:40,,1,8.2,8.5,,8,2,2,25,2,,5.6,29.7621,,,
2021,16,129,,7/22/2021,64,0.39,164,36.21,64,59.37,164,34.69,105,13:57,,1,9.5,10,,8,2,3,40,20,,7.8,28.9348,,,
2021,17,156,,7/23/2021,64,0.05,164,34.9,64,9.44,164,32.77,102,8:28,8:54,1,8,8,,9,2,3,32,20,,7.2,30.6638,,,
2021,18,154,,7/23/2021,64,9.87,163,52.35,64,9.82,163,49.9,75,11:22,11:45,1,10,10.5,,9,2,2,40,20,,6.4,30.8595,,,
2021,19,153,,7/23/2021,64,9.87,163,28.25,64,10.01,163,25.7,70,13:20,13:45,1,12.5,12.7,,9,1,2,40,20,,4.7,31.6622,,,
2021,20,152,,7/23/2021,64,9.97,163,5.9,,,,,72,15:15,15:30,0.5,12.5,13,,9,1,2,45,23,,4.8,31.864,,,
2021,21,151,,7/23/2021,64,9.87,164,44.42,64,10.04,164,41.79,,17:10,17:34,1,10.5,11.2,,9,1,2,40,20,,4.3,31.5007,,,
2021,22,150,,7/23/2021,64,9.96,162,18.09,64,10.14,162,15.89,70,19:13,19:35,1,8.4,8.4,,9,1,2,30,,,3.9,31.2221,,,
2021,23,176,,7/24/2021,64,19.3,162,18.35,64,19.19,162,20.59,248,8:30,8:53,1,9.5,9.5,,7,1,2,40,20,,5,31.0455,,,
2021,24,123,,7/24/2021,63,59.73,162,17.79,63,59.48,162,20.26,245,11:46,12:10,1,9,9.5,,8,1,2,35,20,,5,31.9896,,,
2021,25,124,,7/24/2021,63,59.58,162,44.49,63,59.88,162,42.05,65,13:48,14:11,1,9.6,9.6,,5,2,2,40,22,,6.4,31.1567,,,
2021,26,97,,7/24/2021,63,50.43,162,42.7,63,50.64,162,41.09,68,16:48,17:12,1,8.4,8.5,,5,1,2,30,20,,4.9,29.7396,,,
2021,27,96,,7/24/2021,63,50.1,162,21.12,63,50.15,162,18.92,74,18:38,19:00,1,7.8,7.8,,5,1,1,32,20,,5.4,29.9357,,,
2021,28,98,,7/25/2021,63,50.96,163,7.62,63,51.73,163,6.02,25,11:06,11:28,1,9,9.2,,9,2,2,35,20,,4.1,29.7933,,,
2021,29,125,,7/25/2021,63,58.9,163,6.22,64,0.08,163,5.63,15,12:42,13:05,1,9,9.5,,9,2,2,38,20,,4.9,30.914,,,
2021,30,126,,7/25/2021,63,59.42,163,29.11,64,0.5,163,28.72,12,14:31,15:03,1,9.9,10,,9,2,3,40,20,,4.8,30.5341,,,
2021,31,127,,7/25/2021,63,59.72,163,51.51,63,0.69,163,52.09,256,16:38,17:00,1,9,9.5,,9,2,2,38,20,,5.8,30.4762,,,
2021,32,132,,8/1/2021,63,59.5,165,44.41,63,59.95,165,42.33,60,10:17,10:40,1,10,10,,9,2,3,40,20,,9.9,30.729,,,
2021,33,131,,8/1/2021,63,59.89,165,22.08,63,59.94,165,19.69,80,12:08,12:31,1,8.9,9.2,,9,2,3,40,20,,10,30.7296,,,
2021,34,130,,8/1/2021,63,59.84,164,58.94,63,59.44,164,56.73,102,14:03,14:25,1,9,9,,9,2,3,40,20,,11.2,30.6491,,,
2021,35,203,,8/3/2021,64,29.81,164,14.94,64,29.68,164,12.88,82,11:09,11:30,1,10.1,10.6,,2,1,2,40,20,,8.3,27.7655,,,
2021,36,202,,8/3/2021,64,29.9,163,50.55,64,59.82,163,48.36,82,13:00,13:21,1,8,8,,9,1,2,30,20,,12,23.0328,,,
2021,37,180,,8/3/2021,64,19.91,163,50.33,64,19.86,163,47.9,84,14:59,15:21,1,8.8,8.8,,2,1,1,40,20,,9.9,25.9134,,,
2021,38,179,,8/3/2021,64,20.07,163,28.14,64,20.11,163,31.27,258,16:42,17:03,1,10,10,,2,1,1,40,20,,8.4,27.283,,,
2021,39,183,,8/3/2021,64,19.52,164,56.61,64,19.48,164,58.77,250,21:30,21:51,1,14.1,14.4,,2,1,2,45,20,,7.1,30.327,,,
