"#  ADF&G 2024 trawl survey Haul data   # Haul_rate : r (retow), d(bad tow)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Haul,Station,Haul_rate,Net,Date,Lat_Deg_Start,Lat_Min_Start,Long_Deg_Start,Long_Min_Start,Lat_Deg_End,Lat_Min_End,Long_Deg_End,Long_Min_End,Compas,Time_Start,Time_End,Tow_minutes,Tow_dist_NM,Depth_Min_fm,Depth_Max_fm,Depth_Ave_fm,Clouds,Sea,Swell,Scope_fm,Gear_perf,Temp_Surf_C,Temp_Bottom_C,Sal_PSU,Comments
2024,1,184,,,7/20/2024,64,33.47,165,41.08,64,34.58,165,44.5,290,1637,1700,23,1,65,68,68,,,,,,,,,
2024,2,185,,,7/20/2024,64,34.24,165,75.18,64,35.53,165,78.26,290,1841,1908,27,1,69,74,70,,,,,,,,,
2024,3,186,,,7/20/2024,64,33.7,166,15.57,64,34.57,166,18.68,270,2109,2132,24,1,76,85,70,,,,,,,,,
2024,4,187,,,7/21/2024,64,33.57,166,52.01,64,33.43,166,57.07,270,804,826,22,1.1,83,83,83,,,,,,,,,
2024,5,161,,,7/21/2024,64,1.68,166,49.93,64,15.34,166,51.94,180,1052,1118,26,1.2,82,84,85,,,,,,,,,
2024,6,134,,,7/21/2024,64,99.37,166,49.81,63,97.66,168,48.81,58,1314,1336,22,1,94,94,94,,,,,,,,,
2024,7,107,,,7/21/2024,63,84.39,166,48.89,63,83.48,166,51.92,210,1525,1547,22,1,16,17,16,,,,,,,,,
2024,8,82,,,7/21/2024,63,66.57,166,45,63,67.07,166,41.18,81,1758,1823,25,1.2,83,84,83,,,,,,,,,
2024,9,81,,,7/21/2024,63,67.98,166,9.57,63,69.91,166,9.11,3,2029,2052,23,1,80,81,80,,,,,,,,,
2024,10,106,,,7/22/2024,63,85.08,166,9.78,63,86.63,166,8.27,17,1044,1107,23,1,82,79,80,,,,,,,,,
2024,11,133,,,7/22/2024,64,0.71,166,10.5,64,1.19,166,13.93,352,1314,1334,20,1,70,72,71,,,,,,,,,
2024,12,160,,,7/22/2024,64,17.07,166,12.28,64,18.77,166,13.97,12,1610,1632,22,1,68,69,68,,,,,,,,,
2024,13,159,,,7/23/2024,64,14.7,165,74.35,64,12.85,165,74.8,180,750,814,24,1,60,61,61,,,,,,,,,
2024,14,132,,,7/26/2024,64,60.25,165,72.22,63,97.61,165,70.56,179,625,648,23,1,10,10.5,10.5,,,,,,,,,
2024,15,105,,,7/26/2024,63,81.3,165,72.54,63,79.86,165,72.19,183,858,921,23,1,61,61,61,,,,,,,,,
2024,16,80,,,7/26/2024,63,67.22,165,70.47,63,67.65,166,66.07,89,1110,1142,22,1,11,11,11,,,,,,,,,
2024,17,79,,,7/26/2024,66,67.13,165,34.88,66,68.73,165,24.74,5,1354,1416,22,1,9,9,9,,,,,,,,,
2024,18,104,,,7/26/2024,63,83.06,165,33.63,63,31.35,165,32.01,127,1602,1624,22,1,9,9,9,,,,,,,,,
2024,19,78,,,7/26/2024,63,67.63,165,0.14,63,67.43,165,96.34,112,1843,1905,22,1,8,8,8,,,,,,,,,
2024,20,103,,,7/27/2024,63,83.23,165,4.06,63,82.46,165,0.89,93,1432,1454,22,1,8,8,8,,,,,,,,,
2024,21,130,,,7/27/2024,63,99.81,165,0.09,63,0.01,164,95.75,90,1712,1735,23,1,8.5,8.8,8.8,,,,,,,,,
