Haul #,Station #,Date,Gross Catch Weight (kg),Tare (kg),Large fish & Debris (kg),Adjusted Net Catch (kg),SubSample Weight (kg),Raising Factor (kg),Remarks
1,134,7/28/1999,705,270,0,435,42.2,10.3,
2,133,7/28/1999,920,270,0,650,37,17.6,
3,132,7/28/1999,475,190,0,285,42.42,6.7,
4,131,7/29/1999,785,570,0,215,53.3,4,
5,130,7/29/1999,315,180,0,135,53.9,2.5,
6,129,7/29/1999,480,140,0,340,56,6.1,
7,129,7/29/1999,495,160,0,335,0,,resample crab only
8,128,7/29/1999,830,170,0,660,40,16.5,
9,127,7/29/1999,787,170,0,617,34.9,17.7,
10,126,7/29/1999,585,325,0,260,43.5,6,
11,125,7/30/1999,340,230,0,110,28,3.9,
12,124,7/30/1999,0,0,0,105,47.8,2.2,
13,123,7/30/1999,0,0,0,146,33.4,4.4,
14,150,7/30/1999,0,0,0,186,48.7,3.8,
15,176,7/30/1999,0,0,0,244,41.4,5.9,
16,201,7/30/1999,0,0,46,332,78.7,4.2,
17,204,7/31/1999,945,200,685,60,54.4,1.1,
18,186,7/31/1999,125,45,0,80,77.8,1,
19,187,8/1/1999,0,0,0,129,128.8,1,
20,161,8/1/1999,0,0,0,80,79.8,1,
21,160,8/1/1999,0,0,0,94,64.1,1.5,
22,159,8/1/1999,0,0,0,73,72.6,1,
23,185,8/1/1999,211,0,10,201,48.2,4.2,
24,184,8/2/1999,273,109,6,158,60.2,2.6,
25,184,8/2/1999,235,52,0,183,0,,resampled crab only
26,158,8/2/1999,275,114,0,161,54.1,3,
27,157,8/2/1999,157,83,0,74,76.1,1,
28,183,8/2/1999,392,121,11,260,38.4,6.8,
29,183,8/2/1999,0,0,0,0,0,,Bad haul
30,183,8/2/1999,255,85,0,170,0,,resampled crab only
31,182,8/2/1999,346,100,13,233,45.1,5.2,
32,182,8/2/1999,534,100,0,434,0,,resampled crab only
33,156,8/3/1999,175,117,0,58,67.1,0.9,
34,155,8/3/1999,257,127,2,128,57.4,2.2,
35,181,8/3/1999,183,98,6,79,89.8,0.9,
36,203,8/3/1999,448,113,10,325,55.8,5.8,
37,202,8/3/1999,380,117,5,258,62.3,4.1,
38,180,8/3/1999,659,106,0,553,55.7,9.9,
39,154,8/3/1999,276,114,0,162,65.8,2.5,
40,179,8/4/1999,195,85,0,110,53,2.1,
41,153,8/4/1999,214,87,0,127,72.3,1.8,
42,153,8/4/1999,0,0,0,0,0,,bad haul
43,153,8/4/1999,245,117,0,128,0,,resampled crab only
44,152,8/4/1999,187,84,0,103,52.6,2,
45,152,8/4/1999,195,82,0,113,3.94,28.7,resampled crab only
46,151,8/4/1999,207,77,0,130,61.6,2.1,
47,151,8/4/1999,200,86,0,114,0,,resampled crab only
48,98,8/5/1999,167,85,0,82,79,1,
49,98,8/5/1999,193,114,0,79,0,,resampled crab only
50,97,8/5/1999,562,95,467,81,80.6,1,Ripped net - use for minimal pop estimate
51,99,8/5/1999,173,86,0,87,85.3,1,
52,100,8/5/1999,410,103,0,307,65.9,4.7,
53,101,8/5/1999,841,128,0,713,72,9.9,
54,102,8/5/1999,445,101,0,344,71.4,4.8,
55,103,8/6/1999,235,87,0,148,67.2,2.2,
56,104,8/6/1999,217,99,6,112,104.7,1.1,
57,105,8/6/1999,245,99,22,124,61.6,2,
58,106,8/6/1999,287,85,18,184,61.9,3,
59,107,8/6/1999,291,105,5,181,65.8,2.8,
60,135,8/6/1999,257,100,22,135,61.5,2.2,
61,162,8/7/1999,0,0,0,0,0,,Destroyed net - lost cod end
62,78,8/7/1999,948,139,0,0,0,,15 mins no crab - ton of mud -tare after washing m
63,78,8/7/1999,0,0,0,0,0,,18 mins no crab - hu8ge mud load breaking web
64,77,8/7/1999,220,111,0,109,54.5,2,
,,,,,,,,,
