2002 Haul Weight,,,,,,,,,,,,,
Haul #,Station #,Net,Date,gross catch in lbs,Gross Catch (kg),tare in lbs,Tare (kg),Large fish & debris (kg),Red King Crab (kg),Adjusted Net Catch (kg),Subsample Weight,Raising factor,Remarks
1,184,1,27-Jul-02,953,432,285,129,7.16,10.50,285,64.11,,
2,184,1,27-Jul-02,1153,523,308,140,3.78,5.83,374,45.68,,retow due to high legal crab catch 
3,183,1,27-Jul-02,3070,1393,320,145,524.0016,40.22,683,52.02,,several rocks
4,183,1,27-Jul-02,1015,460,325,147,25.5,41.17,246,49.35,,retow due to high legal crab catch 
5,182,1,27-Jul-02,750,340,305,138,1.38,2.44,198,46.84,,
6,181,1,27-Jul-02,690,313,270,122,2.58,0.00,188,40.18,,
7,203,1,27-Jul-02,1010,458,349,158,1.7,0.00,298,41.78,,
8,202,1,28-Jul-02,870,395,298,135,2.22,0.00,257,35.16,,
9,180,1,28-Jul-02,1610,730,299,136,2.41,0.10,592,51.34,,
10,179,1,28-Jul-02,708,321,302,137,0,0.02,184,40.58,,
11,201,1,28-Jul-02,0,0,0,0,0,0.00,0,0,,"net damaged, no sample taken"
12,201,2,28-Jul-02,385,175,220,100,0.92,0.00,74,54.2,,put on net #2
13,176,2,28-Jul-02,842,382,233,106,1.3,0.00,275,46.42,,
14,150,2,28-Jul-02,560,254,235,107,0,0.00,147,48.4,,
15,123,2,29-Jul-02,395,179,253,115,0,3.04,61,38.9,,
16,124,2,29-Jul-02,575,261,270,122,2.9,1.01,134,47.65,,
17,151,2,29-Jul-02,565,256,237,108,0,0.98,148,50,,
18,152,2,29-Jul-02,445,202,243,110,0,0.00,92,42.9,,
19,125,2,29-Jul-02,370,168,243,110,0,1.45,56,41,,
20,126,2,29-Jul-02,434,197,228,103,0,3.12,90,42.09,,
21,153,2,29-Jul-02,330,150,235,107,0,3.20,40,47.7,,
22,154,2,29-Jul-02,575,261,235,107,0,0.36,154,52.34,,
23,127,2,30-Jul-02,505,229,235,107,0,2.15,120,48.3,,
24,128,2,30-Jul-02,539,244,240,109,0,0.00,136,42.62,,
25,155,2,30-Jul-02,645,293,245,111,0,0.21,181,46.3,,
26,156,2,30-Jul-02,370,168,230,104,0,0.38,63,47,,
27,129,2,30-Jul-02,570,259,240,109,0,1.56,148,51.96,,
28,129,1,30-Jul-02,1005,456,308,140,0,2.58,314,67.67,,"retow, switched back to net #1, net #2 seems to have performed poorly"
29,130,1,30-Jul-02,980,445,290,132,4.4,3.40,305,61.64,,
30,157,1,30-Jul-02,715,324,295,134,0,6.20,184,49.68,,
31,158,1,31-Jul-02,920,417,300,136,7.1,3.18,271,61.22,,
