2006 Haul Weight,,,,,,,,,,,,,,,
Haul #,Station #,Net,Date,Gross Catch (kg),Tare (kg),Large fish & debris (kg),Red King Crab (kg),Adjusted Net Catch (kg),Subsample Weight,Raising factor,Remarks,,,,
1,187,Homer,25-Jul-06,616,152,0,1.48,463,46,,,,,,
2,186,Homer,25-Jul-06,1374,142,876,55.00,301,54,,,,,,
3,185,Homer,26-Jul-06,270,152,2,20.00,96,whole haul,,,,,,
4,*185*,Homer,26-Jul-06,348,150,0,53.00,145,22,,"retow, 4+ legal red king (but not parallel to haul #3)",,,,
5,184,Homer,26-Jul-06,284,146,0,2.00,136,34,,,,,,
6,183,Homer,26-Jul-06,312,140,3.05,0.57,168,46,,,,,,
7,182,Homer,26-Jul-06,254,138,0,0.65,115,44,,,,,,
8,181,Homer,26-Jul-06,296,146,0,0.00,150,32,,,,,,
9,180,Homer,27-Jul-06,388,152,0,0.62,235,40,,,,,,
10,179,Homer,27-Jul-06,432,148,0,0.00,284,38,,,,,,
11,153,Homer,27-Jul-06,248,142,0.46,0.00,106,22,,,,,,
12,154,Homer,27-Jul-06,296,140,0,0.73,155,40,,,,,,
13,155,Homer,27-Jul-06,238,148,12,1.82,76,34,,,,,,
14,156,Homer,27-Jul-06,210,144,0,1.75,64,22,,,,,,
15,157,Homer,27-Jul-06,212,140,0,2.62,69,42,,,,,,
16,204,Homer,30-Jul-06,476,150,304,0.00,22,whole haul,,Note: whole haul subsample weight sum=better indicator of adjusted nc weight,,,,
17,*186*,Homer,30-Jul-06,318,140,12.55,10.35,155,48,,"retow, didn't tow on center point",,,,
18,161,Homer,30-Jul-06,440,154,0,0.00,286,58,,,,,,
19,134,Homer,30-Jul-06,435,140,0,1.50,294,38,,,,,,
20,135,Homer,30-Jul-06,366,128,67.7,1.00,169,44,,,,,,
21,107,Homer,30-Jul-06,430,142,6.4,0.00,282,66,,,,,,
22,82,Homer,30-Jul-06,440,146,11,0.00,283,22,,,,,,
23,160,Homer,30-Jul-06,366,158,0,12.30,196,48,,,,,,
24,*160*,Homer,31-Jul-06,402,156,0,7.43,239,48,,"retow, 4+ legal red king",,,,
25,133,Homer,31-Jul-06,272,148,0,1.50,123,44,,,,,,
26,106,Homer,31-Jul-06,732,156,0,4.00,572,54,,,,,,
27,81,Homer,31-Jul-06,390,148,0,0.00,242,39,,,,,,
28,80,Homer,31-Jul-06,320,148,0,1.50,171,42,,,,,,
29,105,Homer,31-Jul-06,356,144,0,7.15,205,42,,,,,,
30,*105*,Homer,31-Jul-06,346,144,0,8.00,194,42,,"retow, 4+ legal red king",,,,
31,158,Homer,31-Jul-06,318,136,2.9,1.90,177,42,,,,,,
32,159,Homer,1-Aug-06,356,146,48.8,3.00,158,44,,,,,,
33,132,Homer,1-Aug-06,395,142,19.3,3.00,231,50,,,,,,
34,131,Homer,1-Aug-06,322,152,4.6,1.20,164,44,,,,,,
35,104,Homer,1-Aug-06,396,162,9.3,0.72,224,56,,,,,,
36,79,Homer,1-Aug-06,280,144,14,2.56,119,22,,,,,,
37,78,Homer,1-Aug-06,260,154,0,0.00,106,28,,,,,,
38,103,Homer,1-Aug-06,242,146,12.8,0.45,83,28,,,,,,
39,130,Homer,2-Aug-06,358,142,0,0.00,216,52,,,,,,
40,129,Homer,2-Aug-06,326,152,0,0.00,174,42,,,,,,
41,128,Homer,2-Aug-06,296,154,0,0.00,142,34,,,,,,
42,127,Homer,2-Aug-06,534,148,0,6.32,380,62,,,,,,
43,126,Homer,2-Aug-06,428,150,0,1.80,276,60,,,,,,
44,125,Homer,2-Aug-06,464,158,10,3.44,293,68,,,,,,
45,152,Homer,2-Aug-06,482,142,0,1.64,338,74,,,,,,
46,177,Nome1,3-Aug-06,932,178,719,0.00,35,35,,"Note: whole haul, net ripped, large rocks",,,,
