Haul #,Station #,Net,Date,Gross Catch (kg),Tare (kg),Large Fish & Debris (kg),Red King Crab (kg),Adjusted Net Catch (kg),Subsample Weight,Subsample weight from station catch total,Difference between subsample baskets & species,Raising factor,Remarks
1,184,1,7/18,1080,132,332,10.40,605,62.10,58.53,3.57,9.3,"Muddy weight of baskets was 65.25 kg, rinsed weight was 62.10 kg."
2,185,1,7/18,495,158,10,45.00,282,42.90,45.40,-2.50,6.6,
3,186,1,7/20,873,140,0,147.50,586,48.80,47.70,1.10,12.0,
4,159,1,7/20,595,165,7,3.70,420,35.00,34.60,0.40,12.0,
5,160,1,7/20,457,155,0,0.00,302,38.25,38.70,-0.45,7.9,
6,182,1,7/22,219,120,0,0.00,99,99.00,120.40,-21.40,1.0,WHOLE HAUL
7,156,1,7/22,187,132,0,2.30,53,53.00,85.60,-32.60,1.0,WHOLE HAUL
8,155,1,7/22,443,135,0,2.82,305,45.95,45.30,0.65,6.6,
9,127,1,7/22,326,138,0,6.20,182,50.83,50.60,0.23,3.6,
10,126,1,7/22,349,160,0,8.10,181,39.95,39.10,0.85,4.5,
11,125,1,7/22,538,135,0,6.31,397,54.10,52.10,2.00,7.3,
12,124,1,7/23,420,136,0,3.95,280,48.25,46.00,2.25,5.8,
13,123,1,7/23,273,136,0,0.00,137,42.45,42.00,0.45,3.2,
14,176,1,7/23,908,193,10,20.10,685,55.00,50.90,4.10,10.3,"Muddy weight of baskets was 66.5 kg, rinsed weight was 55 kg."
15,150,1,7/24,216,122,0,2.53,91,36.05,33.10,2.95,2.5,Doors almost crossed so skipper had to speed up.
16,151,1,7/24,none,none,boulder,3.96,none,none,18.90,none,none,No weight due to huge boulder; took representative sample.
17,152,1,7/24,390,135,38,0.04,217,47.75,46.20,1.55,4.5,
18,153,1,7/24,240,120,0,0.28,120,39.60,38.60,1.00,3.0,
19,154,1,7/24,176,103,0,0.62,72,72.00,73.20,-1.20,1.0,WHOLE HAUL
20,203,1,7/25,469,136,0,0.59,332,54.00,52.90,1.10,6.2,
21,202,1,7/25,455,150,0,0.69,304,50.90,52.00,-1.10,6.0,
22,179,1,7/25,643,135,0,4.10,504,56.00,53.40,2.60,9.0,
23,180,1,7/25,322,135,0,0.01,187,49.85,41.90,7.95,3.8,
24,181,1,7/25,259,139,0,0.00,120,51.05,50.10,0.95,2.4,
25,128,1,7/25,199,122,2,0.76,74,47.65,45.90,1.75,1.6,
26,129,1,7/26,362,140,0,0.82,221,56.15,56.30,-0.15,3.9,
27,130,1,7/26,275,144,2,0.00,129,49.05,51.30,-2.25,2.6,
28,131,1,7/26,360,130,0,1.49,229,45.85,43.60,2.25,5.0,
29,157,1,7/26,383,140,2,0.01,241,53.05,50.30,2.75,4.5,
30,158,1,7/26,256,127,0,0.00,129,43.10,41.60,1.50,3.0,
31,187,4,7/28,372,134,15,12.52,210,36.25,33.80,2.45,5.8,
32,161,4,7/28,1214,132,34,1.76,1046,86.95,84.40,2.55,12.0,
33,135,4,7/28,243,117,7,0.00,119,47.10,45.00,2.10,2.5,
34,134,4,7/28,478,135,3,0.00,340,60.90,57.60,3.30,5.6,
35,133,4,7/28,402,145,9,6.15,242,49.60,45.60,4.00,4.9,
36,132,4,7/29,688,137,7,14.85,529,46.45,44.60,1.85,11.4,
37,105,4,7/29,608,135,15,10.65,447,54.25,52.60,1.65,8.2,
38,104,4,7/29,403,148,2,1.18,251,45.20,44.20,1.00,5.6,
39,103,4,7/29,433,153,0,2.60,277,51.00,54.90,-3.90,5.4,
40,78,4,7/29,154,102,13,0.00,39,39.00,58.26,-19.26,1.0,WHOLE HAUL
41,79,4,7/29,272,111,0,0.00,161,55.15,54.90,0.25,2.9,
42,80,4,7/29,842,134,13,2.75,692,56.25,53.70,2.55,12.3,
43,81,4,7/30,334,139,19,0.00,176,49.65,48.80,0.85,3.5,
44,82,4,7/30,527,139,9,0.00,379,52.85,52.40,0.45,7.2,
45,107,4,7/30,257,142,6,0.00,110,45.80,43.20,2.60,2.4,
46,106,4,7/30,682,135,13,7.35,527,54.60,53.90,0.70,9.7,
47,183,4,7/30,652,149,0,6.35,497,55.55,54.60,0.95,8.9,
