# 2014 Trawl Survey Subsampe data ,,,,,,,,,
"# 3 subsamples were takein at each tow, but only total subusample data were avaiable",,,,,,,,,
#,,,,,,,,,
#,,,,,,,,,
#,,,,,,,,,
#,,,,,,,,,
Year,Haul,ADFG_Station,Date,Gross_Catch_Weight_kg,Tare_kg,Large_fish_Debris_kg,RKC_kg,SubSample_Weight_kg,Remarks
2014,1,184,7/18/2014,1080,132,332,10.4,62.1,"Muddy weight of baskets was 65.25 kg, rinsed weight was 62.10 kg."
2014,2,185,7/18/2014,495,158,10,45,42.9,
2014,3,186,7/20/2014,873,140,0,147.5,48.8,
2014,4,159,7/20/2014,595,165,7,3.7,35,
2014,5,160,7/20/2014,457,155,0,0,38.25,
2014,6,182,7/22/2014,219,120,0,0,99,WHOLE HAUL
2014,7,156,7/22/2014,187,132,0,2.3,53,WHOLE HAUL
2014,8,155,7/22/2014,443,135,0,2.82,45.95,
2014,9,127,7/22/2014,326,138,0,6.2,50.83,
2014,10,126,7/22/2014,349,160,0,8.1,39.95,
2014,11,125,7/22/2014,538,135,0,6.31,54.1,
2014,12,124,7/23/2014,420,136,0,3.95,48.25,
2014,13,123,7/23/2014,273,136,0,0,42.45,
2014,14,176,7/23/2014,908,193,10,20.1,55,"Muddy weight of baskets was 66.5 kg, rinsed weight was 55 kg."
2014,15,150,7/24/2014,216,122,0,2.53,36.05,Doors almost crossed so skipper had to speed up.
2014,16,151,7/24/2014,0,0,0,3.96,0,No weight due to huge boulder; took representative sample.
2014,17,152,7/24/2014,390,135,38,0.04,47.75,
2014,18,153,7/24/2014,240,120,0,0.28,39.6,
2014,19,154,7/24/2014,176,103,0,0.62,72,WHOLE HAUL
2014,20,203,7/25/2014,469,136,0,0.59,54,
2014,21,202,7/25/2014,455,150,0,0.69,50.9,
2014,22,179,7/25/2014,643,135,0,4.1,56,
2014,23,180,7/25/2014,322,135,0,0.01,49.85,
2014,24,181,7/25/2014,259,139,0,0,51.05,
2014,25,128,7/25/2014,199,122,2,0.76,47.65,
2014,26,129,7/26/2014,362,140,0,0.82,56.15,
2014,27,130,7/26/2014,275,144,2,0,49.05,
2014,28,131,7/26/2014,360,130,0,1.49,45.85,
2014,29,157,7/26/2014,383,140,2,0.01,53.05,
2014,30,158,7/26/2014,256,127,0,0,43.1,
2014,31,187,7/28/2014,372,134,15,12.52,36.25,
2014,32,161,7/28/2014,1214,132,34,1.76,86.95,
2014,33,135,7/28/2014,243,117,7,0,47.1,
2014,34,134,7/28/2014,478,135,3,0,60.9,
2014,35,133,7/28/2014,402,145,9,6.15,49.6,
2014,36,132,7/29/2014,688,137,7,14.85,46.45,
2014,37,105,7/29/2014,608,135,15,10.65,54.25,
2014,38,104,7/29/2014,403,148,2,1.18,45.2,
2014,39,103,7/29/2014,433,153,0,2.6,51,
2014,40,78,7/29/2014,154,102,13,0,39,WHOLE HAUL
2014,41,79,7/29/2014,272,111,0,0,55.15,
2014,42,80,7/29/2014,842,134,13,2.75,56.25,
2014,43,81,7/30/2014,334,139,19,0,49.65,
2014,44,82,7/30/2014,527,139,9,0,52.85,
2014,45,107,7/30/2014,257,142,6,0,45.8,
2014,46,106,7/30/2014,682,135,13,7.35,54.6,
2014,47,183,7/30/2014,652,149,0,6.35,55.55,
