Year,Haul,ADFG_Station,Date,Gross_Catch_Weight_kg,Tare_kg,Large_fish_Debris_kg,RKC_kg,SubSample_Weight_kg_1,SubSample_Weight_kg_2,SubSample_Weight_kg_3,Remarks
2018,1,185,7/22/2018,340,124,62.43,0,27.6,27.6,31.4,didn't get weights for 2 crab
2018,2,186,7/22/2018,343,129,162.02,0,0,0,0,
2018,3,187,7/22/2018,332,134,70.08,3.32,20.62,17.5,19.88,
2018,4,161,7/22/2018,430,134,48.72,0,14.98,18.79,18.61,
2018,5,134,7/22/2018,469,156,60.43,0,20.66,18.7,16.84,
2018,6,107,7/23/2018,390,136,45.75,0,22.55,18.5,16.52,
2018,7,82,7/23/2018,432,132,50.8,1.39,15.56,18.08,19.55,
2018,8,81,7/23/2018,523,148,66.08,0,18.59,19.86,17.5,
2018,9,80,7/23/2018,464,148,68.86,0,16.09,21.12,23.66,
2018,10,79,7/23/2018,528,142,151.75,0,22.72,18.19,24.08,
2018,11,78,7/23/2018,427,160,28.05,0,12.04,18.88,17.93,
2018,12,103,7/23/2018,376,159,24.48,0,18.71,17.06,21.03,
2018,13,104,7/23/2018,493,152,105.38,1.28,17.21,17.96,21.49,
2018,14,105,7/24/2018,497,164,96.93,0,23.68,21.9,16.74,
2018,15,106,7/24/2018,1132,167,57.04,3.66,20.24,18.41,20.85,
2018,16,133,7/24/2018,483,169,75.91,0.88,17.25,16.91,17.41,
2018,17,160,7/24/2018,641,160,223.76,0,16.46,19.48,20.62,
2018,18,159,7/24/2018,463,140,176.84,1.87,22.63,20.71,22.78,
2018,19,132,7/24/2018,745,144,129.82,3.93,19.17,21.8,21.87,
2018,20,131,7/24/2018,576,144,98.48,1.65,27.59,27.9,19.72,
2018,21,130,7/24/2018,364,144,11.02,3.35,22.18,20.73,20.08,
2018,22,129,7/25/2018,583,154,17.22,0,24.36,24.44,21.26,
2018,23,102,7/25/2018,408,154,4.23,0,24.89,22.28,24.65,
2018,24,101,7/25/2018,449,152,5.94,0,20.79,19.84,21.17,
2018,25,128,7/25/2018,494,153,0,8.79,25.47,24.03,20.82,
2018,26,127,7/25/2018,503,170,6.84,31.76,18.07,26.5,25.04,
2018,27,100,7/25/2018,568,159,4.12,0.88,22.45,23.27,24.14,
2018,28,99,7/25/2018,475,148,9.3,1.76,24.69,21.99,19.15,
2018,29,126,7/25/2018,523,152,0,0,21.92,19.68,22.91,
2018,30,153,7/26/2018,339,145,0,0,25.43,25.08,22.74,
2018,31,154,7/26/2018,265,145,0,0.05,0,0,0,
2018,32,155,7/26/2018,278,148,9.05,28.07,0,0,0,
2018,33,156,7/26/2018,210,148,0,1.07,0,0,0,
2018,34,157,7/26/2018,337,146,10.56,0,21.9,20.65,23.98,
2018,35,158,7/26/2018,415,156,49.94,1.05,17.35,20.36,20.72,
2018,36,183,7/26/2018,392,151,25.88,8.99,16.98,19.95,19.47,
2018,37,184,7/26/2018,636,158,25.08,3.39,24.33,26.72,21.72,total crab weight from crab data sheet
2018,38,182,7/27/2018,488,154,3.41,0.27,18.57,15.77,19.25,
2018,39,181,7/27/2018,278,141,0,1.04,0,0,0,
2018,40,203,7/27/2018,736,155,7.5,0.7,18.73,23.8,19.21,
2018,41,202,7/27/2018,729,161,0,0,22.15,19.5,23.56,
2018,42,180,7/27/2018,426,156,1.79,0,18.78,17.04,19.88,
2018,43,179,7/27/2018,695,157,0,0,20.37,22.48,23.46,
2018,44,152,7/28/2018,271,149,0,0,0,0,0,
2018,45,125,7/28/2018,327,164,1.56,0,19.76,20.58,20.99,
2018,46,98,7/28/2018,455,157,0,0.03,16.12,15.12,17.5,
2018,47,97,7/28/2018,528,161,0,0,16.22,20.39,22.5,
2018,48,124,7/28/2018,468,165,0,0,18.83,18.02,19.96,
2018,49,123,7/28/2018,415,152,0,1.96,20.09,24.82,18.94,
2018,50,96,7/28/2018,407,160,0,0.49,17.06,17.82,20.2,
2018,51,95,7/28/2018,486,151,0,5.24,18.55,15.31,20.96,
2018,52,122,7/28/2018,464,122,0,0.09,15.84,16.75,15.35,
2018,53,94,7/29/2018,498,146,0,1.06,19.74,18.12,17.25,
2018,54,121,7/29/2018,459,159,0,0.07,21.35,20.53,18.56,
2018,55,148,7/29/2018,254,164,0,0,0,0,0,
2018,56,149,7/29/2018,371,149,0,0.06,24.36,16.75,20.86,
2018,57,175,7/29/2018,499,156,0,0,19.12,17.1,19.69,
2018,58,176,7/29/2018,391,151,0,0,14.05,22.46,15.23,
2018,59,150,7/29/2018,426,157,0,0,17.16,16.34,18.37,
2018,60,151,7/29/2018,287,143,,,,,,
