# 2023 Trawl Survey Subsampe data ,,,,,,,,,,,
# up to 3 subsamples were takein at each tow,,,,,,,,,,,
# 0 were inserted in all blank cells,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
Year,Haul,ADFG_Station,Date,Gross_Catch_Weight_kg,Tare_kg,Large_fish_Debris_kg,RKC_kg,SubSample_Weight_kg_1,SubSample_Weight_kg_2,SubSample_Weight_kg_3,Remarks
2024,1,184,7/20/2024,610,158,1.302,1.62,29.34,27.41,26.65,
2024,2,185,7/20/2024,511,156,8.71,10.88,19.5,21.88,20.84,
2024,3,186,7/20/2024,524,152,54.99,23.86,18.23,19.2,13.74,
2024,4,187,7/21/2024,506,154,,2.649,20.95,16.1,18.16,
2024,5,161,7/21/2024,340,156,,1.03,15.45,13.04,15.91,
2024,6,134,7/21/2024,704,172,2.88,,18.09,18.21,19.75,
2024,7,107,7/21/2024,475,155,,,18.27,22.62,17.77,
2024,8,82,7/21/2024,457,158,2.84,,16.75,19.57,18.49,
2024,9,81,7/21/2024,322,144,2.98,,18.98,14.42,19.74,
2024,10,106,7/22/2024,1058,166,,3.154,19.27,20.29,19.93,
2024,11,133,7/22/2024,330,135,,1.624,18.31,15.75,22.25,
2024,12,160,7/22/2024,338,145,,,19.98,22.48,16.4,
2024,13,159,7/23/2024,317,124,17.3,15.58,17.17,21.66,19.72,
2024,14,132,7/26/2024,287,118,7.52,21.28,17.2,13.8,19.28,scale malfunctioned so took surrounding stations (n=8) average wieght by species
2024,15,105,7/26/2024,334,136,4.62,12.02,18.23,19.16,17.34,
2024,16,80,7/26/2024,627,162,12.37,9.93,25.56,15.25,24.17,
2024,17,79,7/26/2024,206,122,12.24,3.03,,,55.905,Used total sample weight 
2024,18,104,7/26/2024,257,123,16.59,,16.98,20.44,16.24,
2024,19,78,7/26/2024,169,100,,,17.25,19.55,20.83,
2024,20,103,7/27/2024,176,98,3.66,,21.9,27.1,22.62,
2024,21,130,7/27/2024,222,99,,1.836,25.22,23.76,19.9,
2024,22,131,7/27/2024,257,121,4.58,0.342,19.58,20.74,21.69,
2024,23,158,7/28/2024,290,102,2.95,1.496,21.04,18.57,24.15,
2024,24,157,7/28/2024,145,121,,,,,,
2024,25,183,7/28/2024,518,134,,2.812,23.33,23.58,21.07,
2024,26,182,7/28/2024,236,121,,0.002,20.12,17.58,23.62,
2024,27,156,7/28/2024,176,118,,,22.42,22.31,21.4,
2024,28,129,7/28/2024,426,142,,,24.55,19.53,22.87,
2024,29,128,7/29/2024,206,133,,1.028,18.04,18.54,21.58,
2024,30,155,7/29/2024,213,108,,0.58,19.39,24.82,21.72,
2024,31,181,7/29/2024,225,125,,,23.83,20.73,28.92,
2024,32,203,7/30/2024,792,148,,,21.64,20.78,24.67,
2024,33,202,7/30/2024,319,152,,,22.18,18.87,24.54,
2024,34,180,7/30/2024,378,152,,,19.46,18.58,22.61,
2024,35,154,7/30/2024,237,105,,0.372,16.28,16.6,22.56,
2024,36,153,7/30/2024,245,118,,,19.4,18.23,20.84,
2024,37,152,7/30/2024,270,130,,0.91,23.604,17.42,16.93,
2024,38,176,7/31/2024,473,155,,,,,41.891,Tota Sample weight 
2024,39,124,8/1/2024,182,151,,1.052,22.078,20.96,23.98,
2024,40,125,8/2/2024,265,151,,3.598,19.62,20.05,15.6,
