# 1996 Trawl survey species data,,,,,,,,,,,
# Subsamples were weights and numbers were already converted to whole weight and numbers,,,,,,,,,,,
# Original Subsample data could not be located,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
Year,Haul,Spcode,Wt.Sample1,No.Sample2,Wt.Sample2,No.Sample2,Sample_kg,Sample_n,Whole_kg,Whole_n,Comments
1996,2,10120,0,0,0,0,,,18.1,1,
1996,2,10210,2,48,0,0,,,29.2,702,
1996,2,10220,3.1,5,0,0,,,45.3,73,
1996,2,21735,1.5,23,0,0,,,21.9,336,
1996,2,23055,0.1,2,0,0,,,1.5,29,
1996,2,23807,0.2,8,0,0,,,2.9,117,
1996,2,24185,0.4,3,0,0,,,5.8,44,
1996,2,40500,0.5,5,0,0,,,7.3,73,
1996,2,66570,0.01,1,0,0,,,0.1,15,
1996,2,66611,0.15,17,0,0,,,2.2,248,
1996,2,68580,0.15,5,0,0,,,2.2,73,
1996,2,68781,0.4,3,0,0,,,5.8,44,
1996,2,69322,0,0,0,0,,,19,57,
1996,2,69322,0,0,0,0,,,9.1,38,
1996,2,80200,1.9,6,0,0,,,27.8,88,
1996,2,81742,19.3,0,0,0,,,282.1,0,
1996,2,82510,0.05,1,0,0,,,0.7,15,
1996,2,83020,0.2,5,0,0,,,2.9,73,
1996,2,99999,0,0,0,0,,,8,0,
1996,2,99999,0.13,0,0,0,,,1.9,0,
1996,3,10120,0,0,0,0,,,22.2,2,
1996,3,10210,0.02,1,0,0,,,0.3,13,
1996,3,10285,0.7,2,0,0,,,9.4,27,
1996,3,20040,0.1,5,0,0,,,1.3,67,
1996,3,21371,0.13,1,0,0,,,1.7,13,
1996,3,21387,0.05,1,0,0,,,0.7,13,
1996,3,21405,0.02,2,0,0,,,0.3,27,
1996,3,21735,2.5,29,0,0,,,33.5,388,
1996,3,23807,0.15,7,0,0,,,2,94,
1996,3,24189,0.3,1,0,0,,,4,13,
1996,3,41201,0.1,0,0,0,,,1.3,0,
1996,3,43020,0.3,5,0,0,,,4,67,
1996,3,43040,1.8,59,0,0,,,24.1,790,
1996,3,66050,0.1,7,0,0,,,1.3,94,
1996,3,66203,0.05,6,0,0,,,0.7,80,
1996,3,66611,0.3,43,0,0,,,4,576,
1996,3,68577,0.2,5,0,0,,,2.7,67,
1996,3,68580,0.1,2,0,0,,,1.3,27,
1996,3,68781,1.2,9,0,0,,,16.1,121,
1996,3,69086,0.8,0,0,0,,,10.7,0,
1996,3,69322,0,0,0,0,,,13.8,33,
1996,3,69322,0,0,0,0,,,2.1,11,
1996,3,71001,0.01,0,0,0,,,0.1,0,
1996,3,71500,0.8,5,0,0,,,10.7,67,
1996,3,75240,0.05,1,0,0,,,0.7,13,
1996,3,80000,0.25,0,0,0,,,3.3,0,
1996,3,80200,2,0,0,0,,,26.8,0,
1996,3,80540,0.01,2,0,0,,,0.1,27,
1996,3,81095,0.1,6,0,0,,,1.3,80,
1996,3,81742,15.3,0,0,0,,,204.9,0,
1996,3,82510,1.1,20,0,0,,,14.7,268,
1996,3,83020,5,0,0,0,,,67,0,
1996,3,98082,0.15,0,0,0,,,2,0,
1996,3,99999,7,0,0,0,,,93.7,0,
1996,4,10210,1.93,49,0,0,,,32.9,836,
1996,4,10285,1.18,11,0,0,,,20.1,188,
1996,4,21314,0.23,8,0,0,,,3.9,137,
1996,4,21371,0.15,2,0,0,,,2.6,34,
1996,4,21387,0.04,1,0,0,,,0.7,17,
1996,4,21735,3.5,101,0,0,,,59.7,1723,
1996,4,23055,0.06,1,0,0,,,1,17,
1996,4,23805,0.01,1,0,0,,,0.2,17,
1996,4,23807,0.02,2,0,0,,,0.3,34,
1996,4,43020,0.1,1,0,0,,,1.7,17,
1996,4,66548,0.05,18,0,0,,,0.9,307,
1996,4,66611,0.02,2,0,0,,,0.3,34,
1996,4,68781,0.25,1,0,0,,,4.3,17,
1996,4,69090,0.05,1,0,0,,,0.9,17,
1996,4,75284,0.05,2,0,0,,,0.9,34,
1996,4,80200,0.75,3,0,0,,,12.8,51,
1996,4,81742,14.1,0,0,0,,,240.6,0,
1996,4,82510,0.01,1,0,0,,,0.2,17,
1996,4,83020,1,0,0,0,,,17.1,0,
1996,5,10210,1.15,14,0,0,,,13,159,
1996,5,10220,2,3,0,0,,,22.7,34,
1996,5,10285,0.68,4,0,0,,,7.7,45,
1996,5,21110,0.05,1,0,0,,,0.6,11,
1996,5,21314,0.02,1,0,0,,,0.2,11,
1996,5,21735,1.3,18,0,0,,,14.7,204,
1996,5,23807,0.01,1,0,0,,,0.1,11,
1996,5,41201,0.01,1,0,0,,,0.1,11,
1996,5,43020,4.8,15,0,0,,,54.4,170,
1996,5,43040,0.5,12,0,0,,,5.7,136,
1996,5,66548,0.02,5,0,0,,,0.2,57,
1996,5,66611,0.08,8,0,0,,,0.9,91,
1996,5,68781,0.1,1,0,0,,,1.1,11,
1996,5,69010,0.05,7,0,0,,,0.6,79,
1996,5,69322,0,0,0,0,,,0.35,1,
1996,5,75284,0.04,1,0,0,,,0.5,11,
1996,5,80020,1.15,3,0,0,,,13,34,
1996,5,80200,1,6,0,0,,,11.3,68,
1996,5,81095,0.1,5,0,0,,,1.1,57,
1996,5,81742,15.5,0,0,0,,,175.7,0,
1996,5,82510,0.05,1,0,0,,,0.6,11,
1996,5,83020,1.1,0,0,0,,,12.5,0,
1996,5,98300,0.1,3,0,0,,,1.1,34,
1996,5,99999,0,0,0,0,,,54,0,
1996,5,99999,2,0,0,0,,,22.7,0,
1996,6,10210,0.9,20,0,0,,,10.1,224,
1996,6,10220,1.6,3,0,0,,,17.9,34,
1996,6,10285,0.4,9,0,0,,,4.5,101,
1996,6,20322,0,0,0,0,,,2.4,1,
1996,6,21371,0.15,2,0,0,,,1.7,22,
1996,6,21735,3.1,53,0,0,,,34.7,594,
1996,6,23055,0.3,5,0,0,,,3.4,56,
1996,6,43020,0.05,3,0,0,,,0.6,34,
1996,6,43040,0.1,2,0,0,,,1.1,22,
1996,6,50000,0.05,1,0,0,,,0.6,11,
1996,6,66548,0.01,1,0,0,,,0.1,11,
1996,6,66611,0.01,2,0,0,,,0.1,22,
1996,6,68781,0.45,2,0,0,,,5,22,
1996,6,69010,0.25,2,0,0,,,2.8,22,
1996,6,69322,0,0,0,0,,,0.45,1,
1996,6,75284,0.05,1,0,0,,,0.6,11,
1996,6,80020,1,2,0,0,,,11.2,22,
1996,6,80200,3.1,8,0,0,,,34.7,90,
1996,6,81742,21.7,0,0,0,,,243.1,0,
1996,6,82510,0.5,21,0,0,,,5.6,235,
1996,6,83020,0.4,8,0,0,,,4.5,90,
1996,6,99999,0,0,0,0,,,66,0,
1996,6,99999,0.8,0,0,0,,,9,0,
1996,7,10210,1.3,45,0,0,,,14,484,
1996,7,10220,0.3,1,0,0,,,3.2,11,
1996,7,10285,1,18,0,0,,,10.8,194,
1996,7,20040,0.1,5,0,0,,,1.1,54,
1996,7,21314,0.65,30,0,0,,,7,323,
1996,7,21370,0.02,1,0,0,,,0.2,11,
1996,7,21371,0.2,3,0,0,,,2.2,32,
1996,7,21377,0.2,1,0,0,,,2.2,11,
1996,7,21387,0.05,1,0,0,,,0.5,11,
1996,7,21735,3,66,0,0,,,32.3,710,
1996,7,43040,0.05,6,0,0,,,0.5,65,
1996,7,66500,0.05,1,0,0,,,0.5,11,
1996,7,68781,1,3,0,0,,,10.8,32,
1996,7,69010,0.01,3,0,0,,,0.1,32,
1996,7,69090,0.4,2,0,0,,,4.3,22,
1996,7,71575,0.02,1,0,0,,,0.2,11,
1996,7,75284,0.01,2,0,0,,,0.1,22,
1996,7,80020,1.3,2,0,0,,,14,22,
1996,7,80200,0.4,2,0,0,,,4.3,22,
1996,7,81742,14.5,0,0,0,,,155.9,0,
1996,7,82510,0.6,8,0,0,,,6.5,86,
1996,7,83020,0.6,0,0,0,,,6.5,0,
