Haul #,Station,Vessel,Month,Day,Year,Species Code,Total weight (kg),Total # in subsample,100% sample catch (kg),# caught,Net fished
1,184,Peggy Jo,7,27,2002,81742,28.4,350,,,1
1,184,Peggy Jo,7,27,2002,21735,7.94,83,,,1
1,184,Peggy Jo,7,27,2002,10210,0.38,3,,,1
1,184,Peggy Jo,7,27,2002,10285,0.3,2,,,1
1,184,Peggy Jo,7,27,2002,69322,10.5,19,,,1
1,184,Peggy Jo,7,27,2002,68577,0.2,4,,,1
1,184,Peggy Jo,7,27,2002,68580,0.22,9,,,1
1,184,Peggy Jo,7,27,2002,68781,2.12,10,,,1
1,184,Peggy Jo,7,27,2002,41201,0.14,4,,,1
1,184,Peggy Jo,7,27,2002,43000,1.54,19,,,1
1,184,Peggy Jo,7,27,2002,82510,0.32,5,,,1
1,184,Peggy Jo,7,27,2002,98310,0.66,3,,,1
1,184,Peggy Jo,7,27,2002,24191,1.18,3,,,1
1,184,Peggy Jo,7,27,2002,23808,0.08,9,,,1
1,184,Peggy Jo,7,27,2002,10220,0.64,1,,,1
1,184,Peggy Jo,7,27,2002,83010,0.14,3,,,1
1,184,Peggy Jo,7,27,2002,10130,0.02,1,,,1
1,184,Peggy Jo,7,27,2002,71772,0.1,1,,,1
1,184,Peggy Jo,7,27,2002,69010,0.01,4,,,1
1,184,Peggy Jo,7,27,2002,21740,1.52,109,,,1
1,184,Peggy Jo,7,27,2002,71001,0.01,2,,,1
1,184,Peggy Jo,7,27,2002,69061,0.1,4,,,1
1,184,Peggy Jo,7,27,2002,75285,0.01,1,,,1
1,184,Peggy Jo,7,27,2002,71001,0.01,1,,,1
1,184,Peggy Jo,7,27,2002,50000,0.01,2,,,1
1,184,Peggy Jo,7,27,2002,21370,0.46,6,,,1
1,184,Peggy Jo,7,27,2002,21388,0.11,2,,,1
1,184,Peggy Jo,7,27,2002,80200,3.62,15,,,1
1,184,Peggy Jo,7,27,2002,66050,0.1,24,,,1
1,184,Peggy Jo,7,27,2002,66045,0.3,275,,,1
1,184,Peggy Jo,7,27,2002,66203,0.04,5,,,1
1,184,Peggy Jo,7,27,2002,66570,0.12,26,,,1
1,184,Peggy Jo,7,27,2002,81095,0.04,3,,,1
