Haul #,Station,,,Date,Species Code,Tare,Weight,Subsample weight (kg),Total # in subsample,100% sample catch (kg),# Caught,Comments
1,187,7,20,7/20,69322,,,,,1.75,18,
1,187,7,19,7/19,81742,0,24.350,24.350,316,,,
1,187,7,19,7/19,68577,0.32,0.910,0.590,14,,,
1,187,7,19,7/19,68580,0.32,1.090,0.770,59,,,
1,187,7,19,7/19,10220,0.32,1.000,0.680,2,,,
1,187,7,19,7/19,10285,0.32,0.700,0.380,2,,,
1,187,7,19,7/19,21110,0.32,0.440,0.120,1,,,
1,187,7,19,7/19,80595,0.32,1.470,1.150,80,,,
1,187,7,19,7/19,80020,0.32,4.490,4.170,18,,,
1,187,7,19,7/19,80590,0.32,0.460,0.140,1,,,
1,187,7,19,7/19,80200,0.32,0.940,0.620,10,,,
1,187,7,19,7/19,71001,0.32,1.140,0.820,157,,,
1,187,7,19,7/19,21725,0,0.010,0.010,1,,,
1,187,7,19,7/19,21735,0.32,0.650,0.330,3,,,
1,187,7,19,7/19,83020,0,0.003,0.003,1,,,
1,187,7,19,7/19,66580,0.32,0.350,0.030,6,,,
1,187,7,19,7/19,43000,0.32,0.370,0.050,2,,,
1,187,7,19,7/19,85000,0,0.005,0.005,1,,,
1,187,7,21,7/21,99999,0.32,0.460,0.140,,,,
2,161,7,19,7/19,69322,,,,,1.30,2,
2,161,7,19,7/19,81742,0,24.400,24.400,261,,,
2,161,7,19,7/19,68580,0.32,0.538,0.218,10,,,
2,161,7,19,7/19,40500,0.32,2.200,1.880,16,,,
2,161,7,19,7/19,80020,0.32,3.800,3.480,10,,,
2,161,7,19,7/19,98000,0.32,0.860,0.540,10,,,
2,161,7,19,7/19,68577,0.32,0.430,0.110,6,,,
2,161,7,19,7/19,21110,0.32,0.670,0.350,6,,,
2,161,7,19,7/19,66580,0.32,0.500,0.180,27,,,
2,161,7,19,7/19,21735,0.32,0.980,0.660,6,,,
2,161,7,19,7/19,80590,0.32,0.560,0.240,2,,,
2,161,7,19,7/19,41201,0.32,0.520,0.200,12,,,
2,161,7,19,7/19,10285,0.32,2.000,1.680,4,,,
2,161,7,19,7/19,10210,0.32,0.670,0.350,6,,,
2,161,7,19,7/19,10140,0.32,0.400,0.080,3,,,
2,161,7,19,7/19,80200,0.32,3.030,2.710,29,,,
2,161,7,19,7/19,23801,0.32,0.360,0.040,5,,,
2,161,7,19,7/19,21375,0,0.018,0.018,1,,,
2,161,7,19,7/19,80595,0.32,1.630,1.310,79,,,
2,161,7,19,7/19,71001,0.32,0.370,0.050,9,,,
2,161,7,19,7/19,83020,0,0.005,0.005,2,,,
2,161,7,19,7/19,83000,0,0.019,0.019,8,,,
2,161,7,19,7/19,69010,0,0.190,0.190,2,,,
2,161,7,19,7/19,69061,0.32,0.370,0.050,3,,,
2,161,7,19,7/19,81095,0.32,0.360,0.040,1,,,
2,161,7,19,7/19,43000,0.32,0.370,0.050,2,,,
2,161,7,19,7/19,99999,0.32,0.680,0.360,,,,
3,135,7,19,7/19,81742,0,6.700,6.700,50,,,
3,135,7,19,7/19,10220,0.32,1.740,1.420,1,,,
3,135,7,19,7/19,82510,0,0.302,0.302,16,,,
3,135,7,19,7/19,83020,0.32,0.834,0.514,5,,,
3,135,7,19,7/19,68580,0.32,3.570,3.250,129,,,
3,135,7,19,7/19,71882,0.32,0.450,0.130,1,,,
3,135,7,19,7/19,10285,0.32,3.800,3.480,5,,,
3,135,7,19,7/19,80595,0.32,0.910,0.590,40,,,
3,135,7,19,7/19,21735,0.32,0.570,0.250,2,,,
