Haul #,Station,Date,Species Code,Tare,Weight,Subsample weight (kg),Total # in subsample,100% sample catch (kg),# Caught,Comments
1,185,7/22,69322,,,,,,2,
1,185,7/22,10120,,,,,7.220,2,
1,185,7/22,21720,,,,,,,
1,185,7/22,21740,,,,,55.200,32,
1,185,7/22,81742,,,22.980,216,,,
1,185,7/22,10285,,,0.602,3,,,
1,185,7/22,66548,,,0.025,23,,,
1,185,7/22,80200,,,0.946,4,,,
1,185,7/22,99999,,,0.278,,,,
1,185,7/22,21375,,,8.556,7,,,
1,185,7/22,23801,,,0.078,4,,,
1,185,7/22,21735,,,14.140,106,,,
1,185,7/22,43000,,,,,,,
1,185,7/22,41201,,,0.031,1,,,
1,185,7/22,10210,,,26.750,88,,,
1,185,7/22,68781,,,0.335,1,,,
1,185,7/22,68580,,,0.012,3,,,
1,185,7/22,10220,,,4.625,11,,,
1,185,7/22,23055,,,0.175,4,,,
1,185,7/22,40500,,,0.575,,,,
1,185,7/22,66611,,,0.072,9,,,
1,185,7/22,66045,,,0.016,14,,,
1,185,7/22,10140,,,0.154,1,,,
1,185,7/22,69061,,,0.005,1,,,
1,185,7/22,21350,,,0.227,2,,,
1,185,7/22,21740,,,0.323,8,,,
1,185,7/22,21725,,,0.253,4,,,
2,186,7/22,69322,,,,,,,
2,186,7/22,10120,,,,,,,
2,186,7/22,21720,,,,,37.050,9,
2,186,7/22,21740,,,,,124.970,94,
2,186,7/22,81742,,,,,17.010,137,
2,186,7/22,10285,,,,,0.077,1,
2,186,7/22,66548,,,,,0.054,19,
2,186,7/22,80200,,,,,0.719,4,
2,186,7/22,99999,,,,,0.091,,
2,186,7/22,21375,,,,,18.250,15,
2,186,7/22,23801,,,,,0.044,4,
2,186,7/22,21735,,,,,6.409,49,
2,186,7/22,43000,,,,,0.003,1,
2,186,7/22,41201,,,,,,,
2,186,7/22,10210,,,,,9.890,25,
2,186,7/22,68580,,,,,0.002,3,
2,186,7/22,10220,,,,,4.910,10,
2,186,7/22,40500,,,,,2.229,,
2,186,7/22,66611,,,,,0.001,3,
2,186,7/22,66045,,,,,0.004,3,
2,186,7/22,10140,,,,,0.076,2,
2,186,7/22,21740,,,,,0.120,6,
2,186,7/22,80020,,,,,0.592,,
2,186,7/22,24180,,,,,0.153,1,
2,186,7/22,21110,,,,,0.049,1,
2,186,7/22,82510,,,,,0.031,1,
2,186,7/22,20041,,,,,0.010,1,
2,186,7/22,83020,,,,,0.020,1,
2,186,7/22,80595,,,,,0.019,5,
2,186,7/22,80540,,,,,0.002,1,
2,186,7/22,68577,,,,,0.026,1,
3,187,7/22,69322,,,,,3.316,3,
3,187,7/22,10120,,,,,,,
3,187,7/22,21720,,,,,32.470,9,
3,187,7/22,21740,,,,,37.610,28,
3,187,7/22,81742,,,30.520,179,,,
3,187,7/22,10285,,,1.245,4,,,
3,187,7/22,66611,,,0.117,62,,,
3,187,7/22,80200,,,0.565,4,,,
3,187,7/22,66548,,,0.010,9,,,
3,187,7/22,99999,,,0.004,,,,
3,187,7/22,21375,,,8.610,6,,,
3,187,7/22,23801,,,0.032,2,,,
3,187,7/22,21735,,,4.410,33,,,
3,187,7/22,43000,,,0.018,1,,,
3,187,7/22,41201,,,0.018,1,,,
3,187,7/22,10210,,,2.868,14,,,
3,187,7/22,10220,,,0.584,1,,,
3,187,7/22,40500,,,0.432,,,,
3,187,7/22,66045,,,0.004,3,,,
3,187,7/22,10140,,,0.306,2,,,
3,187,7/22,21740,,,0.030,2,,,
3,187,7/22,80020,,,2.584,11,,,
3,187,7/22,83020,,,0.102,3,,,
3,187,7/22,80595,,,0.804,48,,,
3,187,7/22,10260,,,0.718,2,,,
3,187,7/22,22200,,,0.018,1,,,
3,187,7/22,69061,,,0.012,4,,,
3,187,7/22,68580,,,0.016,18,,,
3,187,7/22,80590,,,0.304,2,,,
3,187,7/22,81095,,,0.052,2,,,
3,187,7/22,98000,,,0.017,5,,,
3,187,7/22,21313,,,0.026,1,,,
4,161,7/22,69322,,,,,,,
4,161,7/22,10120,,,,,,,
4,161,7/22,21720,,,,,21.680,6,
4,161,7/22,21740,,,,,27.040,23,
4,161,7/22,81742,,,29.610,186,,,
4,161,7/22,10285,,,,,,,
4,161,7/22,66611,,,0.072,22,,,
4,161,7/22,80200,,,1.298,16,,,
4,161,7/22,66548,,,0.001,3,,,
4,161,7/22,99999,,,0.179,,,,
4,161,7/22,21375,,,4.659,5,,,
4,161,7/22,23801,,,0.038,4,,,
4,161,7/22,21735,,,0.912,7,,,
4,161,7/22,43000,,,0.071,1,,,
4,161,7/22,41201,,,0.197,11,,,
4,161,7/22,10210,,,1.652,5,,,
4,161,7/22,40500,,,0.662,,,,
4,161,7/22,66045,,,0.001,5,,,
4,161,7/22,21740,,,0.008,1,,,
4,161,7/22,80020,,,1.634,5,,,
4,161,7/22,83020,,,2.878,28,,,
4,161,7/22,80595,,,2.252,139,,,
4,161,7/22,69120,,,0.660,7,,,
4,161,7/22,82510,,,0.039,1,,,
4,161,7/22,85200,,,0.012,4,,,
4,161,7/22,68580,,,0.014,7,,,
