Year,Haul,Spcode,Sample_kg,Sample_n,Whole_kg,Whole_n,Comments
2019,1,69322,,,3.05,7,
2019,1,10120,,,,,
2019,1,21720,,,16.47,4,
2019,1,21740,,,43.27,33,
2019,1,81742,16.57,153,,,
2019,1,10285,0.825,3,,,
2019,1,66570,0.033,8,,,
2019,1,80200,11.53,32,,,
2019,1,66502,,,,,
2019,1,99999,,,,,
2019,1,21375,4.46,5,,,
2019,1,23801,,,,,
2019,1,21735,4.61,61,,,
2019,1,43000,,,,,
2019,1,41201,0.026,1,,,
2019,1,10210,8.81,12,,,
2019,1,10220,8.74,9,,,
2019,1,68781,0.242,1,,,
2019,1,80020,3.77,3,,,
2019,1,69061,0.025,1,,,
2019,1,68580,0.14,9,,,
2019,1,21741,0.026,1,,,
2019,1,21725,0.033,2,,,
2019,1,75284,0.034,2,,,
2019,1,66045,0.01,2,,,
2019,2,69322,,,5.619,8,
2019,2,10120,,,,,
2019,2,21720,,,8.42,3,
2019,2,21740,,,54.24,48,
2019,2,81742,20.2,269,,,
2019,2,10285,5.56,12,,,
2019,2,66570,0.021,5,,,
2019,2,80200,6.84,24,,,
2019,2,66502,0.006,4,,,
2019,2,99999,0.272,,,,
2019,2,21375,11.22,8,,,
2019,2,23801,,,,,
2019,2,21735,5.08,36,,,
2019,2,43000,,,,,
2019,2,41201,,,,,
2019,2,10210,10.18,14,,,
2019,2,82510,0.122,3,,,
2019,2,83020,0.79,1,,,
2019,2,10220,9.67,8,,,
2019,2,23055,2.74,11,,,
2019,2,68580,0.029,3,,,
2019,2,21347,0.021,1,,,
2019,2,80595,0.012,1,,,
2019,2,40500,0.886,,,,
2019,2,21725,0.202,9,,,
2019,2,21741,0.068,7,,,
2019,2,66045,0.009,6,,,
2019,2,66050,0.007,2,,,
2019,3,69322,,,4.551,9,
2019,3,10120,,,,,
2019,3,21720,,,14.68,4,
2019,3,21740,,,20.62,20,
2019,3,81742,31.73,310,,,
2019,3,10285,1.34,9,,,
2019,3,66570,0.029,3,,,
2019,3,80200,1.88,9,,,
2019,3,66502,0.006,1,,,
2019,3,99999,0.238,,,,
2019,3,21375,1.776,1,,,
2019,3,23801,0.031,2,,,
2019,3,21735,2.18,24,,,
2019,3,43000,,,,,
2019,3,41201,0.095,4,,,
2019,3,10210,3.08,16,,,
2019,3,10260,2.881,5,,,
2019,3,80020,5.22,12,,,
2019,3,10220,1.08,1,,,
2019,3,23055,0.065,1,,,
2019,3,83020,0.021,1,,,
2019,3,74414,0.006,1,,,
2019,3,68580,0.061,1,,,
2019,3,80595,0.07,10,,,
2019,3,66045,0.001,1,,,
2019,3,40500,0.536,,,,
2019,4,69322,,,8.809,28,
2019,4,10120,,,,,
2019,4,21720,,,,,
2019,4,21740,,,13.72,14,
2019,4,81742,20.71,249,,,
2019,4,10285,1.496,21,,,
2019,4,66570,0.044,15,,,
2019,4,80200,2.69,12,,,
2019,4,66502,,,,,
2019,4,99999,0.704,,,,
2019,4,21375,8,6,,,
2019,4,23801,0.066,4,,,
2019,4,21735,2.37,33,,,
2019,4,43000,0.074,7,,,
2019,4,41201,0.191,11,,,
2019,4,10210,3.75,26,,,
2019,4,83020,1.43,13,,,
2019,4,10260,2.661,8,,,
2019,4,80020,3.22,7,,,
2019,4,10140,0.095,1,,,
2019,4,23055,0.089,2,,,
