Haul #,Station,Date,Species Code,Tare,Weight,Subsample weight (kg),Total # in subsample,100% sample catch (kg),# Caught,catchRecordComment
1,203,7/31,69322,,,,,,,
1,203,7/31,10120,,,,,,,
1,203,7/31,21720,,,,,4.09,2,
1,203,7/31,21740,,,,,44.09,28,
1,203,7/31,85210,,,38.32,509,,,
1,203,7/31,10285,,,0.568,2,,,
1,203,7/31,66580,,,,,,,
1,203,7/31,74000,,,1.518,4,,,
1,203,7/31,66548,,,0.18,83,,,
1,203,7/31,99999,,,1.968,,,,
1,203,7/31,21375,,,3.6,2,,,
1,203,7/31,23801,,,0.174,10,,,
1,203,7/31,21735,,,5.68,59,,,
1,203,7/31,21300,,,0.266,8,,,
1,203,7/31,41201,,,0.048,1,,,
1,203,7/31,10210,,,0.396,3,,,
1,203,7/31,81095,,,0.025,3,,,
1,203,7/31,99999,,,0.001,1,,,
1,203,7/31,80020,,,1.11,2,,,
1,203,7/31,68781,,,1.504,10,,,
1,203,7/31,82510,,,0.114,3,,,
1,203,7/31,69061,,,0.015,3,,,
1,203,7/31,75284,,,0.026,1,,,
1,203,7/31,71751,,,0.03,10,,,
1,203,7/31,10220,,,6,13,,,
2,202,7/31,69322,,,,,,,
2,202,7/31,10120,,,,,,,
2,202,7/31,21720,,,,,,,
2,202,7/31,21740,,,,,14.01,8,
2,202,7/31,85210,,,29.64,311.000,,,
2,202,7/31,10285,,,0.28,3.000,,,
2,202,7/31,66580,,,,,,,
2,202,7/31,74000,,,0.984,3.000,,,
2,202,7/31,66548,,,0.266,198.000,,,
2,202,7/31,99999,,,3.64,,,,
2,202,7/31,21375,,,0.456,4.000,,,
2,202,7/31,23801,,,0.03,3.000,,,
2,202,7/31,21735,,,3.518,46.000,,,
2,202,7/31,21300,,,0.21,4.000,,,
2,202,7/31,41201,,,,,,,
2,202,7/31,10210,,,0.72,19.000,,,
2,202,7/31,82510,,,0.58,17.000,,,
2,202,7/31,10220,,,0.298,1.000,,,
