#  2024 Trawl Suvery Species data ,,,,,,,
#  Sample weight and numbers are the sum of 3 subsamples,,,,,,,
#  Whole weight and numbers actual number and weight pulled from the entier tow before subsamples were taken,,,,,,,
#,,,,,,,
#,,,,,,,
#,,,,,,,
Year,Haul ,Spcode,Sample_kg,Sample_n,Whole_kg,Whole_n,Comments
2023,1,69322,,,1.62,1,
2023,1,10120,,,,,
2023,1,21720,,,,,
2023,1,21740,,,,,
2023,1,81742,26.76,244,,,
2023,1,10285,0.484,1,,,
2023,1,66570,0.424,78,,,
2023,1,80200,2.096,12,,,
2023,1,66502,0.246,125,,,
2023,1,99999,1.676,,,,
2023,1,21375,2.472,6,,,
2023,1,23801,0.16,9,,,
2023,1,21735,11.5,156,,,
2023,1,43000,0.914,13,,,
2023,1,41201,0.04,3,,,
2023,1,10210,6.632,81,,,
2023,1,10220,20.95,48,,,
2023,1,68781,0.308,2,,,
2023,1,21388,0.124,3,,,
2023,1,80020,0.292,1,,,
2023,1,24180,0.092,1,,,
2023,1,68580,0.012,1,,,
2023,1,75330,0.044,1,,,
2023,1,50301,0.001,1,,,
2023,1,20322,,,1,1.302,
2023,1,63500,0.001,1,,,
2023,1,81095,0.044,1,,,
2023,1,#N/A,0.08,1,,,
2023,1,71511,0.008,2,,,
2023,1,66045,0.02,13,,,
2023,1,66050,0.008,1,,,
2023,2,69322,,,10.88,10,
2023,2,10120,,,,,
2023,2,21720,,,,,
2023,2,21740,,,1.44,1,
2023,2,81742,24.12,231,,,
2023,2,10285,0.196,2,,,
2023,2,66570,0.392,67,,,
2023,2,80200,3.368,13,,,
2023,2,66502,0.034,15,,,
2023,2,99999,0.492,,,,
2023,2,21375,,,,,
2023,2,23801,0.098,2,,,
2023,2,21735,3.704,55,,,
2023,2,43000,,,,,
2023,2,41201,,,,,
2023,2,10210,15.48,59,,,
2023,2,20322,,,7.27,2,
2023,2,24180,1.438,2,,,
2023,2,10220,9.64,14,,,
2023,2,80020,1.904,6,,,
2023,2,68781,0.316,1,,,
2023,2,21388,0.04,1,,,
2023,2,23055,0.146,4,,,
2023,2,21110,0.072,1,,,
2023,2,21741,0.104,7,,,
2023,2,66045,0.004,6,,,
2023,3,69322,,,23.86,25,
2023,3,10120,,,,,
2023,3,21720,,,39.66,6,
2023,3,21740,,,15.33,5,
2023,3,81742,27.78,,,,
2023,3,10285,0.244,2,,,
2023,3,66570,0.806,175,,,
2023,3,80200,2.026,13,,,
2023,3,66502,0.124,57,,,
2023,3,99999,1.036,,,,
2023,3,21375,0.06,2,,,
2023,3,23801,0.378,32,,,
2023,3,21735,1.736,25,,,
2023,3,43000,0.008,5,,,
2023,3,41201,,,,,
2023,3,10210,7.59,43,,,
2023,3,24180,0.296,2,,,
2023,3,22200,0.058,1,,,
