Haul #,Station,Vessel,Month,Day,Year,Species Code,Subsample weight (kg),Total # in subsample,100% sample catch (kg),# caught,Net fished,,,,
1,155,Pandalus,7,24,2008,10210,1.65,35,,,06/USED,,,,
1,155,Pandalus,7,24,2008,10220,10.8,8,,,06/USED,,,,
1,155,Pandalus,7,24,2008,10285,1,17,,,06/USED,,,,
1,155,Pandalus,7,24,2008,20061,0.02,1,,,06/USED,,,,
1,155,Pandalus,7,24,2008,21388,0.15,2,,,06/USED,,,,
1,155,Pandalus,7,24,2008,21725,0.02,2,,,06/USED,,,,
1,155,Pandalus,7,24,2008,21735,1.1,12,,,06/USED,,,,
1,155,Pandalus,7,24,2008,23801,0.012,1,,,06/USED,,,,
1,155,Pandalus,7,24,2008,41201,0.155,12,,,06/USED,,,,
1,155,Pandalus,7,24,2008,43000,0.19,3,,,06/USED,,,,
1,155,Pandalus,7,24,2008,66530,0.033,12,,,06/USED,,,,
1,155,Pandalus,7,24,2008,66548,0.021,11,,,06/USED,,,,
1,155,Pandalus,7,24,2008,66611,0.05,12,,,06/USED,,,,
1,155,Pandalus,7,24,2008,68781,1.4,9,,,06/USED,,,,
1,155,Pandalus,7,24,2008,69010,0.2,2,,,06/USED,,,,
1,155,Pandalus,7,24,2008,69061,0.71,21,,,06/USED,,,,
1,155,Pandalus,7,24,2008,69322,3.96,5,,,06/USED,,,,
1,155,Pandalus,7,24,2008,71001,0.004,1,,,06/USED,,,,
1,155,Pandalus,7,24,2008,71753,1.18,7,,,06/USED,,,,
1,155,Pandalus,7,24,2008,71772,0.07,1,,,06/USED,,,,
1,155,Pandalus,7,24,2008,71800,0.64,1,,,06/USED,,,,
1,155,Pandalus,7,24,2008,75285,0.01,1,,,06/USED,,,,
1,155,Pandalus,7,24,2008,80020,3.8,7,,,06/USED,,,,
1,155,Pandalus,7,24,2008,80200,6.8,24,,,06/USED,,,,
1,155,Pandalus,7,24,2008,81742,23.8,457,,,06/USED,,,,
1,155,Pandalus,7,24,2008,82510,2.2,25,,,06/USED,,,,
1,155,Pandalus,7,24,2008,83020,0.15,1,,,06/USED,,,,
1,155,Pandalus,7,24,2008,95020,0.002,1,,,06/USED,,,,
1,155,Pandalus,7,24,2008,98082,0.12,2,,,06/USED,,,,
1,155,Pandalus,7,24,2008,99999,0.32,.,,,06/USED,,,,
2,126,Pandalus,7,24,2008,10210,0.45,13,,,06/USED,,,,
2,126,Pandalus,7,24,2008,10285,0.1,1,,,06/USED,,,,
2,126,Pandalus,7,24,2008,21375,0.447,5,,,06/USED,,,,
2,126,Pandalus,7,24,2008,21388,0.12,3,,,06/USED,,,,
2,126,Pandalus,7,24,2008,21423,0.004,1,,,06/USED,,,,
2,126,Pandalus,7,24,2008,21725,0.046,5,,,06/USED,,,,
2,126,Pandalus,7,24,2008,21735,1,15,,,06/USED,,,,
2,126,Pandalus,7,24,2008,23801,0.192,14,,,06/USED,,,,
2,126,Pandalus,7,24,2008,24185,0.5,1,,,06/USED,,,,
2,126,Pandalus,7,24,2008,41201,0.25,13,,,06/USED,,,,
2,126,Pandalus,7,24,2008,66045,0.037,16,,,06/USED,,,,
2,126,Pandalus,7,24,2008,66050,0.005,1,,,06/USED,,,,
2,126,Pandalus,7,24,2008,66203,0.024,4,,,06/USED,,,,
2,126,Pandalus,7,24,2008,66530,0.01,5,,,06/USED,,,,
2,126,Pandalus,7,24,2008,66548,0.02,8,,,06/USED,,,,
2,126,Pandalus,7,24,2008,66601,0.038,2,,,06/USED,,,,
2,126,Pandalus,7,24,2008,66611,0.318,62,,,06/USED,,,,
2,126,Pandalus,7,24,2008,68781,0.65,3,,,06/USED,,,,
2,126,Pandalus,7,24,2008,69010,0.288,6,,,06/USED,,,,
2,126,Pandalus,7,24,2008,69061,0.138,15,,,06/USED,,,,
2,126,Pandalus,7,24,2008,69322,4.15,5,,,06/USED,,,,
2,126,Pandalus,7,24,2008,71250,0.002,1,,,06/USED,,,,
2,126,Pandalus,7,24,2008,71884,3,10,,,06/USED,,,,
2,126,Pandalus,7,24,2008,80020,3.05,3,,,06/USED,,,,
2,126,Pandalus,7,24,2008,80200,4.5,10,,,06/USED,"Note: leave out this tow when calculating abundance, not parallel to retow (#4).",,,
2,126,Pandalus,7,24,2008,80540,0.003,1,,,06/USED,,,,
2,126,Pandalus,7,24,2008,80590,0.6,1,,,06/USED,,,,
2,126,Pandalus,7,24,2008,81742,41.2,317,,,06/USED,,,,
2,126,Pandalus,7,24,2008,82510,2.55,57,,,06/USED,,,,
2,126,Pandalus,7,24,2008,83020,0.6,6,,,06/USED,,,,
2,126,Pandalus,7,24,2008,95020,0.2,30,,,06/USED,,,,
2,126,Pandalus,7,24,2008,99999,2.75,.,,,06/USED,,,,
3,96,Pandalus,7,25,2008,10210,0.6,23,,,06/USED,,,,
3,96,Pandalus,7,25,2008,20322,1.25,1,,,06/USED,,,,
3,96,Pandalus,7,25,2008,21110,0.043,1,,,06/USED,,,,
3,96,Pandalus,7,25,2008,21313,0.05,4,,,06/USED,,,,
3,96,Pandalus,7,25,2008,21375,0.118,9,,,06/USED,,,,
3,96,Pandalus,7,25,2008,21405,0.011,1,,,06/USED,,,,
3,96,Pandalus,7,25,2008,21735,0.5,7,,,06/USED,,,,
3,96,Pandalus,7,25,2008,23801,0.37,18,,,06/USED,,,,
3,96,Pandalus,7,25,2008,24180,0.01,1,,,06/USED,,,,
3,96,Pandalus,7,25,2008,24185,0.22,2,,,06/USED,,,,
3,96,Pandalus,7,25,2008,24189,0.09,1,,,06/USED,,,,
3,96,Pandalus,7,25,2008,41201,0.042,5,,,06/USED,,,,
3,96,Pandalus,7,25,2008,43000,3.22,37,,,06/USED,,,,
3,96,Pandalus,7,25,2008,66548,0.1,46,,,06/USED,,,,
3,96,Pandalus,7,25,2008,66601,0.02,1,,,06/USED,,,,
3,96,Pandalus,7,25,2008,66611,0.01,3,,,06/USED,,,,
3,96,Pandalus,7,25,2008,68781,0.9,8,,,06/USED,,,,
3,96,Pandalus,7,25,2008,69035,1.37,19,,,06/USED,,,,
3,96,Pandalus,7,25,2008,69061,0.02,1,,,06/USED,,,,
3,96,Pandalus,7,25,2008,69090,0.65,4,,,06/USED,,,,
3,96,Pandalus,7,25,2008,69322,7.35,11,,,06/USED,,,,
3,96,Pandalus,7,25,2008,71884,3.95,16,,,06/USED,,,,
3,96,Pandalus,7,25,2008,74980,0.03,1,,,06/USED,,,,
3,96,Pandalus,7,25,2008,75286,0.736,19,,,06/USED,,,,
3,96,Pandalus,7,25,2008,80200,3,8,,,06/USED,,,,
3,96,Pandalus,7,25,2008,81742,34.85,339,,,06/USED,RETOW due to 4+ legal RKC,,,
3,96,Pandalus,7,25,2008,82510,8.4,206,,,06/USED,,,,
3,96,Pandalus,7,25,2008,83020,0.15,2,,,06/USED,,,,
3,96,Pandalus,7,25,2008,95020,0.119,3,,,06/USED,,,,
3,96,Pandalus,7,25,2008,98000,0.01,1,,,06/USED,,,,
3,96,Pandalus,7,25,2008,98082,0.03,3,,,06/USED,,,,
3,96,Pandalus,7,25,2008,99999,14,.,,,06/USED,,,,
4,123,Pandalus,7,25,2008,10210,0.085,4,,,06/USED,,,,
4,123,Pandalus,7,25,2008,10285,0.045,1,,,06/USED,,,,
4,123,Pandalus,7,25,2008,21313,0.08,5,,,06/USED,,,,
4,123,Pandalus,7,25,2008,21375,0.04,3,,,06/USED,,,,
4,123,Pandalus,7,25,2008,21388,0.11,2,,,06/USED,,,,
4,123,Pandalus,7,25,2008,21405,0.005,1,,,06/USED,,,,
4,123,Pandalus,7,25,2008,21735,0.404,3,,,06/USED,,,,
4,123,Pandalus,7,25,2008,23801,0.07,4,,,06/USED,,,,
4,123,Pandalus,7,25,2008,41201,0.658,29,,,06/USED,,,,
4,123,Pandalus,7,25,2008,65100,0.11,2,,,06/USED,,,,
4,123,Pandalus,7,25,2008,66045,0.06,33,,,06/USED,,,,
4,123,Pandalus,7,25,2008,66530,0.025,6,,,06/USED,,,,
4,123,Pandalus,7,25,2008,66548,0.07,11,,,06/USED,,,,
4,123,Pandalus,7,25,2008,66611,0.085,18,,,06/USED,,,,
4,123,Pandalus,7,25,2008,68781,0.125,1,,,06/USED,,,,
4,123,Pandalus,7,25,2008,69035,0.51,6,,,06/USED,,,,
4,123,Pandalus,7,25,2008,69061,0.05,4,,,06/USED,,,,
4,123,Pandalus,7,25,2008,69322,3.05,4,,,06/USED,,,,
