# 1996 Trawl survey length weight data ,,,,,,,,,,
# PC_liver PC_stomac PC_sex: Sampled for P-cod.,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
Year,Haul,Station,Species,Species Code,Size(mm),weight (lb),weight (kg),PC_liver,PC_stomach,PC_sex
1996,2,,,10120,1130,,18.1,,,
1996,3,,,10120,940,,,,,
1996,3,,,10120,980,,,,,
1996,26,,,10120,880,,8.3,,,
1996,31,,,10120,820,,6.6,,,
1996,32,,,10120,720,,,,,
1996,32,,,10120,780,,,,,
1996,32,,,10120,820,,,,,
1996,32,,,10120,930,,,,,
1996,32,,,10120,930,,,,,
1996,32,,,10120,1120,,,,,
1996,33,,,10120,820,,,,,
1996,33,,,10120,840,,,,,
1996,33,,,10120,860,,,,,
1996,35,,,10120,890,,,,,
1996,35,,,10120,960,,,,,
1996,35,,,10120,1100,,,,,
1996,35,,,10120,910,,,,,
1996,36,,,10120,920,,,,,
1996,36,,,10120,940,,,,,
1996,36,,,10120,1000,,,,,
1996,36,,,10120,1040,,,,,
1996,37,,,10120,770,,,,,
1996,37,,,10120,1670,,,,,
1996,39,,,10120,570,,,,,
1996,39,,,10120,1050,,,,,
1996,39,,,10120,1060,,,,,
1996,39,,,10120,1090,,,,,
1996,43,,,10120,890,,,,,
1996,43,,,10120,830,,,,,
1996,44,,,10120,760,,,,,
1996,44,,,10120,850,,,,,
1996,44,,,10120,830,,,,,
1996,45,,,10120,770,,,,,
1996,45,,,10120,970,,,,,
1996,45,,,10120,1010,,,,,
1996,45,,,10120,860,,,,,
1996,45,,,10120,800,,,,,
1996,45,,,10120,600,,,,,
1996,45,,,10120,1070,,,,,
1996,46,,,10120,820,,,,,
1996,46,,,10120,610,,,,,
1996,46,,,10120,1010,,,,,
1996,47,,,10120,810,,6.4,,,
1996,48,,,10120,810,,6.4,,,
1996,62,,,10120,1040,,,,,
1996,62,,,10120,1020,,,,,
1996,62,,,10120,940,,,,,
1996,62,,,10120,940,,,,,
1996,62,,,10120,730,,,,,
1996,63,,,10120,800,,,,,
1996,63,,,10120,830,,,,,
1996,64,,,10120,800,,,,,
1996,64,,,10120,810,,,,,
1996,65,,,10120,930,,10,,,
1996,66,,,10120,1000,,12.6,,,
1996,67,,,10120,900,,,,,
1996,67,,,10120,1070,,,,,
1996,67,,,10120,1040,,,,,
1996,68,,,10120,1080,,,,,
1996,68,,,10120,1140,,,,,
1996,68,,,10120,910,,,,,
1996,68,,,10120,880,,,,,
1996,69,,,10120,1030,,,,,
1996,69,,,10120,1050,,,,,
1996,69,,,10120,830,,,,,
1996,71,,,10120,1030,,,,,
1996,71,,,10120,990,,,,,
1996,71,,,10120,1180,,,,,
1996,38,,,10120,950,,,,,
1996,38,,,10120,950,,,,,
1996,38,,,10120,930,,,,,
1996,38,,,10120,930,,,,,
1996,70,,,10120,850,,7.5,,,
1996,28,,,10220,420,,,,,
1996,29,,,10220,380,,,,,
1996,29,,,10220,460,,,,,
1996,33,,,10220,430,,,,,
1996,33,,,10220,570,,,,,
1996,38,,,10220,370,,,,,
1996,38,,,10220,560,,,,,
1996,39,,,10220,260,,,,,
1996,39,,,10220,420,,,,,
1996,41,,,10220,540,,,,,
1996,45,,,10220,460,,,,,
1996,46,,,10220,300,,,,,
1996,46,,,10220,490,,,,,
1996,47,,,10220,480,,,,,
1996,48,,,10220,440,,,,,
1996,48,,,10220,370,,,,,
1996,50,,,10220,400,,,,,
1996,51,,,10220,400,,,,,
1996,52,,,10220,610,,,,,
1996,52,,,10220,430,,,,,
1996,52,,,10220,400,,,,,
1996,53,,,10220,390,,,,,
1996,53,,,10220,320,,,,,
1996,53,,,10220,360,,,,,
1996,54,,,10220,430,,,,,
1996,57,,,10220,490,,,,,
1996,57,,,10220,290,,,,,
1996,58,,,10220,310,,,,,
1996,60,,,10220,350,,,,,
1996,60,,,10220,500,,,,,
1996,61,,,10220,440,,,,,
1996,61,,,10220,490,,,,,
1996,61,,,10220,450,,,,,
1996,61,,,10220,460,,,,,
1996,63,,,10220,350,,,,,
1996,63,,,10220,380,,,,,
1996,63,,,10220,420,,,,,
1996,63,,,10220,360,,,,,
1996,63,,,10220,380,,,,,
1996,63,,,10220,440,,,,,
1996,66,,,10220,520,,,,,
1996,66,,,10220,360,,,,,
1996,66,,,10220,390,,,,,
1996,67,,,10220,460,,,,,
1996,68,,,10220,290,,,,,
1996,68,,,10220,310,,,,,
1996,69,,,10220,320,,,,,
1996,69,,,10220,320,,,,,
1996,69,,,10220,370,,,,,
1996,69,,,10220,390,,,,,
1996,69,,,10220,400,,,,,
1996,69,,,10220,410,,,,,
1996,69,,,10220,420,,,,,
1996,69,,,10220,420,,,,,
1996,69,,,10220,450,,,,,
1996,69,,,10220,470,,,,,
1996,70,,,10220,370,,,,,
1996,38,,,10220,470,,,,,
1996,38,,,10220,300,,,,,
1996,38,,,10220,350,,,,,
1996,38,,,10220,360,,,,,
1996,38,,,10220,440,,,,,
1996,43,,,21720,610,,2.7,,,
1996,30,,,21735,50,,,,,
1996,30,,,21735,60,,,,,
1996,30,,,21735,60,,,,,
1996,30,,,21735,80,,,,,
1996,30,,,21735,130,,,,,
1996,30,,,21735,130,,,,,
1996,30,,,21735,130,,,,,
1996,30,,,21735,140,,,,,
1996,30,,,21735,150,,,,,
1996,30,,,21735,150,,,,,
1996,30,,,21735,150,,,,,
1996,30,,,21735,150,,,,,
1996,30,,,21735,150,,,,,
1996,30,,,21735,150,,,,,
1996,30,,,21735,150,,,,,
1996,30,,,21735,150,,,,,
1996,30,,,21735,150,,,,,
1996,30,,,21735,150,,,,,
1996,30,,,21735,150,,,,,
1996,30,,,21735,150,,,,,
1996,30,,,21735,160,,,,,
1996,30,,,21735,160,,,,,
1996,30,,,21735,160,,,,,
1996,30,,,21735,160,,,,,
1996,30,,,21735,160,,,,,
1996,30,,,21735,160,,,,,
1996,30,,,21735,160,,,,,
1996,30,,,21735,160,,,,,
1996,30,,,21735,160,,,,,
1996,30,,,21735,160,,,,,
1996,30,,,21735,170,,,,,
1996,30,,,21735,170,,,,,
1996,30,,,21735,170,,,,,
1996,30,,,21735,170,,,,,
1996,30,,,21735,170,,,,,
1996,30,,,21735,170,,,,,
1996,30,,,21735,170,,,,,
1996,30,,,21735,170,,,,,
1996,30,,,21735,170,,,,,
1996,30,,,21735,170,,,,,
1996,30,,,21735,180,,,,,
1996,30,,,21735,180,,,,,
1996,30,,,21735,180,,,,,
1996,30,,,21735,180,,,,,
1996,30,,,21735,180,,,,,
1996,30,,,21735,190,,,,,
1996,30,,,21735,190,,,,,
1996,30,,,21735,190,,,,,
1996,30,,,21735,190,,,,,
1996,30,,,21735,200,,,,,
1996,30,,,21735,200,,,,,
1996,30,,,21735,200,,,,,
1996,30,,,21735,210,,,,,
1996,30,,,21735,210,,,,,
1996,30,,,21735,210,,,,,
1996,30,,,21735,210,,,,,
1996,30,,,21735,210,,,,,
1996,30,,,21735,210,,,,,
1996,30,,,21735,220,,,,,
1996,30,,,21735,220,,,,,
1996,30,,,21735,220,,,,,
1996,30,,,21735,220,,,,,
1996,30,,,21735,220,,,,,
1996,30,,,21735,230,,,,,
1996,30,,,21735,230,,,,,
1996,30,,,21735,230,,,,,
1996,30,,,21735,230,,,,,
1996,30,,,21735,250,,,,,
1996,30,,,21735,250,,,,,
1996,30,,,21735,260,,,,,
1996,30,,,21735,130,,,,,
1996,30,,,21735,150,,,10,,
1996,30,,,21735,160,,,20,,
1996,30,,,21735,170,,,15,,
1996,30,,,21735,180,,,5,,
1996,30,,,21735,190,,,2,,
1996,30,,,21735,200,,,6,,
1996,30,,,21735,210,,,3,,
1996,30,,,21735,220,,,3,,
1996,30,,,21735,230,,,5,,
1996,30,,,21735,240,,,5,,
1996,30,,,21735,250,,,2,,
1996,30,,,21735,260,,,,,
1996,30,,,21735,270,,,,,
1996,28,,,21735,140,,,4,,
1996,28,,,21735,150,,,33,,
1996,28,,,21735,160,,,26,,
1996,28,,,21735,170,,,16,,
1996,28,,,21735,180,,,5,,
1996,28,,,21735,190,,,,,
1996,28,,,21735,200,,,3,,
1996,28,,,21735,210,,,10,,
1996,28,,,21735,220,,,5,,
1996,28,,,21735,230,,,,,
1996,28,,,21735,240,,,,,
1996,28,,,21735,250,,,4,,
1996,28,,,21735,260,,,3,,
1996,28,,,21735,120,,,,,
1996,28,,,21735,130,,,3,,
1996,28,,,21735,140,,,11,,
1996,28,,,21735,150,,,34,,
1996,28,,,21735,160,,,30,,
1996,28,,,21735,170,,,26,,
1996,28,,,21735,180,,,5,,
1996,28,,,21735,190,,,5,,
1996,28,,,21735,200,,,2,,
1996,28,,,21735,210,,,,,
1996,28,,,21735,220,,,7,,
1996,28,,,21735,230,,,9,,
1996,28,,,21735,240,,,3,,
1996,28,,,21735,250,,,7,,
1996,29,,,21735,140,,,3,,
1996,29,,,21735,150,,,10,,
1996,29,,,21735,160,,,8,,
1996,29,,,21735,170,,,5,,
1996,29,,,21735,180,,,2,,
1996,29,,,21735,190,,,2,,
1996,29,,,21735,200,,,,,
1996,29,,,21735,210,,,7,,
1996,29,,,21735,220,,,,,
1996,29,,,21735,230,,,7,,
1996,29,,,21735,240,,,4,,
1996,29,,,21735,250,,,5,,
1996,29,,,21735,260,,,,,
1996,29,,,21735,270,,,,,
1996,29,,,21735,130,,,,,
1996,29,,,21735,140,,,3,,
1996,29,,,21735,150,,,6,,
1996,29,,,21735,160,,,10,,
1996,29,,,21735,170,,,6,,
1996,29,,,21735,180,,,,,
1996,29,,,21735,190,,,6,,
1996,29,,,21735,200,,,3,,
1996,29,,,21735,210,,,4,,
1996,29,,,21735,220,,,4,,
1996,29,,,21735,230,,,2,,
1996,29,,,21735,240,,,2,,
1996,29,,,21735,250,,,2,,
1996,29,,,21735,260,,,3,,
1996,31,,,21735,60,,,2,,
1996,31,,,21735,70,,,,,
1996,31,,,21735,130,,,,,
1996,31,,,21735,150,,,,,
1996,31,,,21735,160,,,7,,
1996,31,,,21735,170,,,6,,
1996,31,,,21735,180,,,3,,
1996,31,,,21735,190,,,2,,
1996,31,,,21735,200,,,7,,
1996,31,,,21735,210,,,6,,
1996,31,,,21735,220,,,4,,
1996,31,,,21735,230,,,4,,
1996,31,,,21735,240,,,2,,
1996,31,,,21735,250,,,2,,
1996,31,,,21735,260,,,3,,
1996,31,,,21735,270,,,2,,
1996,31,,,21735,50,,,,,
1996,31,,,21735,60,,,3,,
1996,31,,,21735,70,,,4,,
1996,31,,,21735,150,,,3,,
1996,31,,,21735,160,,,12,,
1996,31,,,21735,170,,,9,,
1996,31,,,21735,190,,,4,,
1996,31,,,21735,200,,,3,,
1996,31,,,21735,220,,,7,,
1996,31,,,21735,230,,,2,,
1996,31,,,21735,240,,,12,,
1996,31,,,21735,250,,,3,,
1996,31,,,21735,260,,,2,,
1996,31,,,21735,270,,,,,
1996,32,,,21735,60,,,,,
1996,32,,,21735,70,,,,,
1996,32,,,21735,150,,,2,,
1996,32,,,21735,160,,,13,,
1996,32,,,21735,170,,,7,,
1996,32,,,21735,180,,,,,
1996,32,,,21735,210,,,4,,
1996,32,,,21735,220,,,12,,
1996,32,,,21735,230,,,6,,
1996,32,,,21735,240,,,8,,
1996,32,,,21735,250,,,7,,
1996,32,,,21735,260,,,2,,
1996,32,,,21735,70,,,2,,
1996,32,,,21735,150,,,,,
1996,32,,,21735,160,,,13,,
1996,32,,,21735,170,,,11,,
1996,32,,,21735,180,,,5,,
1996,32,,,21735,190,,,4,,
1996,32,,,21735,200,,,4,,
1996,32,,,21735,210,,,8,,
1996,32,,,21735,220,,,9,,
1996,32,,,21735,230,,,12,,
1996,32,,,21735,240,,,4,,
1996,32,,,21735,250,,,4,,
1996,32,,,21735,260,,,4,,
1996,32,,,21735,270,,,2700,,
1996,32,,,21735,280,,,2800,,
1996,33,,,21735,120,,,1200,,
1996,33,,,21735,150,,,2,,
1996,33,,,21735,160,,,6,,
1996,33,,,21735,170,,,9,,
1996,33,,,21735,180,,,6,,
1996,33,,,21735,190,,,7,,
1996,33,,,21735,200,,,5,,
1996,33,,,21735,210,,,4,,
1996,33,,,21735,220,,,6,,
1996,33,,,21735,230,,,6,,
1996,33,,,21735,240,,,7,,
1996,33,,,21735,250,,,5,,
1996,33,,,21735,260,,,,,
1996,33,,,21735,270,,,,,
1996,33,,,21735,280,,,2,,
1996,33,,,21735,160,,,4,,
1996,33,,,21735,170,,,6,,
1996,33,,,21735,180,,,3,,
1996,33,,,21735,190,,,,,
1996,33,,,21735,200,,,7,,
1996,33,,,21735,210,,,9,,
1996,33,,,21735,220,,,10,,
1996,33,,,21735,230,,,9,,
1996,33,,,21735,240,,,10,,
1996,33,,,21735,250,,,4,,
1996,33,,,21735,260,,,6,,
1996,33,,,21735,270,,,,,
1996,34,,,21735,60,,,,,
1996,34,,,21735,160,,,3,,
1996,34,,,21735,170,,,2,,
1996,34,,,21735,180,,,4,,
1996,34,,,21735,200,,,30,,
1996,34,,,21735,210,,,11,,
1996,34,,,21735,220,,,4,,
1996,34,,,21735,230,,,7,,
1996,34,,,21735,240,,,14,,
1996,34,,,21735,250,,,3,,
1996,34,,,21735,260,,,2,,
1996,34,,,21735,280,,,,,
1996,34,,,21735,290,,,,,
1996,34,,,21735,50,,,2,,
1996,34,,,21735,160,,,4,,
1996,34,,,21735,170,,,,,
1996,34,,,21735,180,,,,,
1996,34,,,21735,190,,,2,,
1996,34,,,21735,200,,,2,,
1996,34,,,21735,210,,,4,,
1996,34,,,21735,220,,,6,,
1996,34,,,21735,230,,,8,,
1996,34,,,21735,240,,,3,,
1996,34,,,21735,250,,,,,
1996,34,,,21735,260,,,,,
1996,34,,,21735,270,,,,,
1996,35,,,21735,160,,,,,
1996,35,,,21735,200,,,,,
1996,35,,,21735,220,,,3,,
1996,35,,,21735,260,,,,,
1996,35,,,21735,240,,,2,,
1996,35,,,21735,250,,,,,
1996,35,,,21735,210,,,,,
1996,35,,,21735,220,,,,,
1996,36,,,21735,200,,,,,
1996,36,,,21735,210,,,,,
1996,36,,,21735,220,,,4,,
1996,36,,,21735,230,,,7,,
1996,36,,,21735,240,,,8,,
1996,36,,,21735,250,,,2,,
1996,36,,,21735,260,,,3,,
1996,36,,,21735,270,,,,,
1996,36,,,21735,170,,,3,,
1996,36,,,21735,180,,,,,
1996,36,,,21735,220,,,2,,
1996,36,,,21735,230,,,4,,
1996,36,,,21735,240,,,2,,
1996,36,,,21735,250,,,,,
1996,36,,,21735,260,,,3,,
1996,37,,,21735,180,,,,,
1996,37,,,21735,200,,,2,,
1996,37,,,21735,210,,,7,,
1996,37,,,21735,220,,,,,
1996,37,,,21735,230,,,8,,
1996,37,,,21735,240,,,3,,
1996,37,,,21735,250,,,5,,
1996,37,,,21735,260,,,3,,
1996,37,,,21735,270,,,2,,
1996,37,,,21735,280,,,,,
1996,37,,,21735,290,,,2,,
1996,37,,,21735,160,,,,,
1996,37,,,21735,200,,,,,
1996,37,,,21735,210,,,6,,
1996,37,,,21735,220,,,2,,
1996,37,,,21735,230,,,2,,
1996,37,,,21735,240,,,5,,
1996,37,,,21735,250,,,4,,
1996,37,,,21735,260,,,2,,
1996,37,,,21735,270,,,2,,
1996,37,,,21735,280,,,,,
1996,37,,,21735,300,,,,,
1996,37,,,21735,310,,,,,
1996,38,,,21735,160,,,,,
1996,38,,,21735,170,,,3,,
1996,38,,,21735,180,,,3,,
1996,38,,,21735,190,,,,,
1996,38,,,21735,200,,,3,,
