# 1999 Trawl survey length weight data ,,,,,,,,,,
# PC_liver PC_stomac PC_sex: Sampled for P-cod.,,,,,,,,,,
# Only length data were corrected,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
Year,Haul,Station,Species,Species Code,Size(mm),weight (lb),weight (kg),PC_liver,PC_stomach,PC_sex
1999,3,,Starry flounder,10220,490,,,,,
1999,3,,Starry flounder,10220,300,,,,,
1999,3,,Starry flounder,10220,370,,,,,
1999,3,,Starry flounder,10220,460,,,,,
1999,18,,Starry flounder,10220,510,,,,,
1999,18,,Starry flounder,10220,460,,,,,
1999,18,,Starry flounder,10220,470,,,,,
1999,18,,Starry flounder,10220,420,,,,,
1999,18,,Starry flounder,10220,440,,,,,
1999,18,,Starry flounder,10220,500,,,,,
1999,18,,Starry flounder,10220,530,,,,,
1999,18,,Starry flounder,10220,450,,,,,
1999,18,,Starry flounder,10220,400,,,,,
1999,18,,Starry flounder,10220,400,,,,,
1999,18,,Starry flounder,10220,410,,,,,
1999,18,,Pacific cod,21720,690,,,,,
1999,18,,Polar eelpout,24189,660,,,,,
1999,19,,Pacific cod,21720,760,,,,,
1999,23,,Pacific sculpin,21371,560,,,,,
1999,23,,Pacific sculpin,21371,590,,,,,
1999,23,,Pacific sculpin,21371,570,,,,,
1999,28,,Starry flounder,10220,490,,,,,
1999,28,,Starry flounder,10220,480,,,,,
1999,28,,Starry flounder,10220,360,,,,,
1999,28,,Starry flounder,10220,470,,,,,
1999,28,,Alaska plaice,10285,410,,,,,
1999,28,,Pacific sculpin,21371,510,,,,,
1999,28,,Polar eelpout,24189,530,,,,,
1999,42,,Bering wolffish,20322,410,,,,,
1999,54,,Pacific halibut,10120,260,,,,,
1999,56,,Walleye pollock,21740,790,,,,,
1999,57,,Walleye pollock,21740,690,,,,,
1999,58,,Walleye pollock,21740,770,,,,,
1999,59,,Walleye pollock,21740,710,,,,,
1999,60,,Yellowfin sole,10210,420,,,,,
1999,60,,Yellowfin sole,10210,410,,,,,
1999,60,,Yellowfin sole,10210,420,,,,,
1999,60,,Yellowfin sole,10210,380,,,,,
1999,60,,Yellowfin sole,10210,400,,,,,
1999,60,,Starry flounder,10220,450,,,,,
1999,60,,Starry flounder,10220,480,,,,,
1999,60,,Starry flounder,10220,470,,,,,
1999,60,,Starry flounder,10220,500,,,,,
1999,60,,Alaska plaice,10285,470,,,,,
1999,60,,Alaska plaice,10285,440,,,,,
1999,60,,Alaska plaice,10285,480,,,,,
1999,60,,Alaska plaice,10285,410,,,,,
1999,60,,Alaska plaice,10285,460,,,,,
1999,60,,Alaska plaice,10285,440,,,,,
1999,60,,Alaska plaice,10285,470,,,,,
1999,60,,Walleye pollock,21740,720,,,,,
