# 2006 Trawl survey length weight data ,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
Year,Haul,Station,Species,Species Code,Size(mm),weight (lb),weight (kg),PC_liver,PC_stomach,PC_sex
2006,3,,Pacific halibut,10120,662,,2,,,
2006,6,,Pacific halibut,10120,663,,3.05,,,
2006,17,,Pacific halibut,10120,751,,,,,
2006,20,,Pacific cod,21720,970,,,,,
2006,20,,Pacific cod,21720,741,,,,,
2006,20,,Pacific cod,21720,690,,,,,
2006,20,,Pacific cod,21720,740,,,,,
2006,20,,Walleye pollock,21740,685,,,,,
2006,20,,Walleye pollock,21740,720,,,,,
2006,20,,Walleye pollock,21740,695,,,,,
2006,20,,Walleye pollock,21740,760,,,,,
2006,20,,Walleye pollock,21740,640,,,,,
2006,20,,Walleye pollock,21740,670,,,,,
2006,20,,Walleye pollock,21740,680,,,,,
2006,20,,Walleye pollock,21740,775,,,,,
2006,20,,Walleye pollock,21740,685,,,,,
2006,20,,Walleye pollock,21740,755,,,,,
2006,20,,Walleye pollock,21740,625,,,,,
2006,20,,Walleye pollock,21740,705,,,,,
2006,20,,Walleye pollock,21740,720,,,,,
2006,20,,Walleye pollock,21740,645,,,,,
2006,20,,Walleye pollock,21740,590,,,,,
2006,20,,Walleye pollock,21740,760,,,,,
2006,20,,Walleye pollock,21740,655,,,,,
2006,20,,Walleye pollock,21740,655,,,,,
2006,20,,Walleye pollock,21740,655,,,,,
2006,21,,Pacific cod,21720,740,,,,,
2006,21,,Walleye pollock,21740,681,,,,,
2006,22,,Walleye pollock,21740,776,,,,,
2006,22,,Walleye pollock,21740,721,,,,,
2006,22,,Walleye pollock,21740,739,,,,,
2006,22,,Walleye pollock,21740,642,,,,,
2006,31,,Pacific halibut,10120,599,,,,,
2006,32,,Pacific halibut,10120,1080,,,,,
2006,32,,Pacific halibut,10120,630,,,,,
2006,32,,Pacific halibut,10120,700,,,,,
2006,32,,Pacific halibut,10120,815,,,,,
2006,32,,Pacific cod,21720,840,,,,,
2006,32,,Pacific cod,21720,790,,,,,
2006,32,,Pacific cod,21720,765,,,,,
