Year,Haul,Station,Species,Species Code,Size(mm),weight (lb),weight (kg),PC_liver,PC_stomach,PC_sex
2011,7,132,Pacific halibut,10120,692,,,,,
2011,8,105,Pacific halibut,10120,942,,,,,
2011,8,105,Pacific halibut,10120,647,,,,,
2011,8,105,Yellowfin sole,10210,440,,1.55,,,
2011,9,106,Pacific cod,21720,896,,7.2,,,
2011,11,82,Pacific halibut,10120,1050,,,,,
2011,11,82,Pacific halibut,10120,1143,,,,,
2011,12,81,Pacific halibut,10120,660,,,,,
2011,12,81,Pacific halibut,10120,787,,,,,
2011,13,80,Pacific halibut,10120,1022,,,,,
2011,13,80,Pacific halibut,10120,610,,,,,
2011,17,104,Pacific halibut,10120,489,,,,,
2011,18,104,Pacific halibut,10120,613,,,,,
2011,18,104,Pacific halibut,10120,635,,,,,
2011,19,131,Pacific halibut,10120,579,,,,,
2011,20,130,Pacific halibut,10120,620,,,,,
2011,41,186,Pacific halibut,10120,444,,,,,
2011,42,160,Pacific halibut,10120,566,,,,,
2011,42,160,Pacific halibut,10120,442,,,,,
2011,43,159,Pacific halibut,10120,447,,,,,
2011,44,158,Pacific halibut,10120,914,,,,,
