# 2014 Trawl survey length weight data ,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
Year,Haul,Station,Species,Species Code,Length_cm,weight (lb),weight (kg),PC_liver,PC_stomach,PC_sex
2014,2,185,Pacific halibut,10120,660,,,,,
2014,2,185,Pacific halibut,10120,587,,,,,
2014,2,185,Pacific halibut,10120,710,,,,,
2014,4,159,Pacific halibut,10120,818,,,,,
2014,25,128,Pacific halibut,10120,580,,,,,
2014,29,157,Pacific halibut,10120,565,,,,,
2014,31,187,Pacific halibut,10120,761,,,,,
2014,31,187,Pacific cod,21720,718,,,,,
2014,31,187,Pacific cod,21720,777,,,,,
2014,32,161,Pacific halibut,10120,1051,,,,,
2014,32,161,Pacific halibut,10120,975,,,,,
2014,32,161,Pacific halibut,10120,862,,,,,
2014,33,135,Pacific cod,21720,605,,,,,
2014,33,135,Pacific cod,21720,724,,,,,
2014,34,134,Pacific cod,21720,641,,3.3,,,
2014,35,133,Pacific cod,21720,703,,,,,
2014,35,133,Pacific cod,21720,728,,,,,
2014,36,132,Pacific halibut,10120,821,,,,,
2014,37,105,Pacific halibut,10120,595,,,,,
2014,37,105,Pacific cod,21720,700,,,,,
2014,37,105,Pacific cod,21720,797,,,,,
2014,38,104,Pacific halibut,10120,605,,,,,
2014,40,78,Pacific halibut,10120,758,,,,,
2014,40,78,Pacific halibut,10120,850,,,,,
2014,42,80,Pacific halibut,10120,846,,,,,
2014,42,80,Pacific cod,21720,811,,5.5,,,
2014,43,81,Pacific halibut,10120,808,,,,,
2014,43,81,Pacific cod,21720,690,,3.8,,,
2014,44,82,Pacific halibut,10120,773,,,,,
2014,44,82,Pacific cod,21720,635,,,,,
2014,45,107,Pacific cod,21720,808,,5.5,,,
2014,46,106,Pacific halibut,10120,725,,,,,
2014,46,106,Pacific cod,21720,633,,,,,
2014,46,106,Pacific cod,21720,751,,,,,
