Haul,Station,Fish,Size(mm),weight (lb),weight (kg),Comments
1,184,Walleye pollock,620,,,
1,184,Walleye pollock,540,,,
1,184,Walleye pollock,632,,,
1,184,Walleye pollock,720,,,
1,184,Walleye pollock,691,,,
1,184,Walleye pollock,600,,,
2,185,Walleye pollock,671,,,
2,185,Walleye pollock,620,,,
2,185,Walleye pollock,590,,,
2,185,Walleye pollock,656,,,
2,185,Walleye pollock,669,,,
2,185,Walleye pollock,566,,,
2,185,Walleye pollock,720,,,
2,185,Walleye pollock,608,,,
2,185,Walleye pollock,670,,,
2,185,Walleye pollock,704,,,
2,185,Walleye pollock,641,,,
2,185,Walleye pollock,645,,,
2,185,Walleye pollock,646,,,
2,185,Walleye pollock,630,,,
2,185,Walleye pollock,680,,,
2,185,Walleye pollock,547,,,
2,185,Walleye pollock,664,,,
3,186,Pacific halibut,854,,,
3,186,Pacific halibut,645,,,
3,186,Pacific cod,649,,,
3,186,Pacific cod,720,,,
3,186,Pacific cod,662,,,
3,186,Pacific cod,695,,,
3,186,Walleye pollock,641,,,
3,186,Walleye pollock,600,,,
3,186,Walleye pollock,629,,,
3,186,Walleye pollock,611,,,
3,186,Walleye pollock,585,,,
3,186,Walleye pollock,612,,,
3,186,Walleye pollock,581,,,
3,186,Walleye pollock,656,,,
3,186,Walleye pollock,619,,,
3,186,Walleye pollock,645,,,
3,186,Walleye pollock,532,,,
3,186,Walleye pollock,555,,,
3,186,Walleye pollock,581,,,
3,186,Walleye pollock,542,,,
3,186,Walleye pollock,600,,,
3,186,Walleye pollock,702,,,
3,186,Walleye pollock,589,,,
3,186,Walleye pollock,541,,,
3,186,Walleye pollock,568,,,
3,186,Walleye pollock,655,,,
3,186,Walleye pollock,621,,,
3,186,Walleye pollock,534,,,
3,186,Walleye pollock,560,,,
3,186,Walleye pollock,519,,,
3,186,Walleye pollock,527,,,
3,186,Walleye pollock,607,,,
3,186,Walleye pollock,546,,,
3,186,Walleye pollock,530,,,
3,186,Walleye pollock,525,,,
3,186,Walleye pollock,640,,,
3,186,Walleye pollock,613,,,
3,186,Walleye pollock,557,,,
3,186,Walleye pollock,596,,,
3,186,Walleye pollock,513,,,
3,186,Walleye pollock,539,,,
4,187,Pacific cod,727,,,
4,187,Pacific cod,617,,,
4,187,Walleye pollock,653,,,
4,187,Walleye pollock,555,,,
4,187,Walleye pollock,527,,,
4,187,Walleye pollock,553,,,
4,187,Walleye pollock,599,,,
4,187,Walleye pollock,642,,,
4,187,Walleye pollock,553,,,
4,187,Walleye pollock,589,,,
4,187,Walleye pollock,535,,,
5,161,Pacific halibut,884,,,
5,161,Pacific cod,748,,,
5,161,Pacific cod,539,,,
5,161,Pacific cod,736,,,
5,161,Pacific cod,657,,,
5,161,Pacific cod,683,,,
5,161,Pacific cod,578,,,
5,161,Pacific cod,600,,,
5,161,Pacific cod,631,,,
5,161,Pacific cod,639,,,
5,161,Pacific cod,569,,,
5,161,Pacific cod,610,,,
5,161,Pacific cod,670,,,
5,161,Pacific cod,680,,,
5,161,Pacific cod,595,,,
5,161,Pacific cod,563,,,
5,161,Pacific cod,655,,,
5,161,Pacific cod,678,,,
5,161,Pacific cod,622,,,
5,161,Pacific cod,557,,,
5,161,Pacific cod,655,,,
5,161,Pacific cod,713,,,
5,161,Pacific cod,562,,,
5,161,Pacific cod,604,,,
5,161,Pacific cod,701,,,
5,161,Pacific cod,744,,,
5,161,Pacific cod,582,,,
5,161,Pacific cod,590,,,
5,161,Walleye pollock,600,,,
5,161,Walleye pollock,603,,,
5,161,Walleye pollock,596,,,
5,161,Walleye pollock,566,,,
5,161,Walleye pollock,603,,,
5,161,Walleye pollock,558,,,
5,161,Walleye pollock,515,,,
5,161,Walleye pollock,520,,,
5,161,Walleye pollock,541,,,
5,161,Walleye pollock,541,,,
5,161,Walleye pollock,513,,,
5,161,Walleye pollock,530,,,
5,161,Walleye pollock,517,,,
5,161,Walleye pollock,520,,,
5,161,Walleye pollock,511,,,
5,161,Walleye pollock,530,,,
5,161,Walleye pollock,540,,,
5,161,Walleye pollock,504,,,
5,161,Walleye pollock,538,,,
5,161,Walleye pollock,531,,,
5,161,Walleye pollock,565,,,
5,161,Walleye pollock,505,,,
5,161,Walleye pollock,607,,,
5,161,Walleye pollock,545,,,
5,161,Walleye pollock,555,,,
5,161,Walleye pollock,586,,,
5,161,Walleye pollock,651,,,
5,161,Walleye pollock,589,,,
5,161,Walleye pollock,517,,,
5,161,Walleye pollock,525,,,
5,161,Walleye pollock,544,,,
5,161,Walleye pollock,589,,,
5,161,Walleye pollock,582,,,
5,161,Walleye pollock,690,,,
5,161,Walleye pollock,552,,,
5,161,Walleye pollock,544,,,
5,161,Walleye pollock,543,,,
5,161,Walleye pollock,600,,,
5,161,Walleye pollock,519,,,
5,161,Walleye pollock,555,,,
5,161,Walleye pollock,521,,,
5,161,Walleye pollock,550,,,
5,161,Walleye pollock,534,,,
5,161,Walleye pollock,520,,,
5,161,Walleye pollock,510,,,
5,161,Walleye pollock,542,,,
5,161,Walleye pollock,547,,,
5,161,Walleye pollock,640,,,
5,161,Walleye pollock,699,,,
5,161,Walleye pollock,557,,,
5,161,Walleye pollock,588,,,
5,161,Walleye pollock,515,,,
5,161,Walleye pollock,566,,,
5,161,Walleye pollock,533,,,
5,161,Walleye pollock,582,,,
5,161,Walleye pollock,550,,,
6,135,Pacific cod,646,,,
6,135,Pacific cod,653,,,
6,135,Pacific cod,575,,,
6,135,Pacific cod,792,,,
6,135,Pacific cod,602,,,
6,135,Pacific cod,605,,,
6,135,Pacific cod,577,,,
6,135,Pacific cod,564,,,
6,135,Pacific cod,534,,,
6,135,Pacific cod,600,,,
6,135,Walleye pollock,531,,,
6,135,Walleye pollock,495,,,
6,135,Walleye pollock,686,,,
6,135,Walleye pollock,535,,,
6,135,Walleye pollock,557,,,
6,135,Walleye pollock,550,,,
6,135,Walleye pollock,505,,,
6,135,Walleye pollock,641,,,
6,135,Walleye pollock,534,,,
6,135,Walleye pollock,536,,,
6,135,Walleye pollock,487,,,
6,135,Walleye pollock,565,,,
6,135,Walleye pollock,579,,,
6,135,Walleye pollock,542,,,
6,135,Walleye pollock,552,,,
6,135,Walleye pollock,551,,,
6,135,Walleye pollock,464,,,
6,135,Walleye pollock,483,,,
6,135,Walleye pollock,618,,,
6,135,Walleye pollock,517,,,
7,134,Walleye pollock,,,,didn’t get length
8,107,Pacific cod,575,,,
8,107,Pacific cod,741,,,
8,107,Pacific cod,506,,,
8,107,Pacific cod,680,,,
8,107,Pacific cod,603,,,
8,107,Walleye pollock,583,,,
8,107,Walleye pollock,546,,,
8,107,Walleye pollock,592,,,
8,107,Walleye pollock,507,,,
8,107,Walleye pollock,512,,,
8,107,Walleye pollock,525,,,
8,107,Walleye pollock,510,,,
8,107,Walleye pollock,600,,,
8,107,Walleye pollock,555,,,
8,107,Walleye pollock,503,,,
8,107,Walleye pollock,709,,,
8,107,Walleye pollock,574,,,
8,107,Walleye pollock,595,,,
8,107,Walleye pollock,528,,,
8,107,Walleye pollock,537,,,
8,107,Walleye pollock,578,,,
8,107,Walleye pollock,487,,,
8,107,Walleye pollock,546,,,
8,107,Walleye pollock,506,,,
8,107,Walleye pollock,534,,,
8,107,Walleye pollock,520,,,
8,107,Walleye pollock,570,,,
8,107,Walleye pollock,601,,,
8,107,Walleye pollock,472,,,
8,107,Walleye pollock,490,,,
8,107,Walleye pollock,515,,,
8,107,Walleye pollock,513,,,
8,107,Walleye pollock,483,,,
8,107,Walleye pollock,572,,,
8,107,Walleye pollock,458,,,
8,107,Walleye pollock,550,,,
8,107,Walleye pollock,490,,,
8,107,Walleye pollock,550,,,
8,107,Walleye pollock,535,,,
8,107,Walleye pollock,573,,,
8,107,Walleye pollock,507,,,
8,107,Walleye pollock,552,,,
8,107,Walleye pollock,503,,,
8,107,Walleye pollock,491,,,
8,107,Walleye pollock,525,,,
8,107,Walleye pollock,590,,,
8,107,Walleye pollock,690,,,
8,107,Walleye pollock,545,,,
8,107,Walleye pollock,483,,,
8,107,Walleye pollock,588,,,
8,107,Walleye pollock,521,,,
8,107,Walleye pollock,530,,,
9,82,Pacific cod,611,,,
9,82,Pacific cod,655,,,
9,82,Pacific cod,587,,,
9,82,Walleye pollock,564,,,
9,82,Walleye pollock,575,,,
9,82,Walleye pollock,532,,,
9,82,Walleye pollock,532,,,
9,82,Walleye pollock,518,,,
9,82,Walleye pollock,508,,,
9,82,Walleye pollock,508,,,
9,82,Walleye pollock,582,,,
9,82,Walleye pollock,643,,,
9,82,Walleye pollock,496,,,
9,82,Walleye pollock,565,,,
9,82,Walleye pollock,505,,,
10,81,Pacific halibut,675,,,
10,81,Pacific cod,560,,,
10,81,Pacific cod,656,,,
10,81,Pacific cod,612,,,
10,81,Pacific cod,721,,,
10,81,Pacific cod,538,,,
10,81,Pacific cod,569,,,
10,81,Pacific cod,645,,,
10,81,Pacific cod,537,,,
10,81,Pacific cod,660,,,
10,81,Pacific cod,553,,,
10,81,Pacific cod,558,,,
10,81,Pacific cod,638,,,
10,81,Pacific cod,616,,,
10,81,Pacific cod,594,,,
10,81,Pacific cod,587,,,
10,81,Pacific cod,553,,,
10,81,Pacific cod,570,,,
10,81,Pacific cod,566,,,
10,81,Walleye pollock,535,,,
10,81,Walleye pollock,565,,,
10,81,Walleye pollock,507,,,
10,81,Walleye pollock,555,,,
10,81,Walleye pollock,561,,,
10,81,Walleye pollock,526,,,
10,81,Walleye pollock,544,,,
10,81,Walleye pollock,601,,,
10,81,Walleye pollock,505,,,
10,81,Walleye pollock,527,,,
10,81,Walleye pollock,575,,,
10,81,Walleye pollock,559,,,
10,81,Walleye pollock,600,,,
10,81,Walleye pollock,515,,,
11,80,Pacific halibut,560,,,
11,80,Pacific cod,780,,,
11,80,Pacific cod,631,,,
11,80,Pacific cod,555,,,
11,80,Pacific cod,630,,,
11,80,Pacific cod,579,,,
11,80,Pacific cod,710,,,
11,80,Pacific cod,584,,,
11,80,Pacific cod,711,,,
11,80,Pacific cod,740,,,
11,80,Pacific cod,774,,,
11,80,Pacific cod,780,,,
11,80,Pacific cod,609,,,
11,80,Pacific cod,611,,,
11,80,Pacific cod,774,,,
11,80,Pacific cod,473,,,
11,80,Pacific cod,730,,,
11,80,Pacific cod,585,,,
11,80,Pacific cod,710,,,
11,80,Pacific cod,630,,,
11,80,Pacific cod,660,,,
11,80,Pacific cod,638,,,
11,80,Pacific cod,565,,,
11,80,Pacific cod,567,,,
11,80,Pacific cod,599,,,
11,80,Pacific cod,610,,,
11,80,Pacific cod,719,,,
11,80,Pacific cod,635,,,
11,80,Pacific cod,615,,,
11,80,Pacific cod,636,,,
11,80,Pacific cod,579,,,
11,80,Walleye pollock,600,,,
11,80,Walleye pollock,569,,,
11,80,Walleye pollock,554,,,
11,80,Walleye pollock,577,,,
11,80,Walleye pollock,599,,,
11,80,Walleye pollock,523,,,
11,80,Walleye pollock,530,,,
11,80,Walleye pollock,527,,,
11,80,Walleye pollock,535,,,
11,80,Walleye pollock,546,,,
