Haul,Station,Species,Species Code,Size(mm),weight (lb),weight (kg)
1,184,Pacific cod,21720,818,,
1,184,Pacific cod,21720,707,,
1,184,Pacific cod,21720,686,,
1,184,Walleye pollock,21740,634,,
1,184,Walleye pollock,21740,583,,
1,184,Walleye pollock,21740,625,,
1,184,Walleye pollock,21740,702,,
1,184,Walleye pollock,21740,564,,
1,184,Walleye pollock,21740,609,,
1,184,Walleye pollock,21740,671,,
1,184,Walleye pollock,21740,580,,
1,184,Walleye pollock,21740,636,,
1,184,Walleye pollock,21740,681,,
1,184,Walleye pollock,21740,634,,
1,184,Walleye pollock,21740,636,,
2,185,Pacific cod,21720,775,,
2,185,Pacific cod,21720,723,,
2,185,Pacific cod,21720,636,,
2,185,Pacific cod,21720,912,,
2,185,Pacific cod,21740,637,,
2,185,Walleye pollock,21740,638,,
2,185,Walleye pollock,21740,604,,
2,185,Walleye pollock,21740,641,,
2,185,Walleye pollock,21740,608,,
2,185,Walleye pollock,21740,585,,
2,185,Walleye pollock,21740,656,,
2,185,Walleye pollock,21740,615,,
2,185,Walleye pollock,21740,636,,
2,185,Walleye pollock,21740,680,,
2,185,Walleye pollock,21740,590,,
3,159,Pacific cod,21720,845,,
3,159,Pacific cod,21720,684,,
3,159,Pacific cod,21720,648,,
3,159,Pacific cod,21720,763,,
3,159,Pacific cod,21720,647,,
3,159,Walleye pollock,21740,578,,
3,159,Walleye pollock,21740,560,,
3,159,Walleye pollock,21740,517,,
3,159,Walleye pollock,21740,614,,
3,159,Walleye pollock,21740,569,,
3,159,Walleye pollock,21740,586,,
3,159,Walleye pollock,21740,646,,
3,159,Walleye pollock,21740,637,,
3,159,Pacific halibut,10120,412,,0.68
4,160,Pacific cod,21720,731,,
4,160,Pacific cod,21720,678,,
4,160,Pacific cod,21720,873,,
4,160,Pacific cod,21720,671,,
4,160,Pacific cod,21720,576,,
4,160,Pacific cod,21720,597,,
4,160,Pacific cod,21720,720,,
4,160,Pacific cod,21720,740,,
4,160,Pacific cod,21720,628,,
4,160,Pacific cod,21720,846,,
4,160,Pacific cod,21720,745,,
4,160,Pacific cod,21720,643,,
4,160,Pacific cod,21720,680,,
4,160,Pacific cod,21720,588,,
4,160,Pacific cod,21720,734,,
