Haul,ADFG_Station,Year,Gross_Catch_Weight_kg,Tare_kg,Large_fish_Debris_kg,RKC_kg,SubSample_Weight_kg,Remarks
1,134,1999,705,270,0,0,42.2,
2,133,1999,920,270,0,0,37,
3,132,1999,475,190,0,0,42.42,
4,131,1999,785,570,0,0,53.3,
5,130,1999,315,180,0,0,53.9,
6,129,1999,480,140,0,0,56,
7,129,1999,495,160,0,0,0,resample crab only
8,128,1999,830,170,0,0,40,
9,127,1999,787,170,0,0,34.9,
10,126,1999,585,325,0,0,43.5,
11,125,1999,340,230,0,0,28,
12,124,1999,105,0,0,0,47.8,
13,123,1999,146,0,0,0,33.4,
14,150,1999,186,0,0,0,48.7,
15,176,1999,244,0,0,0,41.4,
16,201,1999,378,0,46,0,78.7,
17,204,1999,945,200,685,0,54.4,
18,186,1999,125,45,0,0,77.8,
19,187,1999,129,0,0,0,128.8,
20,161,1999,80,0,0,0,79.8,
21,160,1999,94,0,0,0,64.1,
22,159,1999,73,0,0,0,72.6,
23,185,1999,211,0,10,0,48.2,
24,184,1999,273,109,6,0,60.2,
25,184,1999,235,52,0,0,0,resampled crab only
26,158,1999,275,114,0,0,54.1,
27,157,1999,157,83,0,0,76.1,
28,183,1999,392,121,11,0,38.4,
29,183,1999,0,0,0,0,0,Bad haul
30,183,1999,255,85,0,0,0,resampled crab only
31,182,1999,346,100,13,0,45.1,
32,182,1999,534,100,0,0,0,resampled crab only
33,156,1999,175,117,0,0,67.1,
34,155,1999,257,127,2,0,57.4,
35,181,1999,183,98,6,0,89.8,
36,203,1999,448,113,10,0,55.8,
37,202,1999,380,117,5,0,62.3,
38,180,1999,659,106,0,0,55.7,
39,154,1999,276,114,0,0,65.8,
40,179,1999,195,85,0,0,53,
41,153,1999,214,87,0,0,72.3,
42,153,1999,0,0,0,0,0,bad haul
43,153,1999,245,117,0,0,0,resampled crab only
44,152,1999,187,84,0,0,52.6,
45,152,1999,195,82,0,0,3.94,resampled crab only
46,151,1999,207,77,0,0,61.6,
47,151,1999,200,86,0,0,0,resampled crab only
48,98,1999,167,85,0,0,79,
49,98,1999,193,114,0,0,0,resampled crab only
50,97,1999,562,95,467,0,80.6,Ripped net - use for minimal pop estimate
51,99,1999,173,86,0,0,85.3,
52,100,1999,410,103,0,0,65.9,
53,101,1999,841,128,0,0,72,
54,102,1999,445,101,0,0,71.4,
55,103,1999,235,87,0,0,67.2,
56,104,1999,217,99,6,0,104.7,
57,105,1999,245,99,22,0,61.6,
58,106,1999,287,85,18,0,61.9,
59,107,1999,291,105,5,0,65.8,
60,135,1999,257,100,22,0,61.5,
61,162,1999,0,0,0,0,0,Destroyed net - lost cod end
62,78,1999,948,139,0,0,0,15 mins no crab - ton of mud -tare after washing m
63,78,1999,0,0,0,0,0,18 mins no crab - hu8ge mud load breaking web
64,77,1999,220,111,0,0,54.5,
1,184,2002,432.2808,129.276,7.16,10.5,64.11,
2,184,2002,523.0008,139.7088,3.78,5.833296,45.68,retow due to high legal crab catch 
3,183,2002,1392.552,145.152,524.0016,40.22,52.02,several rocks
4,183,2002,460.404,147.42,25.5,41.168,49.35,retow due to high legal crab catch 
5,182,2002,340.2,138.348,1.38,2.44,46.84,
6,181,2002,312.984,122.472,2.58,0,40.18,
7,203,2002,458.136,158.3064,1.7,0,41.78,
8,202,2002,394.632,135.1728,2.22,0,35.16,
9,180,2002,730.296,135.6264,2.41,0.1,51.34,
10,179,2002,321.1488,136.9872,0,0.02,40.58,
11,201,2002,0,0,0,0,0,"net damaged, no sample taken"
12,201,2002,174.636,99.792,0.92,0,54.2,put on net #2
13,176,2002,381.9312,105.6888,1.3,0,46.42,
14,150,2002,254.016,106.596,0,0,48.4,
15,123,2002,179.172,114.7608,0,3.04,38.9,
16,124,2002,260.82,122.472,2.9,1.01,47.65,
17,151,2002,256.284,107.5032,0,0.98,50,
18,152,2002,201.852,110.2248,0,0,42.9,
19,125,2002,167.832,110.2248,0,1.45,41,
20,126,2002,196.8624,103.4208,0,3.12,42.09,
21,153,2002,149.688,106.596,0,3.2,47.7,
22,154,2002,260.82,106.596,0,0.36,52.34,
23,127,2002,229.068,106.596,0,2.15,48.3,
24,128,2002,244.4904,108.864,0,0,42.62,
25,155,2002,292.572,111.132,0,0.21,46.3,
26,156,2002,167.832,104.328,0,0.38,47,
27,129,2002,258.552,108.864,0,1.56,51.96,
