Year,Agent,Haul,ADFG_Station,Haul_rate,Month,Day,Latitude,Longitude,Swept_km2,Swept_NM2,Depth_m,Bottom_Temp,Surface_Temp,Area_Nm2,ADFG_tier,CPT_STD,rf,female,Legal,SubLegal
2020,ADFG,1,203,0,7,31,64.49983333,-164.2176667,0.022579584,0.00658316,0,0,0,82.8,c,S,0,0,0,0
2020,ADFG,2,202,0,7,31,64.50066667,-163.0666667,0.022579584,0.00658316,0,0,0,85.6,c,S,0,0,0,0
2020,ADFG,3,180,0,7,31,64.50016667,-163.5001667,0.022579584,0.00658316,0,0,0,100,c,S,0,1,0,0
2020,ADFG,4,179,0,7,31,64.33433333,-163.4578333,0.022579584,0.00658316,0,0,0,100,c,S,0,0,0,0
2020,ADFG,5,153,0,8,1,64.15116667,-163.4531667,0.022579584,0.00658316,0,0,0,100,c,S,0,0,0,0
2020,ADFG,6,152,0,8,1,64.168,-163.0655,0.022579584,0.00658316,0,0,0,100,c,S,0,0,0,0
2020,ADFG,7,151,0,8,1,64.1795,-162.7098333,0.022579584,0.00658316,0,0,0,100,c,S,0,1,0,0
2020,ADFG,8,150,0,8,1,64.18433333,-162.3125,0.022579584,0.00658316,0,0,0,100,c,S,0,0,0,0
2020,ADFG,9,176,0,8,1,64.32883333,-162.2953333,0.022579584,0.00658316,0,0,0,100,c,S,0,0,0,1
2020,ADFG,10,175,0,8,2,64.32283333,-161.8483333,0.022579584,0.00658316,0,0,0,100,t2,S,0,0,0,0
2020,ADFG,11,149,0,8,2,64.16433333,-161.9406667,0.022579584,0.00658316,0,0,0,100,t2,S,0,0,0,0
2020,ADFG,12,148,0,8,2,64.162,-161.5446667,0.022579584,0.00658316,0,0,0,100,t2,S,0,0,0,0
2020,ADFG,13,121,0,8,2,64.00016667,-161.5898333,0.022579584,0.00658316,0,0,0,100,t2,S,0,0,0,0
2020,ADFG,14,94,0,8,2,63.84766667,-161.6126667,0.022579584,0.00658316,0,0,0,100,t2,S,0,0,0,0
2020,ADFG,15,95,0,8,2,63.825,-161.95,0.022579584,0.00658316,0,0,0,100,t2,S,0,0,0,0
