# NMFS_1976_1991_Catch.csv,,,,
# Derived from NOAA Kodiak ,,,,
"# Expaned whole weight and count by year, Haul, and Species code ",,,,
#,,,,
#,,,,
#,,,,
Year,Haul,Spcode,Total_n,Weight_kg
1976,1,10210,13,0.363
1976,1,10220,8,4.853
1976,1,20040,6,0.181
1976,1,21110,1,0.045
1976,1,21368,2,1.588
1976,1,21725,104,4.173
1976,1,21735,470,25.22
1976,1,21740,2,0.045
1976,1,23055,46,1.406
1976,1,24185,1,0.091
1976,1,69322,9,10.523
1976,1,80000,412,73.709
1976,2,10210,9,0.907
1976,2,10220,35,20.865
1976,2,10285,3,0.318
1976,2,21110,5,0.68
1976,2,21315,1,0.091
1976,2,21368,2,1.361
1976,2,21725,23,0.544
1976,2,21735,223,12.247
1976,2,21740,14,0.045
1976,2,23041,1,0.045
1976,2,23055,11,0.454
1976,2,69322,4,4.536
1976,2,80000,256,45.813
1976,3,10210,17,0.907
1976,3,10220,21,15.876
1976,3,10285,6,1.134
1976,3,20040,1,0.045
1976,3,21110,3,0.091
1976,3,21315,1,0.045
1976,3,21368,4,4.536
1976,3,21725,4,0.045
1976,3,21735,183,9.752
1976,3,21740,1,0.045
1976,3,23041,1,0.045
1976,3,23055,4,0.091
1976,3,23807,7,0.136
1976,3,24189,1,0.045
1976,3,69322,12,14.515
1976,3,80000,826,147.871
1976,4,10210,7,0.454
1976,4,10220,13,7.257
1976,4,10285,15,3.629
1976,4,20322,1,4.536
1976,4,21110,1,0.045
1976,4,21315,4,0.045
1976,4,21368,6,2.722
1976,4,21371,10,9.072
1976,4,21725,62,0.726
1976,4,21735,432,24.494
1976,4,21740,23,0.227
1976,4,23055,11,0.227
1976,4,23807,7,0.227
1976,4,24189,1,2.268
1976,4,69322,39,8.618
1976,4,80000,655,117.254
1976,5,10210,3,0.091
1976,5,10220,7,4.99
1976,5,10285,6,1.361
1976,5,21110,1,0.045
1976,5,21315,1,0.045
1976,5,21355,2,0.045
1976,5,21368,2,0.907
1976,5,21371,3,2.722
1976,5,21388,1,0.045
1976,5,21725,17,0.318
1976,5,21735,447,31.298
1976,5,21740,15,0.181
1976,5,23055,14,0.68
1976,5,23807,2,0.045
1976,5,68580,2,0.091
1976,5,69322,17,19.504
1976,5,80000,1332,238.363
1976,7,10210,134,2.268
1976,7,10285,15,0.68
1976,7,20040,48,0.907
1976,7,21315,5,0.227
1976,7,21368,3,2.268
1976,7,21388,12,0.68
1976,7,21735,63,1.361
1976,7,23807,4,0.045
1976,7,41201,1,0.01
1976,7,43000,24,1.8
1976,7,66045,48,0.045
1976,7,66530,127,0.045
1976,7,66611,64,0.363
1976,7,68781,49,5.443
1976,7,69061,28,0.21
1976,7,69090,8,1.227
1976,7,69322,39,16.783
1976,7,80000,1019,223.621
1976,7,80200,1,0.3
1976,7,80540,1,0.1
1976,7,81742,1017,223.8
1976,7,99990,,3.493
1976,8,10210,116,2.268
1976,8,10211,90,4.536
1976,8,10220,5,3.175
1976,8,10285,34,1.361
1976,8,20040,19,0.907
1976,8,21315,4,0.136
1976,8,21368,10,3.175
1976,8,21388,8,0.68
1976,8,21725,18,0.68
1976,8,21735,371,17.237
1976,8,24189,1,0.136
1976,8,68781,49,7.938
1976,8,69322,38,18.824
1976,8,80000,188,33.566
1976,8,99990,,3.674
1976,9,10210,141,6.577
1976,9,10211,10,0.68
1976,9,10220,8,6.804
1976,9,10285,39,4.082
1976,9,20040,11,0.454
1976,9,21315,4,0.091
1976,9,21368,22,7.257
1976,9,21388,13,1.542
1976,9,21735,394,16.783
1976,9,23041,1,0.091
1976,9,23055,1,0.136
1976,9,23807,3,0.454
1976,9,24185,1,0.181
1976,9,68781,41,7.031
1976,9,69322,42,23.587
1976,9,80000,380,68.039
1976,10,10210,18,1.361
1976,10,10220,3,2.268
1976,10,10285,6,1.814
1976,10,20040,7,0.227
1976,10,21315,1,0.136
1976,10,21355,2,0.227
1976,10,21368,11,3.629
1976,10,21388,7,0.68
1976,10,21725,87,1.134
1976,10,21735,237,17.237
1976,10,23041,2,0.136
1976,10,23055,3,0.454
1976,10,23809,2,0.181
1976,10,24185,4,0.454
1976,10,68580,31,2.948
1976,10,68781,36,5.443
1976,10,69322,95,65.317
1976,10,80000,1186,212.281
1976,11,10210,5,0.227
1976,11,10220,3,1.814
1976,11,10285,15,2.268
1976,11,20040,4,0.045
1976,11,21110,17,0.68
1976,11,21355,4,0.045
1976,11,21368,2,2.268
1976,11,21388,33,2.948
1976,11,21405,1,0.045
1976,11,21725,229,3.629
1976,11,21735,1417,86.183
1976,11,21740,12,0.227
1976,11,21932,10,0.68
1976,11,23055,54,1.361
1976,11,23807,14,0.227
1976,11,23809,3,0.454
1976,11,24185,3,2.041
1976,11,24189,1,0.045
1976,11,41201,2,0.03
1976,11,43000,7900,28.1
1976,11,66050,150,1.814
1976,11,66530,2,0.045
1976,11,66601,3,0.045
1976,11,66611,200,1.361
1976,11,68577,4,0.1
1976,11,68580,15,0.227
1976,11,68781,1,0.045
1976,11,69061,28,0.564
1976,11,69090,1,0.048
1976,11,69120,5,0.29
1976,11,69322,21,16.783
1976,11,71500,47,5.216
1976,11,71753,1,0.363
1976,11,71772,42,4.808
1976,11,74562,1,0.045
1976,11,74640,2,0.045
1976,11,75240,1,0.045
1976,11,80020,18,13.6
1976,11,80200,45,13.6
1976,11,80540,1,0.001
1976,11,80590,1,0.1
1976,11,81095,6,0.1
1976,11,81355,1,0.05
1976,11,81742,1314,289.2
1976,11,82510,8,0.5
1976,11,85210,2,0.05
1976,11,98000,2,5
1976,11,99990,,53.252
1976,13,10220,11,11.113
1976,13,10285,3,0.907
1976,13,20040,14,0.227
1976,13,21110,46,3.629
1976,13,21315,1,0.045
1976,13,21355,1,0.045
1976,13,21368,1,0.454
1976,13,21371,6,4.536
1976,13,21388,3,0.136
1976,13,21725,60,0.907
1976,13,21735,542,46.266
1976,13,21740,6,0.091
1976,13,23055,15,0.68
1976,13,23807,6,0.091
1976,13,40500,3,2.3
1976,13,66045,62,0.091
1976,13,66050,13,0.091
1976,13,66611,80,0.363
1976,13,68577,5,0.1
1976,13,68580,16,0.227
1976,13,69061,27,0.338
1976,13,69120,9,0.531
1976,13,69322,1,0.68
1976,13,71772,2,0.136
1976,13,74562,2,0.045
1976,13,74983,1,0.045
1976,13,75285,1,0.091
1976,13,75332,1,0.045
1976,13,80020,300,136.2
1976,13,80200,319,85.6
1976,13,80595,52,0.2
1976,13,81742,366,165.9
1976,13,82510,1,0.01
1976,13,83020,20,2.722
1976,13,99990,,3.221
1976,15,20040,6,0.227
1976,15,21315,3,0.136
1976,15,21355,2,0.181
1976,15,21368,69,2.722
1976,15,21388,1,0.136
1976,15,21725,7,0.454
1976,15,21735,15,1.814
1976,15,22200,3,0.136
1976,15,23041,1,0.045
1976,15,40500,2,2.3
1976,15,41201,1,0.01
1976,15,43000,30,2.3
1976,15,66045,7,0.045
1976,15,66050,6,0.045
1976,15,66601,15,0.181
1976,15,66611,80,0.318
1976,15,69061,1,0.098
1976,15,69086,35,4.251
1976,15,69323,1,0.454
1976,15,71753,34,4.037
1976,15,71756,22,1.179
1976,15,71772,3,0.181
1976,15,71882,49,3.856
1976,15,71884,19,2.223
1976,15,72305,6,0.045
1976,15,75285,2,0.045
1976,15,80000,,19.595
1976,15,80020,14,10.4
1976,15,80200,54,16.3
1976,15,80540,7,0.03
1976,15,80590,5,0.5
1976,15,80595,20,0.2
1976,15,81095,7,0.2
1976,15,81355,6,0.3
