# NOAA_1976_1991_Crab.csv,,,,,,,,,
#  Data provided by NOAA Kodiak over years,,,,,,,,,
#  The original data may not exist or hidden in NOAA,,,,,,,,,
#,,,,,,,,,
#,,,,,,,,,
#,,,,,,,,,
Year,Haul,NMFS_Station,Sex,Size_mm,Shell,Egg color,Egg condition,Clutch,Sampling Factor
1976,1,g10,1,103,3,,,,1
1976,1,g10,1,105,2,,,,1
1976,1,g10,1,106,2,,,,1
1976,1,g10,1,113,2,,,,1
1976,1,g10,1,117,2,,,,1
1976,1,g10,1,117,4,,,,1
1976,1,g10,1,120,2,,,,1
1976,1,g10,1,122,2,,,,1
1976,1,g10,1,144,4,,,,1
1976,1,g10,2,69,2,2,1,5,1
1976,2,g11,1,105,3,,,,1
1976,2,g11,1,113,2,,,,1
1976,2,g11,1,118,4,,,,1
1976,2,g11,1,119,2,,,,1
1976,3,g12,1,82,3,,,,1
1976,3,g12,1,100,3,,,,1
1976,3,g12,1,105,1,,,,1
1976,3,g12,1,107,3,,,,1
1976,3,g12,1,110,2,,,,1
1976,3,g12,1,113,4,,,,1
1976,3,g12,1,116,2,,,,1
1976,3,g12,1,117,2,,,,1
1976,3,g12,1,118,2,,,,1
1976,3,g12,1,118,4,,,,1
1976,3,g12,1,121,3,,,,1
1976,3,g12,1,129,3,,,,1
1976,4,h12,1,82,2,,,,1
1976,4,h12,1,97,2,,,,1
1976,4,h12,1,97,3,,,,1
1976,4,h12,1,97,3,,,,1
1976,4,h12,1,98,1,,,,1
1976,4,h12,1,98,2,,,,1
1976,4,h12,1,98,3,,,,1
1976,4,h12,1,99,4,,,,1
1976,4,h12,1,100,3,,,,1
1976,4,h12,1,105,2,,,,1
1976,4,h12,1,105,2,,,,1
1976,4,h12,1,108,2,,,,1
1976,4,h12,1,108,2,,,,1
1976,4,h12,1,108,3,,,,1
1976,4,h12,1,116,1,,,,1
1976,4,h12,1,119,2,,,,1
1976,4,h12,1,119,2,,,,1
1976,4,h12,1,123,2,,,,1
1976,4,h12,1,134,2,,,,1
1976,5,h13,1,88,2,,,,1
1976,5,h13,1,97,2,,,,1
1976,5,h13,1,105,2,,,,1
1976,5,h13,1,106,2,,,,1
1976,5,h13,1,108,2,,,,1
1976,5,h13,1,110,2,,,,1
1976,5,h13,1,115,4,,,,1
1976,5,h13,1,118,2,,,,1
1976,5,h13,1,119,2,,,,1
1976,5,h13,1,120,1,,,,1
1976,5,h13,1,121,2,,,,1
1976,5,h13,1,122,4,,,,1
1976,5,h13,1,123,2,,,,1
1976,5,h13,1,124,2,,,,1
1976,5,h13,1,125,2,,,,1
1976,5,h13,1,127,2,,,,1
1976,5,h13,1,135,2,,,,1
1976,7,i10,1,0,2,,,,1
1976,7,i10,1,0,2,,,,1
1976,7,i10,1,0,2,,,,1
1976,7,i10,1,74,1,,,,1
1976,7,i10,1,78,1,,,,1
1976,7,i10,1,84,1,,,,1
1976,7,i10,1,85,2,,,,1
1976,7,i10,1,90,1,,,,1
1976,7,i10,1,92,2,,,,1
1976,7,i10,1,93,2,,,,1
1976,7,i10,1,94,2,,,,1
1976,7,i10,1,95,2,,,,1
1976,7,i10,1,103,2,,,,1
1976,7,i10,1,103,2,,,,1
1976,7,i10,1,103,2,,,,1
1976,7,i10,1,107,2,,,,1
1976,7,i10,1,115,2,,,,1
1976,7,i10,2,65,2,0,0,0,1
1976,7,i10,2,66,2,2,1,4,1
1976,7,i10,2,66,2,0,0,0,1
1976,7,i10,2,68,2,2,1,4,1
1976,7,i10,2,69,2,2,1,4,1
1976,7,i10,2,70,2,2,1,4,1
1976,7,i10,2,71,2,3,1,4,1
1976,7,i10,2,74,2,2,1,4,1
1976,7,i10,2,75,2,2,1,4,1
1976,7,i10,2,75,2,2,1,4,1
1976,7,i10,2,76,2,2,1,4,1
1976,7,i10,2,77,2,2,1,4,1
1976,7,i10,2,77,2,2,1,4,1
1976,7,i10,2,78,2,2,1,4,1
1976,7,i10,2,78,2,3,1,4,1
1976,7,i10,2,79,2,2,1,4,1
1976,7,i10,2,80,2,2,1,4,1
1976,7,i10,2,80,2,2,1,4,1
1976,7,i10,2,83,2,3,1,4,1
1976,7,i10,2,84,2,2,1,4,1
1976,7,i10,2,91,2,2,1,4,1
1976,7,i10,2,93,2,2,1,4,1
1976,8,h10,1,65,2,,,,1
1976,8,h10,1,70,2,,,,1
1976,8,h10,1,80,2,,,,1
1976,8,h10,1,85,2,,,,1
1976,8,h10,1,85,2,,,,1
1976,8,h10,1,86,2,,,,1
1976,8,h10,1,86,2,,,,1
1976,8,h10,1,87,2,,,,1
1976,8,h10,1,88,2,,,,1
1976,8,h10,1,88,2,,,,1
1976,8,h10,1,90,2,,,,1
1976,8,h10,1,90,2,,,,1
1976,8,h10,1,92,2,,,,1
1976,8,h10,1,94,2,,,,1
1976,8,h10,1,94,2,,,,1
1976,8,h10,1,96,2,,,,1
1976,8,h10,1,103,2,,,,1
1976,8,h10,1,107,2,,,,1
1976,8,h10,1,115,2,,,,1
1976,8,h10,1,116,2,,,,1
1976,8,h10,1,125,2,,,,1
1976,8,h10,2,61,2,2,1,5,1
1976,8,h10,2,62,2,0,1,0,1
1976,8,h10,2,66,3,0,1,0,1
1976,8,h10,2,70,3,0,1,0,1
1976,8,h10,2,71,2,2,1,2,1
1976,8,h10,2,73,2,2,1,5,1
1976,8,h10,2,75,2,2,1,5,1
1976,8,h10,2,78,2,2,1,5,1
1976,8,h10,2,78,2,2,1,5,1
1976,8,h10,2,79,2,3,1,5,1
1976,8,h10,2,80,2,2,1,5,1
1976,8,h10,2,80,2,2,1,5,1
1976,8,h10,2,80,2,2,1,3,1
1976,8,h10,2,82,2,2,1,5,1
1976,8,h10,2,83,2,3,1,5,1
1976,8,h10,2,91,2,2,1,5,1
1976,9,h11,1,64,2,,,,1
1976,9,h11,1,82,1,,,,1
1976,9,h11,1,84,2,,,,1
1976,9,h11,1,84,2,,,,1
1976,9,h11,1,84,2,,,,1
1976,9,h11,1,86,2,,,,1
1976,9,h11,1,86,2,,,,1
1976,9,h11,1,86,2,,,,1
1976,9,h11,1,88,2,,,,1
1976,9,h11,1,88,2,,,,1
1976,9,h11,1,88,2,,,,1
1976,9,h11,1,89,2,,,,1
1976,9,h11,1,89,2,,,,1
1976,9,h11,1,89,2,,,,1
1976,9,h11,1,90,2,,,,1
1976,9,h11,1,90,2,,,,1
1976,9,h11,1,90,2,,,,1
1976,9,h11,1,91,2,,,,1
1976,9,h11,1,92,2,,,,1
1976,9,h11,1,92,2,,,,1
1976,9,h11,1,92,3,,,,1
1976,9,h11,1,93,2,,,,1
1976,9,h11,1,93,2,,,,1
1976,9,h11,1,93,3,,,,1
1976,9,h11,1,94,2,,,,1
1976,9,h11,1,94,2,,,,1
1976,9,h11,1,98,2,,,,1
1976,9,h11,1,100,2,,,,1
1976,9,h11,1,100,2,,,,1
1976,9,h11,1,100,3,,,,1
1976,9,h11,1,104,2,,,,1
1976,9,h11,1,116,2,,,,1
1976,9,h11,1,116,2,,,,1
1976,9,h11,1,119,2,,,,1
1976,9,h11,1,123,2,,,,1
1976,9,h11,2,74,2,2,1,6,1
1976,9,h11,2,76,2,3,1,6,1
1976,9,h11,2,76,2,2,1,5,1
1976,9,h11,2,80,9,2,1,3,1
1976,9,h11,2,80,2,2,1,3,1
1976,9,h11,2,81,2,2,1,4,1
1976,9,h11,2,84,2,2,1,6,1
1976,9,h11,2,93,2,2,1,6,1
1976,10,i11,1,78,2,,,,1
1976,10,i11,1,79,2,,,,1
1976,10,i11,1,80,2,,,,1
1976,10,i11,1,80,2,,,,1
1976,10,i11,1,82,2,,,,1
1976,10,i11,1,83,2,,,,1
1976,10,i11,1,83,2,,,,1
1976,10,i11,1,85,2,,,,1
1976,10,i11,1,85,2,,,,1
1976,10,i11,1,86,2,,,,1
1976,10,i11,1,87,2,,,,1
1976,10,i11,1,87,2,,,,1
1976,10,i11,1,87,2,,,,1
1976,10,i11,1,88,2,,,,1
1976,10,i11,1,88,2,,,,1
1976,10,i11,1,88,2,,,,1
1976,10,i11,1,89,2,,,,1
1976,10,i11,1,90,2,,,,1
1976,10,i11,1,90,2,,,,1
1976,10,i11,1,90,2,,,,1
1976,10,i11,1,91,2,,,,1
1976,10,i11,1,91,2,,,,1
1976,10,i11,1,91,2,,,,1
1976,10,i11,1,91,2,,,,1
1976,10,i11,1,91,2,,,,1
1976,10,i11,1,91,2,,,,1
1976,10,i11,1,91,2,,,,1
1976,10,i11,1,91,2,,,,1
1976,10,i11,1,92,2,,,,1
1976,10,i11,1,92,2,,,,1
1976,10,i11,1,92,2,,,,1
1976,10,i11,1,93,2,,,,1
1976,10,i11,1,93,2,,,,1
1976,10,i11,1,94,2,,,,1
1976,10,i11,1,94,2,,,,1
1976,10,i11,1,94,2,,,,1
1976,10,i11,1,94,2,,,,1
1976,10,i11,1,95,2,,,,1
1976,10,i11,1,95,2,,,,1
1976,10,i11,1,96,2,,,,1
1976,10,i11,1,97,2,,,,1
1976,10,i11,1,97,2,,,,1
1976,10,i11,1,97,2,,,,1
1976,10,i11,1,97,2,,,,1
1976,10,i11,1,97,2,,,,1
1976,10,i11,1,98,2,,,,1
1976,10,i11,1,98,2,,,,1
1976,10,i11,1,98,2,,,,1
1976,10,i11,1,99,2,,,,1
1976,10,i11,1,99,2,,,,1
1976,10,i11,1,100,2,,,,1
1976,10,i11,1,100,2,,,,1
1976,10,i11,1,102,2,,,,1
1976,10,i11,1,102,2,,,,1
1976,10,i11,1,102,2,,,,1
1976,10,i11,1,102,2,,,,1
1976,10,i11,1,103,2,,,,1
1976,10,i11,1,104,2,,,,1
1976,10,i11,1,104,2,,,,1
1976,10,i11,1,104,2,,,,1
1976,10,i11,1,104,2,,,,1
1976,10,i11,1,104,2,,,,1
1976,10,i11,1,104,2,,,,1
1976,10,i11,1,105,2,,,,1
1976,10,i11,1,106,2,,,,1
1976,10,i11,1,107,2,,,,1
1976,10,i11,1,107,2,,,,1
1976,10,i11,1,107,2,,,,1
1976,10,i11,1,107,2,,,,1
1976,10,i11,1,108,2,,,,1
1976,10,i11,1,108,2,,,,1
1976,10,i11,1,108,2,,,,1
1976,10,i11,1,110,2,,,,1
1976,10,i11,1,110,2,,,,1
1976,10,i11,1,110,2,,,,1
1976,10,i11,1,111,1,,,,1
1976,10,i11,1,112,2,,,,1
1976,10,i11,1,112,4,,,,1
1976,10,i11,1,113,2,,,,1
1976,10,i11,1,113,2,,,,1
1976,10,i11,1,113,2,,,,1
1976,10,i11,1,114,2,,,,1
1976,10,i11,1,114,2,,,,1
1976,10,i11,1,115,2,,,,1
1976,10,i11,1,115,2,,,,1
1976,10,i11,1,116,2,,,,1
1976,10,i11,1,116,2,,,,1
1976,10,i11,1,119,2,,,,1
1976,10,i11,1,121,4,,,,1
1976,10,i11,1,122,2,,,,1
1976,10,i11,1,124,2,,,,1
1976,10,i11,1,125,2,,,,1
1976,10,i11,1,129,2,,,,1
1976,10,i11,2,65,2,2,1,4,1
1976,10,i11,2,70,2,0,0,1,1
1976,11,i12,1,101,2,,,,1
1976,11,i12,1,104,2,,,,1
1976,11,i12,1,105,3,,,,1
1976,11,i12,1,106,2,,,,1
1976,11,i12,1,109,2,,,,1
1976,11,i12,1,110,3,,,,1
1976,11,i12,1,112,2,,,,1
1976,11,i12,1,113,2,,,,1
1976,11,i12,1,113,4,,,,1
1976,11,i12,1,114,2,,,,1
1976,11,i12,1,115,2,,,,1
1976,11,i12,1,115,4,,,,1
1976,11,i12,1,117,2,,,,1
1976,11,i12,1,119,2,,,,1
1976,11,i12,1,120,4,,,,1
1976,11,i12,1,122,2,,,,1
1976,11,i12,1,123,3,,,,1
1976,11,i12,1,126,4,,,,1
1976,11,i12,1,135,2,,,,1
1976,11,i12,1,165,4,,,,1
1976,11,i12,2,66,2,0,0,0,1
1976,13,i14,1,110,2,,,,1
1976,43,D12,2,95,2,2,1,6,1
1976,63,D08,1,72,2,,,,1
1976,79,G09,1,114,2,,,,2
1976,114,E08,1,100,2,,,,1
1976,115,E08,1,101,2,,,,1
1976,117,E08,1,95,2,,,,1
1976,119,E08,1,120,2,,,,1
1976,123,E08,1,120,2,,,,1
1976,130,n15,2,27,2,0,0,0,1
1976,130,n15,2,99,2,2,1,6,1
1976,136,h14,1,81,3,,,,1
1976,136,h14,1,87,3,,,,1
1976,136,h14,1,88,3,,,,1
1976,136,h14,1,94,3,,,,1
1976,136,h14,1,104,3,,,,1
1976,136,h14,1,107,3,,,,1
1976,136,h14,1,108,2,,,,1
1976,136,h14,1,108,2,,,,1
1976,136,h14,1,109,3,,,,1
1976,136,h14,1,110,2,,,,1
1976,136,h14,1,110,3,,,,1
1976,136,h14,1,112,2,,,,1
1976,136,h14,1,112,3,,,,1
1976,136,h14,1,113,2,,,,1
1976,136,h14,1,113,3,,,,1
1976,136,h14,1,113,3,,,,1
1976,136,h14,1,113,4,,,,1
1976,136,h14,1,114,3,,,,1
1976,136,h14,1,115,3,,,,1
1976,136,h14,1,119,3,,,,1
1976,136,h14,1,119,3,,,,1
1976,136,h14,1,121,4,,,,1
1976,136,h14,1,126,4,,,,1
1976,136,h14,1,127,3,,,,1
1976,136,h14,1,128,1,,,,1
1976,137,g14,1,102,3,,,,1
1976,137,g14,1,106,2,,,,1
1976,137,g14,1,111,4,,,,1
1976,137,g14,1,112,3,,,,1
1976,137,g14,1,116,1,,,,1
1976,137,g14,1,116,2,,,,1
1976,137,g14,1,121,3,,,,1
1976,137,g14,1,121,4,,,,1
1976,137,g14,1,122,4,,,,1
1976,137,g14,1,122,4,,,,1
1976,137,g14,1,124,2,,,,1
1976,137,g14,1,129,4,,,,1
1976,138,g13,1,76,0,,,,1
1976,138,g13,1,82,3,,,,1
1976,138,g13,1,83,3,,,,1
1976,138,g13,1,85,1,,,,1
1976,138,g13,1,86,3,,,,1
1976,138,g13,1,88,2,,,,1
1976,138,g13,1,91,4,,,,1
1976,138,g13,1,92,4,,,,1
1976,138,g13,1,93,1,,,,1
1976,138,g13,1,97,3,,,,1
1976,138,g13,1,98,3,,,,1
1976,138,g13,1,99,3,,,,1
1976,138,g13,1,100,3,,,,1
1976,138,g13,1,101,4,,,,1
1976,138,g13,1,102,3,,,,1
1976,138,g13,1,104,1,,,,1
1976,138,g13,1,109,1,,,,1
1976,138,g13,1,111,3,,,,1
1976,138,g13,1,114,3,,,,1
1976,138,g13,1,114,3,,,,1
1976,138,g13,1,115,3,,,,1
1976,138,g13,1,118,3,,,,1
1976,138,g13,1,120,0,,,,1
1976,138,g13,1,122,2,,,,1
1976,138,g13,1,123,3,,,,1
1976,139,f13,1,84,3,,,,1
1976,139,f13,1,88,0,,,,1
1976,139,f13,1,89,3,,,,1
1976,139,f13,1,93,4,,,,1
1976,139,f13,1,97,4,,,,1
1976,139,f13,1,99,3,,,,1
1976,139,f13,1,102,3,,,,1
1976,139,f13,1,107,3,,,,1
1976,139,f13,1,108,5,,,,1
1976,139,f13,1,110,1,,,,1
1976,139,f13,1,111,5,,,,1
1976,139,f13,1,118,2,,,,1
1976,139,f13,1,119,0,,,,1
1976,139,f13,1,119,3,,,,1
1976,139,f13,1,120,3,,,,1
1976,139,f13,1,123,5,,,,1
1976,139,f13,1,137,4,,,,1
1976,140,f14,1,101,5,,,,1
1976,140,f14,1,105,5,,,,1
1976,140,f14,1,107,3,,,,1
1976,140,f14,1,109,2,,,,1
1976,140,f14,1,112,3,,,,1
1976,140,f14,1,117,3,,,,1
1976,140,f14,1,117,3,,,,1
1976,140,f14,1,118,2,,,,1
1976,140,f14,1,118,2,,,,1
1976,140,f14,1,119,3,,,,1
1976,140,f14,1,120,3,,,,1
1976,140,f14,1,120,3,,,,1
1976,140,f14,1,125,2,,,,1
1976,140,f14,1,130,3,,,,1
1976,141,e14,1,108,3,,,,1
1976,141,e14,1,114,3,,,,1
1976,141,e14,1,115,3,,,,1
1976,141,e14,1,119,3,,,,1
1976,141,e14,1,129,3,,,,1
1976,142,e13,1,111,3,,,,1
