# NOAA_NBS_RKC_2018,,,,,,,,,,,,
#  All RKC crab captured in NBS ,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
Year,Vessel,Haul,NMFS_Station,Sex,Size_mm,Shell,Egg color,Egg condition,Clutch,Weight,Chela,Sampling Factor
2018,94,225,NBS-28,1,164.3,2,,,,,,1
2018,162,214,NBS-48,1,69.3,3,,,,,,1
2018,162,214,NBS-48,1,124.3,3,,,,1494,37,1
2018,162,214,NBS-48,1,115.4,3,,,,,,1
2018,162,214,NBS-48,1,127.8,3,,,,,42.9,1
2018,162,214,NBS-48,1,127.4,3,,,,,44,1
2018,162,214,NBS-48,1,67.6,3,,,,,19.9,1
2018,162,214,NBS-48,1,107.6,3,,,,976,34.5,1
2018,162,214,NBS-48,1,117.4,3,,,,,,1
2018,162,215,NBS-43,2,100.4,3,0,4,1,,,1
