"STATION_ID","DISTRICT","TOWS","STRATUM","TOTAL_AREA","SURVEY_YEAR"
"FF-02","Norton Sound",,10,17644,2010
"EE-02","Norton Sound",,10,17644,2010
"DD-02","Norton Sound",,10,17644,2010
"DD-03","Norton Sound",,10,17644,2010
"DD-09","Norton Sound",,10,17644,2010
"CC-06","Norton Sound",,10,17644,2010
"CC-07","Norton Sound",,10,17644,2010
"CC-08","Norton Sound",,10,17644,2010
"CC-09","Norton Sound",,10,17644,2010
"CC-10","Norton Sound",,10,17644,2010
"AA-10","Norton Sound",,10,17644,2010
"ZZ-02","Norton Sound",,10,17644,2010
"ZZ-03","Norton Sound",,10,17644,2010
"ZZ-04","Norton Sound",,10,17644,2010
"ZZ-05","Norton Sound",,10,17644,2010
"Y-02","Norton Sound",,10,17644,2010
"Y-03","Norton Sound",,10,17644,2010
"Y-04","Norton Sound",,10,17644,2010
"X-02","Norton Sound",,10,17644,2010
"X-03","Norton Sound",,10,17644,2010
"BB-02","Norton Sound",,10,17644,2010
"BB-03","Norton Sound",,10,17644,2010
"BB-04","Norton Sound",,10,17644,2010
"BB-05","Norton Sound",,10,17644,2010
"BB-06","Norton Sound",,10,17644,2010
"BB-07","Norton Sound",,10,17644,2010
"BB-08","Norton Sound",,10,17644,2010
"BB-09","Norton Sound",,10,17644,2010
"BB-10","Norton Sound",,10,17644,2010
"AA-02","Norton Sound",,10,17644,2010
"AA-03","Norton Sound",,10,17644,2010
"AA-04","Norton Sound",,10,17644,2010
"AA-05","Norton Sound",,10,17644,2010
"AA-06","Norton Sound",,10,17644,2010
"AA-07","Norton Sound",,10,17644,2010
"AA-08","Norton Sound",,10,17644,2010
"CC-02","Norton Sound",,10,17644,2010
"CC-03","Norton Sound",,10,17644,2010
"CC-04","Norton Sound",,10,17644,2010
"CC-05","Norton Sound",,10,17644,2010
"W-02","Norton Sound",,10,17644,2010
"W-03","Norton Sound",,10,17644,2010
"V-02","Norton Sound",,10,17644,2010
"V-03","Norton Sound",,10,17644,2010
"FF-02","Norton Sound",,10,17644,2021
"EE-02","Norton Sound",,10,17644,2021
"DD-02","Norton Sound",,10,17644,2021
"DD-03","Norton Sound",,10,17644,2021
"DD-09","Norton Sound",,10,17644,2021
"CC-06","Norton Sound",,10,17644,2021
"CC-07","Norton Sound",,10,17644,2021
"CC-08","Norton Sound",,10,17644,2021
"CC-09","Norton Sound",,10,17644,2021
"CC-10","Norton Sound",,10,17644,2021
"AA-10","Norton Sound",,10,17644,2021
"ZZ-02","Norton Sound",,10,17644,2021
"ZZ-03","Norton Sound",,10,17644,2021
"ZZ-04","Norton Sound",,10,17644,2021
"ZZ-05","Norton Sound",,10,17644,2021
"Y-02","Norton Sound",,10,17644,2021
"Y-03","Norton Sound",,10,17644,2021
"Y-04","Norton Sound",,10,17644,2021
"X-02","Norton Sound",,10,17644,2021
"X-03","Norton Sound",,10,17644,2021
"BB-02","Norton Sound",,10,17644,2021
"BB-03","Norton Sound",,10,17644,2021
"BB-04","Norton Sound",,10,17644,2021
"BB-05","Norton Sound",,10,17644,2021
"BB-06","Norton Sound",,10,17644,2021
"BB-07","Norton Sound",,10,17644,2021
"BB-08","Norton Sound",,10,17644,2021
"BB-09","Norton Sound",,10,17644,2021
"BB-10","Norton Sound",,10,17644,2021
"AA-02","Norton Sound",,10,17644,2021
"AA-03","Norton Sound",,10,17644,2021
"AA-04","Norton Sound",,10,17644,2021
"AA-05","Norton Sound",,10,17644,2021
"AA-06","Norton Sound",,10,17644,2021
"AA-07","Norton Sound",,10,17644,2021
"AA-08","Norton Sound",,10,17644,2021
"CC-02","Norton Sound",,10,17644,2021
"CC-03","Norton Sound",,10,17644,2021
"CC-04","Norton Sound",,10,17644,2021
"CC-05","Norton Sound",,10,17644,2021
"W-02","Norton Sound",,10,17644,2021
"W-03","Norton Sound",,10,17644,2021
"V-02","Norton Sound",,10,17644,2021
"V-03","Norton Sound",,10,17644,2021
"FF-02","Norton Sound",,10,17644,2017
"EE-02","Norton Sound",,10,17644,2017
"DD-02","Norton Sound",,10,17644,2017
"DD-03","Norton Sound",,10,17644,2017
"DD-09","Norton Sound",,10,17644,2017
"CC-06","Norton Sound",,10,17644,2017
"CC-07","Norton Sound",,10,17644,2017
"CC-08","Norton Sound",,10,17644,2017
"CC-09","Norton Sound",,10,17644,2017
"CC-10","Norton Sound",,10,17644,2017
"AA-10","Norton Sound",,10,17644,2017
"ZZ-02","Norton Sound",,10,17644,2017
"ZZ-03","Norton Sound",,10,17644,2017
"ZZ-04","Norton Sound",,10,17644,2017
"ZZ-05","Norton Sound",,10,17644,2017
"Y-02","Norton Sound",,10,17644,2017
"Y-03","Norton Sound",,10,17644,2017
"Y-04","Norton Sound",,10,17644,2017
"X-02","Norton Sound",,10,17644,2017
"X-03","Norton Sound",,10,17644,2017
"BB-02","Norton Sound",,10,17644,2017
"BB-03","Norton Sound",,10,17644,2017
"BB-04","Norton Sound",,10,17644,2017
"BB-05","Norton Sound",,10,17644,2017
"BB-06","Norton Sound",,10,17644,2017
"BB-07","Norton Sound",,10,17644,2017
"BB-08","Norton Sound",,10,17644,2017
"BB-09","Norton Sound",,10,17644,2017
"BB-10","Norton Sound",,10,17644,2017
"AA-02","Norton Sound",,10,17644,2017
"AA-03","Norton Sound",,10,17644,2017
"AA-04","Norton Sound",,10,17644,2017
"AA-05","Norton Sound",,10,17644,2017
"AA-06","Norton Sound",,10,17644,2017
"AA-07","Norton Sound",,10,17644,2017
"AA-08","Norton Sound",,10,17644,2017
"CC-02","Norton Sound",,10,17644,2017
"CC-03","Norton Sound",,10,17644,2017
"CC-04","Norton Sound",,10,17644,2017
"CC-05","Norton Sound",,10,17644,2017
"W-02","Norton Sound",,10,17644,2017
"W-03","Norton Sound",,10,17644,2017
"V-02","Norton Sound",,10,17644,2017
"V-03","Norton Sound",,10,17644,2017
"FF-02","Norton Sound",,10,17644,2019
"EE-02","Norton Sound",,10,17644,2019
"DD-02","Norton Sound",,10,17644,2019
"DD-03","Norton Sound",,10,17644,2019
"DD-09","Norton Sound",,10,17644,2019
