# NOAA_NBS_Haul_2023,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
NOAA_Station,Vessel,Haul,Haul_rate,Month,Day,Year,Latitude,Longitude,Swept_NM2,Depth_m,Bottom_Temp,Surface_Temp
AA-01,162,35,,8,11,2023,63.6852,-168.2721,0.012109123,33,2.8,5.4
AA-02,134,27,,8,9,2023,63.66915,-167.52462,0.011642222,28,6.4,6.3
AA-03,134,28,,8,10,2023,63.66499,-166.7797,0.013495998,29,5.9,7.8
AA-04,134,22,,8,3,2023,63.66936,-166.04685,0.013358872,28,5.9,9.4
AA-05,134,17,,8,2,2023,63.66724,-165.28458,0.012151946,19,9,9.7
AA-06,134,13,,8,1,2023,63.67215,-164.56273,0.01291511,12,11.1,11.3
AA-07,134,12,,8,1,2023,63.66519,-163.79438,0.011604122,15,10.4,14.3
AA-08,134,11,,7,31,2023,63.67809,-163.07882,0.012203875,16,7.7,14.9
AA-18,162,10,,8,6,2023,63.66763,-169.03946,0.013434971,36,2.7,8.7
AA-19,162,9,,8,6,2023,63.66424,-169.76115,0.013130578,40,7.7,9.1
AA-22,162,3,,8,4,2023,63.54793,-172.00571,0.013010311,37,2.7,9.4
BB-01,162,34,,8,11,2023,64.01263,-168.30357,0.012213013,36,1.6,9.3
BB-02,134,26,,8,9,2023,63.99407,-167.54191,0.012800321,34,3.8,6.9
BB-03,134,25,,8,9,2023,64.00154,-166.81582,0.013799804,33,6.2,9.2
BB-04,134,23,,8,3,2023,64.00675,-166.03931,0.011602052,23,6.5,9.4
BB-05,134,16,,8,1,2023,64.00829,-165.32553,0.012209327,18,9.6,9.7
BB-06,134,14,,8,1,2023,64.0023,-164.58072,0.012626199,19,8.4,12.4
BB-07,134,10,,7,31,2023,64.00239,-163.84977,0.012710609,20,6,12.8
BB-08,134,9,,7,31,2023,64.00096,-163.07059,0.013663268,21,4.7,14.1
BB-09,134,8,,7,31,2023,63.99862,-162.27331,0.012101866,18,3.8,15.1
BB-10,134,7,,7,30,2023,63.99174,-161.54555,0.011846713,17,2.3,14.5
BB-18,162,11,,8,6,2023,64.0034,-169.05327,0.013216854,36,2.4,7.9
BB-19,162,8,,8,5,2023,63.98959,-169.78633,0.013447227,34,3.2,5.9
BB-20,162,7,,8,5,2023,63.99256,-170.54275,0.01360178,30,1.6,4
BB-21,162,5,,8,4,2023,63.99967,-171.3382,0.012639056,28,1.4,9.8
BB-22,162,4,,8,4,2023,64.01139,-172.00107,0.013524151,53,-0.1,9.8
CC-01,162,33,,8,11,2023,64.3267,-168.33837,0.01146196,39,1.3,8
CC-02,162,31,,8,11,2023,64.34316,-167.56438,0.012090658,31,6.2,8.2
CC-03,162,30,,8,10,2023,64.33526,-166.83097,0.01257388,30,7.5,9.2
CC-04,134,24,,8,3,2023,64.33279,-166.0594,0.012708941,24,7.3,10.2
CC-05,134,1,,7,29,2023,64.311,-165.31414,0.012579084,23,8.4,9.9
CC-06,134,2,,7,29,2023,64.32408,-164.53386,0.012184731,15,8.5,14.2
CC-07,134,3,,7,29,2023,64.33521,-163.78499,0.01210425,18,5.5,14.6
CC-08,134,4,,7,30,2023,64.24957,-163.12942,0.012113829,21,4,14.1
CC-09,134,5,,7,30,2023,64.3324,-162.25452,0.011878303,20,1.7,15.1
CC-10,134,6,,7,30,2023,64.29604,-161.57161,0.012816502,16,8,14.7
CC-18,162,12,,8,6,2023,64.31115,-169.09521,0.012985398,40,1.5,7.1
CC-19,162,15,,8,7,2023,64.33681,-169.84434,0.012587508,40,0.7,4.5
CC-20,162,16,,8,7,2023,64.33549,-170.5984,0.010741412,37,1,7.1
CC-21,162,17,,8,7,2023,64.23866,-171.08973,0.012158487,40,2.6,8.4
DD-01,162,27,,8,10,2023,64.66539,-168.33986,0.011711544,39,1.7,8.4
DD-02,162,28,,8,10,2023,64.66966,-167.62342,0.01196047,31,7,8.3
DD-03,162,29,,8,10,2023,64.68798,-166.86178,0.012315021,24,9.9,12.8
DD-18,162,13,,8,7,2023,64.66786,-169.14426,0.013592765,43,1.3,7.1
DD-19,162,14,,8,7,2023,64.65517,-169.90782,0.014276283,47,1.7,5
DD-20,162,18,,8,8,2023,64.64808,-170.61273,0.01319717,48,2.1,7.1
EE-01,162,26,,8,9,2023,64.99826,-168.35851,0.013542894,45,2.2,9.1
EE-02,162,25,,8,9,2023,65.00305,-167.63477,0.011606668,34,7.7,7.8
EE-18,162,20,,8,8,2023,65.00504,-169.1246,0.013386554,49,1.3,8.1
EE-19,162,19,,8,8,2023,64.97509,-169.87456,0.013955898,48,1.2,6.9
FF-01,162,23,,8,9,2023,65.33436,-168.38048,0.012695718,53,4,9.6
FF-02,162,24,,8,9,2023,65.30956,-167.67197,0.011885441,38,8.7,9.1
FF-18,162,22,,8,8,2023,65.22058,-168.89404,0.006574094,53,2.2,8.9
R-01,134,53,,8,18,2023,60.66684,-167.99867,0.014278831,28,9,9
R-02,134,52,,8,17,2023,60.67207,-167.33131,0.012233323,25,9.9,9.9
R-18,134,54,,8,18,2023,60.67053,-168.69543,0.013504635,37,7.6,7.5
R-19,162,67,,8,20,2023,60.67695,-169.3685,0.013388529,43,4.1,7.6
R-20,162,66,,8,20,2023,60.6709,-170.05371,0.013205714,49,1.6,9
S-02,134,51,,8,17,2023,61.00078,-167.33965,0.012508257,24,9.4,9.4
S-18,162,65,,8,19,2023,61.02178,-168.73981,0.012522109,36,7.9,8.2
S-21,162,62,,8,19,2023,61.00398,-170.82174,0.013074546,54,-0.8,9.2
T-01,134,49,,8,16,2023,61.33398,-168.04926,0.013565718,30,8.1,8.4
T-02,134,50,,8,17,2023,61.33718,-167.37634,0.012397956,24,9.2,9.2
T-03,134,44,,8,15,2023,61.33276,-166.74057,0.011904275,14,11,11.2
T-18,134,48,,8,16,2023,61.33499,-168.77836,0.015127758,35,7.3,8.3
T-19,162,64,,8,19,2023,61.33572,-169.44888,0.012328525,40,3.4,7.5
T-20,162,63,,8,19,2023,61.33432,-170.17326,0.013444393,47,0.1,8.2
T-22,162,59,,8,18,2023,61.33362,-171.52751,0.013631601,56,-0.3,8
T-23,162,58,,8,18,2023,61.33385,-172.26464,0.014973342,63,-0.8,8.9
T-24,162,57,,8,18,2023,61.33713,-172.93205,0.013779076,69,-1,8.3
U-02,134,46,,8,15,2023,61.66497,-167.41879,0.014574977,26,9.3,9.4
U-03,134,45,,8,15,2023,61.65765,-166.75407,0.009337604,21,10.2,11.5
U-18,134,47,,8,16,2023,61.66776,-168.80278,0.013472396,36,5,8
U-21,162,61,,8,18,2023,61.66789,-170.89998,0.013177073,50,0.3,8.6
U-22,162,60,,8,18,2023,61.65389,-171.58165,0.013327989,55,-0.1,9.2
V-03,134,43,,8,14,2023,62.00417,-166.69662,0.01272834,21,10.9,12.3
V-18,134,39,,8,13,2023,61.99084,-168.8428,0.013406439,37,3.7,8
V-19,134,38,,8,13,2023,61.99784,-169.5559,0.013738025,42,1.5,8.1
V-20,162,52,,8,16,2023,62.00005,-170.26112,0.013372421,46,0.6,9
V-21,162,53,,8,17,2023,62.00501,-170.9444,0.013799124,50,0.3,8.8
V-22,162,54,,8,17,2023,62.00285,-171.61872,0.013469753,52,-0.2,9.4
V-23,162,55,,8,17,2023,62.00161,-172.33696,0.015068293,55,-0.8,9.3
V-24,162,56,,8,17,2023,62.00617,-173.05281,0.014240843,58,-1.1,9.6
W-01,134,36,,8,12,2023,62.33088,-168.15974,0.013099248,31,6.8,8.2
W-02,134,41,,8,14,2023,62.33305,-167.45081,0.013604911,26,7.9,8.1
W-03,134,42,,8,14,2023,62.33124,-166.72048,0.012137989,22,10.4,11.9
W-19,134,37,,8,13,2023,62.32982,-169.59637,0.013968736,36,1.9,7.2
W-20,162,51,,8,16,2023,62.33869,-170.31593,0.011659146,40,0.9,8.7
W-21,162,50,,8,16,2023,62.33192,-171.05822,0.013468081,42,0.2,8.9
W-22,162,49,,8,16,2023,62.33095,-171.74533,0.012541665,47,-0.4,8.6
W-23,162,48,,8,16,2023,62.33248,-172.42003,0.012761304,54,-0.7,9.1
W-26,162,2,,8,3,2023,62.32472,-174.57742,0.015635571,70,-1.6,9.9
W-27,162,1,,8,3,2023,62.33318,-175.27462,0.016458834,78,-1.6,10.1
X-01,134,35,,8,12,2023,62.66368,-168.17895,0.009541473,34,3.2,7.7
X-18,134,34,,8,12,2023,62.66813,-168.89322,0.012414693,36,2.3,8.4
X-19,162,38,,8,12,2023,62.67249,-169.58013,0.012320816,40,0.8,8.3
X-20,162,39,,8,12,2023,62.67057,-170.33796,0.014341332,42,0.2,8.2
X-23,162,47,,8,15,2023,62.66519,-172.5057,0.014624381,54,-1.1,9.2
X-24,162,46,,8,15,2023,62.66809,-173.26665,0.006600488,65,-1.5,9.5
X-25,162,45,,8,14,2023,62.64986,-173.9089,0.013958031,68,-1.6,8.6
Y-01,162,36,,8,12,2023,63.01053,-168.21666,0.010925343,39,3,7.6
Y-02,134,32,,8,11,2023,62.99445,-167.4481,0.013574769,36,5.5,8.3
Y-03,134,31,,8,11,2023,62.99943,-166.76925,0.013593576,29,8.7,9.5
Y-04,134,21,,8,2,2023,63.00634,-166.02392,0.011917202,21,9.1,9.7
