Year,Vessel,Haul,Lattitude,Longitude
1982,21,2,61.0105,-166.66733
1982,21,3,60.99933,-168.02117
1982,21,4,60.99917,-169.39517
1982,21,5,60.99783,-170.786
1982,21,9,62.32367,-174.59617
1982,21,11,63.664,-172.718
1982,21,12,63.0125,-173.272
1982,21,13,62.349,-173.187
1982,21,14,62.3525,-171.73233
1982,21,15,63.00767,-171.7985
1982,21,17,62.34633,-170.29067
1982,21,18,62.3425,-168.86317
1982,21,19,62.94233,-168.97833
1982,21,20,64.48133,-165.87
1982,21,21,64.33433,-166.17367
1982,21,22,64.333,-165.76167
1982,21,23,64.33267,-165.44417
1982,21,24,64.33567,-164.97683
1982,21,25,64.31033,-164.69417
1982,21,26,64.32083,-164.22167
1982,21,27,64.48017,-164.29967
1982,21,28,64.49217,-163.87233
1982,21,29,64.33017,-163.79467
1982,21,30,64.341,-163.55267
1982,21,31,64.14967,-163.523
1982,21,32,64.14883,-163.07267
1982,21,33,64.141,-162.26183
1982,21,34,64.298,-162.31017
1982,21,35,64.46867,-162.35633
1982,21,36,64.3175,-161.625
1982,21,37,64.1715,-161.51867
1982,21,38,63.97717,-161.57617
1982,21,39,63.78733,-161.58533
1982,21,42,64.00567,-163.0495
1982,21,43,63.82983,-163.13033
1982,21,44,63.65517,-163.06183
1982,21,45,63.8345,-163.463
1982,21,46,64.00017,-163.41133
1982,21,47,64.19583,-163.83683
1982,21,48,64.16533,-164.2345
1982,21,49,64.15867,-164.59817
1982,21,50,64.15033,-164.9695
1982,21,51,64.14883,-165.33967
1982,21,52,64.1405,-165.72
1982,21,53,64.186,-166.13733
1982,21,54,64.02567,-166.186
1982,21,55,63.98117,-165.64833
1982,21,56,63.98283,-165.27417
1982,21,57,63.9885,-164.9735
1982,21,58,63.978,-164.6305
1982,21,59,64.00283,-164.29017
1982,21,60,63.994,-163.81517
1982,21,61,63.84783,-163.84933
1982,21,62,63.78567,-164.213
1982,21,63,63.81183,-164.62767
1982,21,64,63.83883,-165.02483
1982,21,65,63.8175,-165.32917
1982,21,66,63.824,-165.65433
1982,21,67,63.82617,-166.08617
1982,21,68,63.75533,-166.5365
1982,21,69,63.63367,-166.021
1982,21,70,63.47533,-166.45583
1982,21,71,63.48783,-167.07217
1982,21,72,63.73767,-167.102
1982,21,73,64.0085,-167.17267
1982,21,74,63.99483,-166.6135
1982,21,75,64.24467,-166.61467
1982,21,76,64.254,-167.11333
1982,21,77,64.504,-166.67383
1985,60,211,64.345,-165.35967
1985,60,212,64.33183,-164.98917
1985,60,213,64.16433,-164.996
1985,60,214,64.17933,-165.36033
1985,60,215,64.179,-165.74767
1985,60,216,64.321,-165.75717
1985,60,217,64.32083,-166.17517
1985,60,218,64.49367,-165.74017
1985,60,219,64.345,-166.551
1985,60,220,64.32383,-166.91
1985,60,221,64.17167,-166.92783
1985,60,222,64.17167,-166.5425
1985,60,223,64.00433,-166.53233
1985,60,224,63.99183,-166.90867
1985,60,225,63.84083,-166.89317
1985,60,226,63.8425,-166.50667
1985,60,227,63.65417,-166.4775
1985,60,228,63.508,-166.46417
1985,60,229,63.34283,-166.44717
1985,60,230,63.16,-166.39683
1985,60,231,63.1575,-166.05733
1985,60,232,63.32533,-166.061
1985,60,233,63.49817,-166.088
1985,60,234,63.65667,-166.09667
1985,60,235,63.845,-166.12167
1985,60,236,63.82083,-165.7385
1985,60,237,63.99933,-165.76217
1985,60,238,64.0005,-166.121
1985,60,239,64.16417,-166.1795
1985,60,240,64.49867,-166.547
1985,60,241,63.66783,-165.73767
1985,60,242,63.49833,-165.695
1985,60,243,63.51433,-165.33583
1985,60,244,63.664,-165.312
1985,60,245,63.82233,-165.3515
1985,60,246,63.99933,-165.3605
1985,60,248,63.996,-165.02117
1985,60,249,64,-164.6115
1985,60,250,64.169,-164.60167
1985,60,251,64.33333,-164.577
1985,60,252,64.334,-164.2265
1985,60,254,64.48367,-163.79483
1985,60,255,64.33417,-163.8255
1985,60,256,64.34267,-163.401
1985,60,257,64.16833,-163.0485
1985,60,258,64.16733,-163.3975
1985,60,259,64.16733,-163.82533
1985,60,260,64.16417,-164.1965
1985,60,261,64.01033,-164.22033
1985,60,262,64.00233,-163.86133
1985,60,263,64.005,-163.47167
1985,60,264,64.00033,-163.1055
1985,60,265,64.49433,-162.23333
1985,60,266,64.344,-162.2615
1985,60,267,64.179,-162.28867
1985,60,268,64.01033,-162.35067
1985,60,269,63.8425,-162.37317
1985,60,270,64.35017,-161.48517
1985,60,271,64.17483,-161.5115
1985,60,272,64.00683,-161.53233
1985,60,273,63.842,-161.57933
1985,60,274,63.83367,-163.1015
1985,60,275,63.8345,-163.44717
1985,60,276,63.83333,-163.86767
1985,60,277,63.83533,-164.20933
1985,60,278,63.83667,-164.59483
1985,60,279,63.83633,-164.95983
1985,60,280,63.67617,-164.95683
1985,60,281,63.6665,-164.57183
1985,60,282,63.5065,-164.95033
1985,60,283,63.33883,-165.3245
1985,60,284,63.32967,-165.68
1985,60,285,63.1725,-165.69867
1985,60,286,63.01117,-165.70117
1985,60,288,64.66567,-166.58217
1985,60,289,64.508,-166.96767
1985,60,291,63.66817,-172.70133
1985,60,292,63.00167,-173.22683
1985,60,293,63.0005,-171.79567
1985,60,294,62.9835,-170.37
1985,60,295,62.34017,-170.29367
1985,60,296,62.34283,-171.7825
1985,60,297,62.3315,-173.1405
1985,60,298,62.34383,-174.56883
1985,60,300,61.663,-173.09867
1985,60,301,61.67217,-171.57183
1985,60,302,61.674,-170.18967
1985,60,303,61.00867,-170.10333
1988,21,1,64.413,-165.00433
1988,21,2,64.40883,-164.61317
1988,21,3,64.41633,-164.18833
1988,21,4,64.49683,-164.19933
1988,21,5,64.49433,-163.79833
1988,21,6,64.34017,-163.82633
1988,21,7,64.32633,-163.43867
1988,21,8,64.32417,-162.32
1988,21,10,64.33083,-161.5305
1988,21,11,64.17417,-161.5385
1988,21,12,64.00517,-161.58083
1988,21,13,63.84183,-161.59
1988,21,15,64.0255,-162.36233
1988,21,16,64.149,-162.32633
1988,21,17,64.16467,-163.05317
1988,21,18,64.008,-163.10967
1988,21,19,63.84183,-163.116
1988,21,20,63.81567,-163.4895
1988,21,21,63.98733,-163.47483
1988,21,22,64.15117,-163.44833
1988,21,23,64.165,-163.79667
1988,21,24,64.00533,-163.85867
1988,21,25,63.84283,-163.8695
1988,21,26,63.82617,-164.19867
1988,21,27,63.9835,-164.23167
1988,21,28,64.152,-164.22533
1988,21,29,64.31483,-164.23017
1988,21,30,64.33183,-164.57467
1988,21,31,64.17683,-164.6005
1988,21,32,64.013,-164.60883
1988,21,33,63.84167,-164.62633
1988,21,34,63.6805,-164.6275
1988,21,35,63.4955,-165.147
1988,21,36,63.65317,-164.99867
1988,21,37,63.8195,-164.98467
1988,21,38,63.96867,-164.95783
1988,21,39,64.149,-164.98833
1988,21,40,64.32783,-164.95983
1988,21,41,64.41283,-165.40483
1988,21,42,64.3355,-165.37967
1988,21,43,64.17867,-165.381
1988,21,44,64.01083,-165.3675
1988,21,45,63.84183,-165.367
1988,21,46,63.67417,-165.36633
1988,21,47,63.51367,-165.35783
1988,21,48,63.34417,-165.357
1988,21,49,63.16667,-165.702
1988,21,50,63.32133,-165.72683
1988,21,51,63.48667,-165.7375
1988,21,52,63.65417,-165.73983
1988,21,53,63.82133,-165.75317
1988,21,54,63.9875,-165.75333
1988,21,55,64.154,-165.77133
1988,21,56,64.31867,-165.77433
1988,21,58,64.49617,-165.77567
1988,21,60,64.32683,-166.19917
1988,21,61,64.17333,-166.2025
1988,21,62,64.011,-166.16867
1988,21,63,63.84667,-166.14767
1988,21,64,63.68017,-166.13117
1988,21,65,63.51067,-166.10883
1988,21,66,63.34483,-166.088
1988,21,67,63.1785,-166.09033
1988,21,68,63.14983,-166.43667
1988,21,69,63.3175,-166.46333
1988,21,70,63.48867,-166.487
1988,21,71,63.65667,-166.52933
1988,21,72,63.84167,-166.54633
1988,21,73,64.00633,-166.57017
1988,21,74,64.15683,-166.55167
1988,21,75,64.32433,-166.5655
1988,21,76,64.4885,-166.52983
1988,21,78,64.65767,-166.93917
1988,21,79,64.5045,-166.93483
1988,21,80,64.34583,-166.925
1988,21,81,64.34467,-167.31833
1988,21,82,64.1795,-167.322
1988,21,83,64.18033,-166.91683
1988,21,84,64.00783,-166.91933
1988,21,85,63.841,-166.90083
1988,21,86,62.99283,-167.5215
1988,21,87,62.67767,-166.83717
1988,21,88,62.33533,-167.43183
1988,21,89,62.01333,-166.89233
1988,21,90,61.6795,-167.43583
1988,21,91,61.34317,-166.91667
1988,21,92,60.65967,-166.58767
1988,21,93,60.68017,-168.01217
1988,21,94,61.015,-168.7545
1988,21,95,61.321,-169.4795
1988,21,96,61.65967,-170.19917
1988,21,97,61.99383,-169.5825
1988,21,98,62.32567,-170.2655
1988,21,99,62.65767,-169.63083
1988,21,100,62.93083,-170.532
1988,21,101,62.67667,-170.98483
1988,21,102,62.9895,-171.76233
1988,21,103,63.32517,-172.545
1988,21,104,63.01933,-173.2865
1988,21,109,62.3425,-174.58517
1988,21,110,62.67183,-173.9375
1988,21,111,62.66667,-172.445
1988,21,112,62.338,-173.12633
1988,21,116,61.65533,-173.096
1988,21,117,61.99,-172.3825
1988,21,118,62.321,-171.71083
