NOAA_Station,Vessel,Haul,Haul_rate,Month,Day,Year,Latitude,Longitude,Area_Swept_Nm2,Depth_m,Bottom_Temp,Surface_Temp
AA-01,94,20,,7,28,2010,63.67842,-168.2923,,32,1.9,7
AA-02,94,19,,7,28,2010,63.65297,-167.53097,0.012364878,28,0.7,7.1
AA-03,94,53,,8,4,2010,63.6777,-166.78432,0.013045146,30,0.8,10.6
AA-04,94,60,,8,6,2010,63.65072,-166.04002,0.012112074,26,3,11.4
AA-05,94,59,,8,5,2010,63.65108,-165.29893,0.01231914,18,9.3,13.9
AA-06,94,64,,8,6,2010,63.68882,-164.55802,0.013193864,11,12,13
AA-07,94,66,,8,7,2010,63.66763,-163.85105,0.011396425,15,9.6,13.9
AA-08,94,67,,8,7,2010,63.65018,-163.06477,0.012976558,15,8.3,14
AA-10,94,70,,8,8,2010,63.65247,-161.56823,0.005522988,15,8.8,15.6
AA-18,94,21,,7,28,2010,63.68055,-169.00202,,35,3.6,7.6
AA-19,94,22,,7,28,2010,63.64828,-169.74898,,39,6.3,7.7
AA-22,94,27,,7,29,2010,63.70007,-172.06112,,36,-0.7,8.8
AA-23,94,28,,7,29,2010,63.67602,-172.71473,,55,0,9.3
BB-01,94,34,,7,31,2010,63.978,-168.3002,,35,4.2,7.4
BB-02,94,51,,8,4,2010,64.01647,-167.56212,0.011749335,35,1.1,9.8
BB-03,94,52,,8,4,2010,64.00048,-166.78975,0.013089788,33,1.5,10.4
BB-04,94,61,,8,6,2010,63.98262,-166.02893,0.012557815,24,2.1,11.9
BB-05,94,62,,8,6,2010,63.99078,-165.33017,0.012249935,18,8.1,12.2
BB-06,94,63,,8,6,2010,64.00382,-164.55712,0.013286137,18,6.4,14.2
BB-07,94,65,,8,7,2010,64.00938,-163.79893,0.013013969,20,5.7,15.2
BB-08,94,68,,8,7,2010,63.98847,-163.04942,0.012883952,18,4.7,15.9
BB-09,94,69,,8,7,2010,64.01867,-162.30207,0.012477531,18,4.9,17.7
BB-10,94,71,,8,8,2010,63.97832,-161.52122,0.013019793,18,3,16.7
BB-18,94,33,,7,30,2010,64.01918,-169.04827,,34,1.4,9.2
BB-19,94,23,,7,28,2010,63.98052,-169.77357,,34,2,6.2
BB-20,94,24,,7,29,2010,63.98347,-170.5616,,28,1.4,8.1
BB-21,94,25,,7,29,2010,64.01273,-171.34162,,28,0.1,8.5
BB-22,94,26,,7,29,2010,63.98623,-172.0534,,52,1.6,9
CC-01,94,35,,7,31,2010,64.34282,-168.32537,,38,2.8,7.5
CC-02,94,50,,8,4,2010,64.34658,-167.57355,0.012187611,32,1.4,9.4
CC-03,94,49,,8,3,2010,64.32705,-166.81525,0.012470352,30,0.7,11.9
CC-04,94,78,,8,9,2010,64.32988,-166.01243,0.012620239,23,6.6,12.4
CC-05,94,77,,8,9,2010,64.3209,-165.28733,0.012829222,24,7.1,11.5
CC-06,94,76,,8,9,2010,64.31973,-164.49707,0.013438169,15,10.4,12.3
CC-07,94,75,,8,8,2010,64.32538,-163.7621,0.013627344,17,7.2,15.2
CC-08,94,74,,8,8,2010,64.316,-163.00065,0.012707905,14,12.3,15
CC-09,94,73,,8,8,2010,64.34757,-162.24343,0.012881391,19,3.9,15.9
CC-10,94,72,,8,8,2010,64.30037,-161.53125,0.012614224,14,9.9,16.2
