Vessel,Haul,NMFS_Station,Date,Year,Sex,Size_mm,Shell,Egg color,Egg condition,Clutch,Sampling Factor
89,14,S-19,8022010,2010,1,97,3,,,,1
89,16,R-20,8022010,2010,2,108,2,2,1,6,1
94,5,T-01,7242010,2010,1,144,3,,,,1
94,5,T-01,7242010,2010,1,115,4,,,,1
94,7,U-02,7252010,2010,1,121,4,,,,1
94,48,DD-03,8032010,2010,1,60,2,,,,1
94,48,DD-03,8032010,2010,1,46,2,,,,1
94,48,DD-03,8032010,2010,1,41,2,,,,1
94,48,DD-03,8032010,2010,1,49,2,,,,1
94,48,DD-03,8032010,2010,2,52,2,0,0,0,1
94,48,DD-03,8032010,2010,2,78,2,0,0,0,1
94,48,DD-03,8032010,2010,1,47,2,,,,1
94,52,BB-03,8042010,2010,2,96,2,5,1,6,1
94,56,Y-04,8052010,2010,1,103,3,,,,1
94,56,Y-04,8052010,2010,1,109,4,,,,1
94,56,Y-04,8052010,2010,2,96,2,5,1,5,1
94,58,ZZ-05,8052010,2010,2,86,2,5,1,6,1
94,59,AA-05,8052010,2010,1,95,2,,,,1
94,59,AA-05,8052010,2010,1,128,4,,,,1
94,59,AA-05,8052010,2010,1,108,4,,,,1
94,59,AA-05,8052010,2010,1,86,3,,,,1
94,59,AA-05,8052010,2010,1,92,3,,,,1
94,61,BB-04,8062010,2010,1,113,3,,,,1
94,62,BB-05,8062010,2010,1,103,3,,,,1
94,62,BB-05,8062010,2010,1,96,3,,,,1
94,62,BB-05,8062010,2010,1,87,2,,,,1
94,62,BB-05,8062010,2010,1,109,3,,,,1
94,62,BB-05,8062010,2010,1,101,3,,,,1
94,62,BB-05,8062010,2010,1,100,3,,,,1
94,62,BB-05,8062010,2010,1,88,3,,,,1
94,62,BB-05,8062010,2010,1,75,2,,,,1
94,62,BB-05,8062010,2010,1,100,3,,,,1
94,63,BB-06,8062010,2010,1,94,2,,,,1
94,63,BB-06,8062010,2010,1,100,3,,,,1
94,63,BB-06,8062010,2010,1,99,2,,,,1
94,63,BB-06,8062010,2010,1,82,2,,,,1
94,65,BB-07,8072010,2010,1,107,3,,,,1
94,65,BB-07,8072010,2010,1,110,3,,,,1
94,65,BB-07,8072010,2010,1,123,2,,,,1
94,65,BB-07,8072010,2010,1,42,2,,,,1
94,65,BB-07,8072010,2010,1,113,4,,,,1
94,66,AA-07,8072010,2010,1,102,2,,,,1
94,66,AA-07,8072010,2010,2,87,2,5,1,6,1
94,67,AA-08,8072010,2010,2,106,2,5,1,6,1
94,68,BB-08,8072010,2010,1,109,3,,,,1
94,68,BB-08,8072010,2010,1,76,3,,,,1
94,68,BB-08,8072010,2010,1,114,4,,,,1
94,68,BB-08,8072010,2010,1,75,3,,,,1
94,68,BB-08,8072010,2010,1,23,2,,,,1
94,68,BB-08,8072010,2010,2,40,2,0,0,0,1
94,68,BB-08,8072010,2010,2,80,2,0,0,0,1
94,69,BB-09,8072010,2010,1,114,3,,,,1
94,69,BB-09,8072010,2010,1,18,2,,,,1
94,69,BB-09,8072010,2010,1,17,2,,,,1
94,69,BB-09,8072010,2010,1,22,2,,,,1
94,69,BB-09,8072010,2010,2,20,2,0,0,0,1
94,69,BB-09,8072010,2010,2,16,2,0,0,0,1
94,70,AA-10,8082010,2010,2,78,2,5,1,5,1
94,70,AA-10,8082010,2010,2,80,2,5,1,5,1
94,71,BB-10,8082010,2010,2,59,2,0,0,0,1
94,72,CC-10,8082010,2010,2,98,2,5,1,4,1
94,73,CC-09,8082010,2010,1,116,3,,,,1
94,73,CC-09,8082010,2010,2,24,2,0,0,0,1
94,75,CC-07,8082010,2010,1,29,2,,,,1
94,75,CC-07,8082010,2010,1,27,2,,,,1
94,75,CC-07,8082010,2010,1,46,2,,,,1
94,75,CC-07,8082010,2010,1,27,2,,,,1
94,75,CC-07,8082010,2010,1,22,2,,,,1
94,75,CC-07,8082010,2010,1,22,2,,,,1
94,75,CC-07,8082010,2010,1,109,3,,,,1
94,75,CC-07,8082010,2010,1,95,3,,,,1
