Haul,NMFS_Station,Date,Sex,Size_mm,Shell,Egg color,Egg condition,Clutch,Sampling Factor
11,S-20,8032017,1,124.6,2,,,,1
13,R-18,8042017,1,128.3,4,,,,1
14,R-19,8042017,2,104.9,2,5,1,6,1
15,S-19,8042017,1,184.9,2,,,,1
15,S-19,8042017,1,133.6,3,,,,1
30,AA-07,8192017,1,54.3,2,,,,1
32,BB-08,8202017,1,25.7,2,,,,1
32,BB-08,8202017,1,26.8,2,,,,1
32,BB-08,8202017,1,31.6,2,,,,1
32,BB-08,8202017,1,28.8,2,,,,1
32,BB-08,8202017,1,31.4,2,,,,1
32,BB-08,8202017,2,24.4,2,0,0,0,1
32,BB-08,8202017,2,27.5,2,0,0,0,1
32,BB-08,8202017,2,25.9,2,0,0,0,1
32,BB-08,8202017,2,28.7,2,0,0,0,1
32,BB-08,8202017,2,31.6,2,0,0,0,1
32,BB-08,8202017,2,32.9,2,0,0,0,1
32,BB-08,8202017,2,26.2,2,0,0,0,1
32,BB-08,8202017,2,29.1,2,0,0,0,1
32,BB-08,8202017,2,21.8,2,0,0,0,1
32,BB-08,8202017,2,23.9,2,0,0,0,1
33,BB-09,8202017,1,121.5,4,,,,1
33,BB-09,8202017,1,19.2,1,,,,1
33,BB-09,8202017,1,22.8,2,,,,1
33,BB-09,8202017,1,27.7,2,,,,1
33,BB-09,8202017,1,27.8,2,,,,1
33,BB-09,8202017,1,74.9,2,,,,1
33,BB-09,8202017,1,31.8,2,,,,1
33,BB-09,8202017,1,29.4,2,,,,1
33,BB-09,8202017,1,30.6,2,,,,1
33,BB-09,8202017,2,27.6,2,0,0,0,1
33,BB-09,8202017,2,27.9,2,0,0,0,1
33,BB-09,8202017,2,98.1,2,2,1,6,1
33,BB-09,8202017,2,78.2,2,2,1,6,1
33,BB-09,8202017,2,29.9,2,0,0,0,1
33,BB-09,8202017,2,20.3,2,0,0,0,1
33,BB-09,8202017,2,28.3,2,0,0,0,1
33,BB-09,8202017,2,23.6,2,0,0,0,1
33,BB-09,8202017,2,23,2,0,0,0,1
33,BB-09,8202017,2,28.4,2,0,0,0,1
33,BB-09,8202017,2,27.9,2,0,0,0,1
33,BB-09,8202017,2,22.6,2,0,0,0,1
33,BB-09,8202017,2,28.1,2,0,0,0,1
33,BB-09,8202017,2,27.1,2,0,0,0,1
33,BB-09,8202017,2,25.4,2,0,0,0,1
35,AA-10,8202017,2,108.4,2,2,1,6,1
38,CC-09,8212017,1,24.9,2,,,,1
38,CC-09,8212017,1,30.6,2,,,,1
38,CC-09,8212017,1,24.7,2,,,,1
38,CC-09,8212017,1,23.5,2,,,,1
38,CC-09,8212017,1,25.2,2,,,,1
38,CC-09,8212017,2,26.8,2,0,0,0,1
38,CC-09,8212017,2,24.9,2,0,0,0,1
39,CC-08,8212017,2,10,2,0,0,0,1
40,CC-07,8222017,1,76.4,2,,,,1
40,CC-07,8222017,1,86.8,2,,,,1
40,CC-07,8222017,1,86.9,2,,,,1
40,CC-07,8222017,1,84.6,2,,,,1
40,CC-07,8222017,1,80,2,,,,1
40,CC-07,8222017,1,71.1,2,,,,1
40,CC-07,8222017,1,84.5,2,,,,1
40,CC-07,8222017,1,117,2,,,,1
40,CC-07,8222017,1,109.1,2,,,,1
40,CC-07,8222017,1,20.6,2,,,,1
40,CC-07,8222017,1,20.9,2,,,,1
40,CC-07,8222017,1,26.4,2,,,,1
40,CC-07,8222017,1,91.5,2,,,,1
40,CC-07,8222017,1,72.1,2,,,,1
40,CC-07,8222017,2,25.1,2,0,0,0,1
40,CC-07,8222017,2,107.8,2,5,1,6,1
40,CC-07,8222017,2,85.8,2,2,1,6,1
40,CC-07,8222017,2,77.6,2,2,1,5,1
42,BB-06,8222017,2,102.6,2,2,1,6,1
44,DD-03,8232017,1,43.2,2,,,,1
44,DD-03,8232017,1,70.8,3,,,,1
44,DD-03,8232017,1,95.2,3,,,,1
44,DD-03,8232017,1,20.4,2,,,,1
45,CC-03,8232017,1,78.5,2,,,,1
45,CC-03,8232017,1,95.8,2,,,,1
45,CC-03,8232017,1,101.1,2,,,,1
45,CC-03,8232017,1,111.6,1,,,,1
45,CC-03,8232017,1,93,3,,,,1
