NOAA_STATION,ADFG_Station,Vessel,Haul,Haul_rate,Month,Day,Year,Latitude,Longitude,Area_Nm2,Area_Swept_Nm2,Depth_m,Bottom_Temp,Surface_Temp
AA-01,,162,75,,8,28,2017,63.66954,-168.278,,0.012211546,33,6.5,9.3
AA-02,,162,74,,8,28,2017,63.66578,-167.52785,,0.012171913,29,5.8,9.6
AA-03,,94,52,,8,25,2017,63.66339,-166.80781,,0.014358946,29,4.7,11.1
AA-04,,94,50,,8,24,2017,63.67658,-166.0585,,0.013571925,26,5.5,11.1
AA-05,,94,28,,8,19,2017,63.64831,-165.33659,,0.012342114,18,10.8,10.9
AA-06,,94,29,,8,19,2017,63.68127,-164.61319,,0.011121896,12,11.4,11.9
AA-07,,94,30,,8,19,2017,63.67011,-163.82735,,0.011953734,14,12.7,12.9
AA-08,,94,31,,8,20,2017,63.66655,-163.06016,,0.012343973,15,13.4,13
AA-10,,94,35,,8,20,2017,63.80437,-161.58552,,0.005609387,14,10.6,13.8
AA-18,,162,71,,8,27,2017,63.67011,-169.01404,,0.011653387,36,6.5,7.1
AA-19,,162,70,,8,27,2017,63.66607,-169.75383,,0.012193902,40,7.7,8
AA-22,,162,46,,8,20,2017,63.69665,-172.10453,,0.00745094,40,2.5,7.2
AA-23,,162,45,,8,19,2017,63.66968,-172.73402,,0.013658712,57,1.5,8.3
BB-01,,162,72,,8,28,2017,64.00671,-168.29421,,0.010810848,36,5.6,8.3
BB-02,,162,73,,8,28,2017,64.02824,-167.56579,,0.011245749,37,4.8,7.8
BB-03,,94,51,,8,25,2017,63.99897,-166.8175,,0.013942151,33,4.1,10.7
BB-04,,94,49,,8,24,2017,63.99298,-166.05167,,0.013127762,22,6.5,11.6
BB-05,,94,48,,8,24,2017,64.01534,-165.31265,,0.010736172,18,8.9,11.8
BB-06,,94,42,,8,22,2017,63.99465,-164.54535,,0.012708723,18,11.9,11.9
BB-07,,94,41,,8,22,2017,64.00198,-163.79239,,0.01064838,19,12.7,12.8
BB-08,,94,32,,8,20,2017,63.99646,-163.06261,,0.011222215,20,11.8,13.2
BB-09,,94,33,,8,20,2017,64.00461,-162.33381,,0.011462632,18,8.1,13.2
BB-10,,94,36,,8,21,2017,63.99105,-161.53304,,0.012788384,18,7.1,13.5
BB-18,,162,68,,8,27,2017,64.0077,-169.05261,,0.011265767,35,5.8,6
BB-19,,162,69,,8,27,2017,63.99308,-169.79379,,0.012197484,35,7.3,7.2
BB-20,,162,51,,8,21,2017,63.99409,-170.55932,,0.01240309,30,6.4,7.8
BB-21,,162,48,,8,20,2017,64.04452,-171.3584,,0.010269483,33,5.1,9
BB-22,,162,47,,8,20,2017,63.99919,-172.02633,,0.012606468,54,1.2,8.9
CC-01,,162,66,,8,26,2017,64.32915,-168.33552,,0.011874703,40,4.2,7.2
CC-02,,162,58,,8,24,2017,64.32386,-167.57616,,0.007100694,31,3.8,9.9
CC-03,,94,45,,8,23,2017,64.34015,-166.83257,,0.012858405,30,4.5,11.2
CC-04,,94,46,,8,23,2017,64.33107,-166.05974,,0.012223493,23,5.2,11.3
CC-05,,94,47,,8,24,2017,64.3323,-165.33609,,0.01211024,25,8.4,12.4
CC-06,,94,43,,8,22,2017,64.32803,-164.53456,,0.011298761,15,12.9,13.6
CC-07,,94,40,,8,22,2017,64.33843,-163.78699,,0.0117015,19,11.1,13.6
CC-08,,94,39,,8,21,2017,64.24653,-163.1185,,0.012228345,20,8.4,14
CC-09,,94,38,,8,21,2017,64.33141,-162.26691,,0.01206369,19,7.4,14.1
CC-10,,94,37,,8,21,2017,64.31027,-161.53698,,0.012284312,15,10.1,13.6
CC-18,,162,67,,8,27,2017,64.29345,-169.13892,,0.01144497,40,5.3,6.6
CC-19,,162,52,,8,21,2017,64.31149,-169.82966,,0.008018599,39,4.1,6.1
CC-20,,162,50,,8,21,2017,64.27813,-170.69045,,0.011642566,35,6.6,9
CC-21,,162,49,,8,21,2017,64.30688,-171.27471,,0.005361824,45,2.1,8.1
DD-01,,162,65,,8,26,2017,64.65996,-168.35471,,0.012348529,40,2.8,6.6
DD-02,,162,59,,8,25,2017,64.70436,-167.60711,,0.013119022,30,4.7,7.9
DD-03,,94,44,,8,23,2017,64.65558,-166.80792,,0.013088463,25,3.9,7.8
DD-18,,162,64,,8,26,2017,64.65126,-169.16212,,0.013871367,43,2.9,4.9
DD-19,,162,54,,8,22,2017,64.65624,-169.90891,,0.013445185,47,3.1,4.7
DD-20,,162,53,,8,22,2017,64.61832,-170.68775,,0.006885178,47,2.6,8.7
EE-01,,162,63,,8,26,2017,65.00093,-168.34499,,0.012832057,44,3.2,4.3
EE-02,,162,60,,8,25,2017,64.97021,-167.60049,,0.01266485,33,3.4,6.4
EE-18,,162,56,,8,22,2017,65.01722,-169.12043,,0.013073841,49,4,6
EE-19,,162,55,,8,22,2017,65.00784,-169.91102,,0.013586952,50,3,5.7
FF-01,,162,62,,8,25,2017,65.32591,-168.36981,,0.012825668,53,3.7,6.2
FF-02,,162,61,,8,25,2017,65.25698,-167.86932,,0.012304397,33,3.4,7.3
FF-18,,162,57,,8,22,2017,65.21764,-168.89474,,0.012292662,54,4,4.9
R-01,,162,89,,9,2,2017,60.6721,-168.01654,,0.012091962,29,10.2,10
R-02,,94,57,,8,26,2017,60.67349,-167.31228,,0.013637429,26,11,11
R-03,,94,17,,8,16,2017,60.66099,-166.65737,,0.01269772,20,12.7,12.7
R-18,,162,13,,8,4,2017,60.66639,-168.7065,,0.012633901,37,8.2,8.8
R-19,,94,14,,8,4,2017,60.67054,-169.37521,,0.012724719,43,4.8,10.5
R-20,,162,12,,8,3,2017,60.67508,-170.05565,,0.013479753,49,1.5,10.8
R-21,,94,13,,8,3,2017,60.67064,-170.75633,,0.012754598,58,-0.7,11.5
S-01,,162,88,,9,2,2017,61.00562,-168.03519,,0.012247121,30,9.3,10.1
S-02,,94,56,,8,26,2017,60.99729,-167.32733,,0.013995906,23,10.8,10.8
S-03,,94,18,,8,16,2017,61.00993,-166.67181,,0.013242631,20,11.9,12
S-18,,162,14,,8,4,2017,60.99402,-168.71334,,0.012974174,36,8.7,9.5
S-19,,94,15,,8,4,2017,60.99735,-169.43424,,0.012261495,41,6,10.9
S-20,,162,11,,8,3,2017,60.99503,-170.13331,,0.014256113,48,1.3,10.8
S-21,,94,12,,8,3,2017,61.00328,-170.81818,,0.013133786,53,-0.6,10.5
T-01,,162,87,,9,1,2017,61.33972,-168.0662,,0.012672323,30,6.8,9.6
T-02,,94,55,,8,26,2017,61.34474,-167.37217,,0.012964955,24,10.4,11
T-03,,94,19,,8,17,2017,61.3304,-166.91177,,0.013700738,21,11.8,11.8
