#  Spcode Error.csv   ,,
# Some catch data contains species codes that do not exist in the NOAA Sp code book  ,,
# This is an attempt to correct the code (in Spcode) to the most likely code (Spcode.n),,
,,
,,
Spcode,Spcode.n,Note
9800,98000,Type_Error?
10226,10262,Type_Error?
12388,21388,Type_Error?
21700,21720,Type_Error?
21890,21900,Type_Error?
24435,74435,Type_Error?
24983,74983,Type_Error?
27100,21720,Type_Error?
40080,40020,Type_Error?
44530,44000,Type_Error?
44580,44000,Type_Error?
48082,43082,Type_Error?
48577,68577,Type_Error?
48580,68580,Type_Error?
51355,21355,Type_Error?
56130,56310,Type_Error?
60061,66601,Type_Error?
66111,66611,Type_Error?
66610,66601,Type_Error?
66664,66614,Type_Error?
68527,68577,Type_Error?
69091,69090,Type_Error?
69616,69316,Type_Error?
69781,68781,Type_Error?
71842,71820,Type_Error?
72065,72060,Type_Error?
80100,80010,Type_Error?
80206,80200,Type_Error?
80450,80540,Type_Error?
82150,82510,Type_Error?
82501,82510,Type_Error?
82736,82730,Type_Error?
85286,85289,Type_Error?
85510,85210,Type_Error?
88594,80594,Type_Error?
89082,98082,Type_Error?
98025,98205,Type_Error?
99800,99900,Type_Error?
999998,99998,Type_Error?
