Spcode.o,Spcode.n,Note
0,,unknown
1,1,fish egg
2,,Kelp
10,10,Lamprey
20,10,Lamprey
401,1,Skate Egg Case Unid.
436,1,Bering Skate Egg Case
471,,Alaska Skate
473,1,Aleutian Skate Egg Case
474,1,Alaska Skate Egg Case
10001,,flatfish unidentNone (prevNone flounder unidentNone)
10110,,Arrowtooth Flounder
10112,,Kamchatka Flounder
10115,,Greenland turbot
10120,,Pacific halibut
10130,,flathead sole
10140,,Bering flounder
10155,,Arctic flounder
10200,,rex sole
10210,,yellowfin sole
10211,,longhead dab
10212,,Sakhalin Sole
10220,10220,Stray_Flounder
10221,10220,Stray_Flounder
10240,,roughscale sole
10250,,sand sole
10260,,RocK_Sole
10261,,RocK_Sole
10262,,RocK_Sole
10270,,butter sole
10280,,curlfin sole
10281,,hornyhead turbot
10285,,Alaska plaice
10290,,C-O sole
10291,,None
10295,,Pleuronichthys ritteri
10400,,California tonguefish
20000,,poacher unidentNone
20001,,tubenose poacher
20006,,sawback poacher
20039,,Podothecus
20040,,sturgeon poacher
20041,,Veteran poacher
20050,,Aleutian Alligatorfish
20051,,Arctic alligatorfish
20060,,warty poacher
20061,,Bering poacher
20071,,Fourhorn Poacher
20202,,Sand_lance
20204,,Sand_lance
20322,,Bering wolffish
21110,,Pacific herring
21201,,Good
21300,,sculpin unidentNone
21313,,None
21314,,threaded sculpin
21315,,Arctic staghorn sculpin
21316,,Armorhead Sculpin
21329,,Purplegray Sculpin
21331,,None
21332,,bride sculpin  (Northern hookear sculpin)
21333,,Hookhorn sculpin
21334,,hamecon
21335,,Arctic hookear sculpin
21339,,None
21341,,darkfin sculpin
21342,,Irish lord
21345,,Longfin Irish Lord
21346,,red Irish lord
21347,,yellow Irish lord
21348,,butterfly sculpin
21350,,None
21353,,crescent-tail sculpin
21355,,ribbed sculpin
21356,,roughspine sculpin
21360,,brightbelly sculpin
21362,,Padded Sculpin
21368,,warty sculpin  (=shorthorned sculpin)
21370,,great sculpin
21371,,plain sculpin
21373,,frog sculpin
21375,,Myoxocephalus unidentified
21376,,belligerent sculpin
21377,,fourhorn sculpin
21378,,Arctic sculpin
21379,,Hairhead Sculpin
21380,,Pacific staghorn sculpin
21384,,None
21387,,leister sculpin
21388,,antlered sculpin
21390,,spinyhead sculpin
21393,,None
21394,,tadpole sculpin
21397,,crested sculpin
21404,,
21405,,eyeshade sculpin
21407,,Shortmast Sculpin
21415,,Good
21423,,smoothcheek sculpin
21438,,thorny sculpin
21441,,Spatulate Sculpin
21444,,Roughskin Sculpin
21446,,None
21592,,Pacific Sandfish
21720,21720,Pacific_cod
21721,21720,Pacific_cod
21722,21720,Pacific_cod
21725,,Arctic cod
21735,,saffron cod
21740,21740,walleye_pollock
21741,21740,walleye_pollock
21742,21740,walleye_pollock
21752,,Threespine Stickleback
21753,,ninespine stickleback
21900,,greenling unidentNone
21910,,lingcod
21915,,painted greenling
21921,,Atka mackerel
21930,,None
21931,,masked greenling
21932,,whitespotted greenling
21934,,rock greenling
21935,,kelp greenling
21936,,longspine combfish
21937,,ragfish
22178,,Pacific spiny lumpsucker
22182,,Pimpled Lumpsucker
22183,,Spiny Lumpsuckers
22200,,silfish unidentNone
22201,,Silfish unidentified
22205,,dusky silfish (prevNone variegated silfish)
22208,,Showy Snailfish
22213,,ringtail silfish
22226,,Monster Silfish
22232,,Peachskin Silfish
22236,,Salmon Silfish
22238,,Kelp Silfish
22254,,Nebulous Snailfish
22258,,Dusty Snailfish
22265,,Festive Snailfish
23010,,Eulachon
23041,,capelin
23055,,rainbow smelt
23201,,salmon and trouts unidentNone(prevNone salmon unidentNone)
23202,,Oncorhynchus
23220,,chinook salmon
23225,,coho salmon
23230,,Pink Salmon
23235,,chum salmon
23240,,sockeye salmon
23800,,Prickleback Unid.
23801,,None
23803,,fourline skeblenny
23804,,Arctic shanny
23805,,daubed shanny
23806,,stout eelblenny
23807,,slender eelblenny
23808,,ske prickleback
23809,,pighead prickleback
23836,,Longsnout Prickleback
23841,,decorated warbonnet
23843,,bearded warbonnet
24100,,eelpout unidentNone
24180,,None
24184,,marbled eelpout  (prevNone sparse toothed lycod)
24185,,wattled eelpout
24186,,Saddled Eelpout
24187,,ebony eelpout  (prevNone marbled eelpout)
24188,,Cadian eelpout
24189,,polar eelpout
24191,,shortfin eelpout
24192,,fish doctor
40001,,coelenterate unidentNone
40010,,None
40011,,Hydroid unidentNone
40020,,None
40034,,Abietinaria
40035,,Bushy White Hydroid
40049,,Sertulariid Hydroid
40050,,None
40500,,jellyfish unidentNone
40501,,chrysaora jellyfish
40503,,Helmet Jelly
40504,,Chrysaora melaster
40505,,Egg Yolk Jelly
40506,,Aequorea
40511,,Aurelia
40512,,Aurelia labiata
40515,,Sea Nettle
40519,,Whitecross Jelly
40520,,Brown Rimmed Jelly
40561,,Lion'S Mane Jelly
41000,,Anthozoa
41201,,sea raspberry
41221,,None
41500,,coral unidentNone
41520,,None
41530,,None
41540,,None
41550,,None
41570,,None
41580,,None
41582,,None
41600,,None
41700,,None
42001,,smoothstem seawhip
42003,,sea whip unidentNone
42004,,slender seawhip
42005,,roughstem seawhip
42008,,None
42010,,None
42015,,None
42017,,None
43000,,sea anemone unidentNone
43001,,Good
43009,,Corallimorphus
43010,,None
43020,,None
43021,,Gigantic Anemone
43030,,Stomphia
43032,,Swimming Anemone
43040,,Sea anemone
43042,,Mottled Anemone
43045,,Hot Dog Zoanthid
43082,,None
43100,,Actinostolidae
43110,,Good
44000,,stony coral unidentNone
45000,,comb jelly unidentNone
50000,,polychaete worm unidentNone
50001,,Worm Unid.
50010,,None
50301,,
53700,,Cat Worm Unid.
54000,,Nereididae
54030,,None
56300,,scale worm unidentNone
56310,,Eunoe
56311,,giant scale worm
56312,,depressed scale worm
56313,,good
57000,,sabellid unident.
59100,,Leech Unid.
59111,,striped sea leech
60100,,amphipod unidentNone
60101,,Iphinoe
60105,,Speckled Amphipod
60107,,Smooth Northern Amphipod
60110,,Gammarid Amphipod Unid.
60145,,Skeleton shrimps
62000,,isopod unidentNone
62020,,None
63000,,Cumacean Unid.
63500,,euphausiid unident.
64500,,copepod unident.
65000,,None
65100,,barcle unidentNone
65201,,None
65203,,giant barcle
65204,,crab barcle
65205,,beaked barcle
66000,,shrimp unidentNone
66019,,Pandalid Shrimp Unid.
66020,,None
66031,,Alaskan Pink Shrimp
66045,,humpy shrimp
66050,,coonstripe shrimp
66150,,hippolytid shrimp unidentNone
66163,,Da Blade Shrimp
66170,,None
66171,,Barbed Eualid
66175,,None
66179,,Greenland Shrimp
66193,,Shortscale Eualid
66200,,None
66203,,None
66204,,Polar lebbeid
66500,,crangonid shrimp unidentNone
66502,,None
66515,,twospine crangon
66530,,ridged crangon
66548,,sevenspine bay shrimp
66570,,None
66580,,Arctic argid
66600,,None
66601,,sculptured shrimp
66602,,saddleback shrimp
66611,,kuro argid
66612,,rough argid
66614,,split-eye argid
66750,,Pasiphaeid Shrimp Unid.
68000,,Unidentified crab
68501,,Oregonia
68510,,graceful decorator crab
68560,,Tanner crab(bairdi))
68577,,circumboreal toad crab (=hyas crab (round spined))
68578,,Pacific lyre crab
68580,,rrow snow crab(=tanner crab(opilio))
68590,,tanner crab (hybrid)
68781,,helmet crab
69000,,None
69010,,hermit crab unident
69035,,None
69042,,sponge hermit
69060,,Aleutian hermit
69061,,splendid hermit
69065,,None
69070,,Pagurus confragosus
69080,,None
69082,,whiteknee hermit
69085,,bluespine hermit
69086,,fuzzy hermit crab
69090,,Alaskan hermit
69095,,longfinger hermit
69120,,hairy hermit crab
69250,,stone crab unident
69290,,Lithodes
69312,,Wrinkled Crab
69316,,Soft crab
69320,,Hanasaki King Crab
69322,,red king crab
69323,,blue king crab
69332,,
69400,,Horsehair Crab
69520,,Hyas
70000,,mollusk unident.
70100,,chiton unidentNone
70108,,Gumboot chiton
70115,,None
71001,,Sil eggs
71002,,Buccinum
71004,,Sil eggs
71010,,nudibranch unidentNone
71012,,Giant Orange Tochui
71018,,Dendronotus
71020,,Dall Dendronotid
71025,,Tritonia
71026,,Festive Tritonia
71030,,Giant orange nudibranch
71202,,Chlamylla
71250,,Dorid nudibranch unidentified
71500,,sil unidentNone
71504,,None
71510,,Moonsil
71511,,Moonsil egg unid. 
71524,,Cryptotica
71525,,Moonsil
71526,,Arctic Moonsil
71530,,Arctic moonsil
71535,,None
71537,,rusty moonsil
71575,,None
71580,,pale moonsil
71583,,Lamellarid Unid.
71584,,Lamellaria
71585,,icy lamellaria
71586,,widemouth lamellaria
71589,,Warty Blobsil
71590,,Onchidiopsis
71634,,eroded turretsil
71639,,Slippersils
71640,,slipper shell
71681,,great slippersil
71710,,None
71713,,Colus Capponius
71721,,Thin-Ribbed Whelk
71722,,oblique whelk
71723,,shady whelk
71726,,thick-ribbed whelk
71731,,Shrew Whelk
71739,,Attenuate Melon Whelk
71750,,None
71751,,
71753,,warped whelk
71755,,left-hand whelk
71756,,fragile whelk
71759,,threaded whelk
