Year,Haul,Latitude,Longitude,10210
1996,3,64.33083333,-164.9993333,9.490241906
1996,4,64.332,-164.6376667,1004.87481
1996,5,64.47783333,-164.2551667,411.2438159
1996,6,64.51066667,-163.8125,331.3383223
1996,7,64.3415,-164.1821667,476.9454906
1996,8,64.49466667,-162.317,224.3914975
1996,9,64.35516667,-162.2848333,164.4975264
1996,10,64.18866667,-162.3271667,25.30731175
1996,11,64.02183333,-162.2955,109.243229
1996,12,63.99516667,-162.6461667,99.1517811
1996,13,64.14333333,-162.6546667,18.07665125
1996,15,64.17616667,-163.0131667,41.89386066
1996,16,64.01033333,-163.0631667,395.9849956
1996,17,63.99683333,-163.433,63.97126025
1996,18,64.15566667,-163.4478333,162.3885837
1996,19,64.31566667,-163.7946667,870.1249245
1996,20,64.33733333,-163.4703333,166.0792333
1996,21,64.00133333,-163.8326667,365.2934962
1996,22,64.152,-163.8055,318.3185306
1996,23,64.15233333,-164.1311667,155.0072845
1996,24,63.98016667,-164.151,1090.161121
1996,25,63.98866667,-164.5803333,1690.421492
1996,26,63.99116667,-164.955,647.2831659
1996,27,64.15616667,-164.6531667,76.92090808
1996,28,64.1645,-164.9531667,433.3194386
1996,29,64.1655,-165.2915,822.4876318
1996,30,64.00416667,-165.353,213.3572633
1996,31,63.99016667,-165.6916667,288.5416983
1996,32,64.14633333,-165.7121667,105.6093586
1996,33,64.16883333,-166.0713333,186.2899337
1996,34,64.0165,-166.1195,118.1007882
1996,35,63.996,-166.4653333,178.5798208
1996,36,64.17866667,-166.4951667,168.7154117
1996,37,64.31233333,-166.4875,0
1996,38,64.33333333,-166.162,0
1996,39,64.33416667,-165.7316667,74.37645056
1996,41,64.00183333,-166.8708333,0
1996,42,63.856,-166.5308333,0
1996,43,63.6905,-166.457,0
1996,44,63.65783333,-166.145,63.26827937
1996,45,63.817,-166.0818333,147.6259852
1996,46,63.68466667,-165.7361667,333.0735038
1996,47,63.68533333,-165.3796667,84.51869381
1996,48,63.66916667,-164.9993333,81.13794606
1996,49,63.80016667,-164.945,48.82119195
1996,50,63.82583333,-165.2866667,23.66523427
1996,51,63.82983333,-165.7271667,138.20305
1999,1,64.00183333,-166.5001667,109.5650677
1999,2,64.00116667,-166.0771667,311.2115364
1999,3,64.00233333,-165.0066667,238.0390709
1999,4,64.00966667,-165.0025,440.662181
1999,5,64.00266667,-164.0093333,213.3171257
1999,6,64,-164.5928333,752.8925245
1999,8,64.0025,-164.214,803.8234894
1999,9,64.009,-163.8438333,328.8463995
1999,10,64.00233333,-163.4466667,555.8881925
1999,11,64.00416667,-163.0575,191.3865451
1999,12,64.00533333,-162.6951667,29.18547197
1999,13,64.00733333,-162.3263333,34.84680441
1999,14,64.17066667,-162.3121667,338.2969188
1999,15,64.33666667,-162.2845,93.22137782
1999,16,64.49883333,-162.2646667,732.9498137
1999,17,64.50383333,-165.747,135.6856482
1999,18,64.33483333,-166.1065,62.6177058
1999,19,64.33416667,-166.5133333,88.71313086
1999,20,64.1705,-166.4951667,350.2571412
1999,21,64.16866667,-166.114,558.5375028
1999,22,64.16666667,-165.7288333,101.2086488
1999,23,64.338,-165.749,1.846856205
1999,24,64.33883333,-165.3511667,2.905926785
1999,26,64.16766667,-165.3436667,131.7991698
1999,27,64.33083333,-164.966,151.3166348
1999,28,64.33466667,-164.972,86.62774826
1999,31,64.33716667,-164.5813333,448.4556647
1999,33,64.17766667,-164.5675,54.03111058
1999,34,64.174,-164.1903333,88.06121486
1999,35,64.33466667,-164.1968333,168.2936231
1999,36,64.502,-164.1998333,202.0597602
1999,37,64.50166667,-163.808,130.0521812
1999,38,64.33633333,-163.8221667,983.3235078
1999,39,64.17,-163.8261667,65.42209314
1999,40,64.33366667,-163.443,112.3443032
1999,41,64.16766667,-163.4301667,70.72236937
1999,44,64.17333333,-163.0763333,71.30578322
1999,46,64.1715,-162.7046667,29.20765738
1999,48,63.834,-163.0775,214.5248494
1999,50,63.83116667,-162.708,83.74419524
1999,51,63.83716667,-163.455,239.7507771
1999,52,63.83633333,-163.8371667,450.1482655
1999,53,63.8315,-164.2073333,742.1991038
1999,54,63.8395,-164.544,906.8453376
1999,55,63.836,-164.9765,135.0534425
1999,56,63.83966667,-165.3471667,80.53864637
1999,57,63.83566667,-165.7243333,208.0184337
1999,58,63.836,-166.1063333,394.9412463
1999,59,63.84583333,-166.463,124.8707184
1999,60,64.004,-166.8686667,410.4722515
1999,64,63.67233333,-164.5973333,54.62161452
2002,1,64.334,-165.3411667,74.90517896
2002,3,64.33483333,-164.9698333,93.06102364
2002,5,64.341,-164.6125,157.2830191
2002,6,64.33633333,-164.1936667,281.7174672
2002,7,64.5085,-164.1663333,391.8703552
2002,8,64.502,-163.7911667,187.9318293
2002,9,64.33733333,-163.7945,561.9008109
2002,10,64.32933333,-163.4451667,136.6573032
2002,12,64.494,-162.2638333,68.86127931
2002,13,64.335,-162.2861667,110.1716712
2002,14,64.17033333,-162.3201667,59.35369838
2002,15,64.00183333,-162.3338333,13.97426817
2002,16,63.99783333,-162.7033333,99.96159764
2002,17,64.1665,-162.6748333,44.51124697
2002,18,64.16716667,-163.0525,58.64660501
2002,19,63.9975,-163.0421667,33.96985395
2002,20,64.004,-163.4263333,26.61060764
2002,21,64.171,-163.3881667,33.65872462
