# Spcode.csv,,,,,,,,
# Derived from NOAA Species code book and NBS survey ,,,,,,,,
# Taxon.Confidence  indicates how confident  species Iding is. ,,,,,,,,
"# Taxon, Taxon2, Taxon3, Ecotype are arbitrary classifications to group individual species to some cohesive groups.",,,,,,,,
#,,,,,,,,
#,,,,,,,,
Spcode,me,Cme,Genus,Taxon.Confidence,Taxon,Taxon2,Taxon3,Ecotype
0,unknown,unknown,unknown,,unknown,Other,Other,Other
1,fish eggs unident.,fish egg,fishegg,High,Fishegg,Other,Other,Other
10,Petromyzontidae,Lamprey Unid.,Petromyzontidae,,,,,
20,Lampetra camtschatica,Arctic lamprey,Petromyzontidae,,,Other,Other,Other
2,Kelp,Kelp,Kelp,,Kelp,Other,Other,Other
401,Rajiformes,Skate Egg Case Unid.,,High,,Other,Other,Other
436,Bathyraja interrupta,Bering Skate Egg Case,,Moderate,,Other,Other,Other
471,Bathyraja parmifera,Alaska Skate,Bathyraja,High,Flat_O,Flatfish,vertebrate,Bottom-dwelling
473,Bathyraja aleutica,Aleutian Skate Egg Case,,,Flat_O,Flatfish,vertebrate,Bottom-dwelling
474,Bathyraja parmifera,Alaska Skate Egg Case,,Moderate,Flat_O,Flatfish,vertebrate,Bottom-dwelling
10001,Pleuronectiformes,flatfish unidentNone (prevNone flounder unidentNone),Pleuronectiformes,High,Flat_O,Flatfish,vertebrate,Bottom-dwelling
10110,Atheresthes stomias,Arrowtooth Flounder,,Moderate,Flat_O,Flatfish,vertebrate,Bottom-dwelling
10112,Atheresthes evermanni,Kamchatka Flounder,,Moderate,Flat_O,Flatfish,vertebrate,Bottom-dwelling
10115,Reinhardtius hippoglossoides,Greenland turbot,Reinhardtius,High,Flat_O,Flatfish,vertebrate,Bottom-dwelling
10120,Hippoglossus stenolepis,Pacific halibut,Hippoglossus,High,Flat_O,Flatfish,vertebrate,Bottom-dwelling
10130,Hippoglossoides elassodon,flathead sole,Hippoglossoides,Moderate,Flat_O,Flatfish,vertebrate,Bottom-dwelling
10140,Hippoglossoides robustus,Bering flounder,Hippoglossoides,Moderate,Flat_O,Flatfish,vertebrate,Bottom-dwelling
10155,Liopsetta glacialis (=Pleuronectes glacialis),Arctic flounder,Liopsetta,Low,Flat_O,Flatfish,vertebrate,Bottom-dwelling
10210,Limanda aspera,yellowfin sole,Limanda,High,Flat_LM,Flatfish,vertebrate,Bottom-dwelling
10200,Glyptocephalus zachirus,rex sole,,,Flat_LM,Flatfish,vertebrate,Bottom-dwelling
10211,Limanda proboscidea (=Pleuronectes proboscidea),longhead dab,Limanda,High,Flat_LM,Flatfish,vertebrate,Bottom-dwelling
10212,Limanda sakhalinensis,Sakhalin Sole,,High,Flat_LM,Flatfish,vertebrate,Bottom-dwelling
10220,Platichthys stellatus,starry flounder,Platichthys,High,Flatf_PA,Flatfish,vertebrate,Bottom-dwelling
10221,Platichthys stellatus X Pleuronectes quadrituberculatus,Hybrid starry flounder X Alaska plaice,Platichthys,High,Flatf_PA,Flatfish,vertebrate,Bottom-dwelling
10240,Clidoderma,roughscale sole,Clidoderma asperrimum,,Flat_O,Flatfish,vertebrate,Bottom-dwelling
10250,Psettichthys melanostictus,sand sole,Psettichthys,,Flat_O,Flatfish,vertebrate,Bottom-dwelling
