Spcode,Name,Cname,Genus,Taxon,Taxon2,Taxon3,Ecotype ,Taxon2_u
0,unknown,unknown,unknown,unknown,Other,Other,Other,Other
1,fish eggs unident.,fish egg,fishegg,Fishegg,Other,Other,Other,Other
2,Kelp,Kelp,Kelp,Kelp,Other,Other,Other,Other
471,Bathyraja parmifera,Alaska Skate,Bathyraja,Flat_O,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10001,Pleuronectiformes,flatfish unidentNone (prevNone flounder unidentNone),Pleuronectiformes,Flatf_PE,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10115,Reinhardtius hippoglossoides,Greenland turbot,Reinhardtius,Flat_O,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10120,Hippoglossus stenolepis,Pacific halibut,Hippoglossus,Flat_O,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10130,Hippoglossoides elassodon,flathead sole,Hippoglossoides,Flat_O,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10140,Hippoglossoides robustus,Bering flounder,Hippoglossoides,Flat_O,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10155,Liopsetta glacialis (=Pleuronectes glacialis),Arctic flounder,Liopsetta,Flat_O,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10210,Limanda aspera,yellowfin sole,Limanda,Flat_LM,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10211,Limanda proboscidea (=Pleuronectes proboscidea),longhead dab,Limanda,Flat_LM,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10220,Platichthys stellatus,starry flounder,Platichthys,Flatf_PA,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10221,Platichthys stellatus X Pleuronectes quadrituberculatus,Hybrid starry flounder X Alaska plaice,Platichthys,Flatf_PA,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10240,Clidoderma,roughscale sole,Clidoderma asperrimum,Flat_O,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10250,Psettichthys melanostictus,sand sole,Psettichthys,Flat_O,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10260,Lepidopsetta sp. (= Pleuronectes in part),rock sole spNone,Lepidopsetta,Flat_O,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10261,Lepidopsetta peracuata (=Pleuronectes perarcuatus),northern rock sole,Lepidopsetta,Flat_O,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10262,Lepidopsetta bilineata (prev. Pleuronectes bilineatus),southern rock sole,Lepidopsetta,Flat_O,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10270,Isopsetta isolepis (=Pleuronectes isolepis),butter sole,Isopsetta,Flat_O,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10280,Pleuronichthys decurrens,curlfin sole,Pleuronichthys,Flatf_PE,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10281,Pleuronichthys verticalis,hornyhead turbot,Pleuronichthys,Flatf_PE,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10285,Pleuronectes quadrituberculatus,Alaska plaice,Pleuronectes,Flatf_PE,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10290,Pleuronichthys coenosus,C-O sole,Pleuronichthys,Flatf_PE,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10291,Pleuronichthys sp.,None,Pleuronichthys,Flatf_PE,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10295,Pleuronichthys ritteri,Pleuronichthys ritteri,Pleuronichthys,Flatf_PE,Flatfish,vertebrate,Bottom-dwelling,Flatfish
10400,Symphurus atricauda,California tonguefish,Symphurus ,Flat_O,Flatfish,vertebrate,Bottom-dwelling,Flatfish
20000,Agonidae,poacher unidentNone,Agonidae,Poacher,Poacher,vertebrate,Bottom-dwelling,Poacher
20001,Pallasina barbata,tubenose poacher,Pallasina,Poacher,Poacher,vertebrate,Bottom-dwelling,Poacher
20006,Sarritor frenatus,sawback poacher,Sarritor,Poacher,Poacher,vertebrate,Bottom-dwelling,Poacher
20040,Podothecus acipenserinus (=Agonus acipenserinus),sturgeon poacher,Podothecus,Poacher,Poacher,vertebrate,Bottom-dwelling,Poacher
20041,Podothecus veternus,Veteran poacher,Podothecus,Poacher,Poacher,vertebrate,Bottom-dwelling,Poacher
20051,Aspidophoroides olriki,Arctic alligatorfish,Aspidophoroides,Poacher,Poacher,vertebrate,Bottom-dwelling,Poacher
20060,Occella verrucosa,warty poacher,Occella,Poacher,Poacher,vertebrate,Bottom-dwelling,Poacher
20061,Occella dodecaedron,Bering poacher,Occella,Poacher,Poacher,vertebrate,Bottom-dwelling,Poacher
20202,Ammodytes hexapterus,Pacific sand lance,Ammodytes,Sandlance,bottom_f,vertebrate,Bottom-dwelling,bottom_f
20322,Anarhichas orientalis,Bering wolffish,Anarhichas,Wolffish,bottom_f,vertebrate,Bottom-dwelling,bottom_f
21110,Clupea pallasi  (=Clupea harengus pallasi),Pacific herring,Clupea,Herring,swim_f,vertebrate,Swimmer,swim_f
21300,Cottidae,sculpin unidentNone,Cottidae,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21313,Gymnocanthus sp.,None,Gymnocanthus,Sculpn_G,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21314,Gymnocanthus pistilliger,threaded sculpin,Gymnocanthus,Sculpn_G,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21315,Gymnocanthus tricuspis,Arctic staghorn sculpin,Gymnocanthus,Sculpn_G,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21331,Artediellus sp.,None,Artediellus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21332,Artediellus miacanthus,bride sculpin  (Northern hookear sculpin),Artediellus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21334,Artediellus scaber,hamecon,Artediellus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21335,Artediellus uncinatus,Arctic hookear sculpin,Artediellus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21339,Malacocottus sp.,None,Malacocottus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21341,Malacocottus zonurus,darkfin sculpin,Malacocottus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21342,Hemilepidotus sp.,Irish lord,Hemilepidotus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21346,Hemilepidotus hemilepidotus,red Irish lord,Hemilepidotus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21347,Hemilepidotus jordani,yellow Irish lord,Hemilepidotus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21348,Hemilepidotus papilio  (=Melletes papilio),butterfly sculpin,Hemilepidotus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21350,Triglops sp.,None,Triglops,Sculpn_T,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21353,Triglops metopias,crescent-tail sculpin,Triglops,Sculpn_T,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21355,Triglops pingeli,ribbed sculpin,Triglops,Sculpn_T,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21356,Triglops macellus,roughspine sculpin,Triglops,Sculpn_T,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21360,Microcottus sellaris,brightbelly sculpin,Microcottus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21368,Myoxocephalus verrucosus(=M. groenlandicus=M. scorpius),warty sculpin  (=shorthorned sculpin),Myoxocephalus,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21370,Myoxocephalus polyacanthocephalus,great sculpin,Myoxocephalus,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21371,Myoxocephalus jaok,plain sculpin,Myoxocephalus,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21373,Myoxocephalus stelleri (=M. stelleri mednius),frog sculpin,Myoxocephalus,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21375,Myoxocephalus sp.,Myoxocephalus unidentified,Myoxocephalus,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21376,Megalocottus platycephalus,belligerent sculpin,Megalocottus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21377,Myoxocephalus quadricornis,fourhorn sculpin,Myoxocephalus,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21378,Myoxocephalus scorpioides,Arctic sculpin,Myoxocephalus,Sculpn_M,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21380,Leptocottus armatus,Pacific staghorn sculpin,Leptocottus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21384,Enophrys sp.,None,Enophrys,Sculpn_E,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21387,Enophrys lucasi,leister sculpin,Enophrys,Sculpn_E,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21388,Enophrys diceraus  (=Enophrys claviger),antlered sculpin,Enophrys,Sculpn_E,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21390,Dasycottus setiger,spinyhead sculpin,Dasycottus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21393,Psychrolutes sp.,None,Psychrolutes,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21394,Psychrolutes paradoxus,tadpole sculpin,Psychrolutes,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21397,Blepsias bilobus,crested sculpin,Blepsias,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21405,Nautichthys pribilovius,eyeshade sculpin,Nautichthys,Sculpn_N,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21423,Eurymen gyrinus,smoothcheek sculpin,Eurymen,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21438,Icelus spiniger,thorny sculpin,Lcelus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21446,Icelus sp.,None,Lcelus,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling,Sculpin
21720,Gadus macrocephalus,Pacific cod,Gadus,Gadids_O,Gadids,vertebrate,Bottom-dwelling,Gadids
21725,Boreogadus saida,Arctic cod,Boreogadus,Gadids_O,Gadids,vertebrate,Bottom-dwelling,Gadids
21735,Eleginus gracilis,saffron cod,Eleginus,Gadids_E,Gadids,vertebrate,Bottom-dwelling,Gadids
21740,Theragra chalcogramma,walleye pollock,Theragra,Gadids_O,Gadids,vertebrate,Bottom-dwelling,Gadids
21753,Pungitius pungitius,ninespine stickleback,Pungitius,Gadids_O,Gadids,vertebrate,Bottom-dwelling,Gadids
21900,Hexagrammidae,greenling unidentNone,Hexagrammidae,Greeling,Greeling,vertebrate,Bottom-dwelling,Greenling
21910,Ophiodon elongatus,lingcod,Ophiodon,Greeling,Greeling,vertebrate,Bottom-dwelling,Greenling
21915,Oxylebius pictus,painted greenling,Oxylebius ,Greeling,Greeling,vertebrate,Bottom-dwelling,Greenling
21921,Pleurogrammus monopterygius,Atka mackerel,Pleurogrammus,Greeling,Greeling,vertebrate,Bottom-dwelling,Greenling
21930,Hexagrammos sp.,None,Hexagrammos,Greeling,Greeling,vertebrate,Bottom-dwelling,Greenling
21931,Hexagrammos octogrammus,masked greenling,Hexagrammos,Greeling,Greeling,vertebrate,Bottom-dwelling,Greenling
21932,Hexagrammos stelleri,whitespotted greenling,Hexagrammos,Greeling,Greeling,vertebrate,Bottom-dwelling,Greenling
21934,Hexagrammos lagocephalus,rock greenling,Hexagrammos,Greeling,Greeling,vertebrate,Bottom-dwelling,Greenling
21935,Hexagrammos decagrammus,kelp greenling,Hexagrammos,Greeling,Greeling,vertebrate,Bottom-dwelling,Greenling
21936,Zaniolepis latipinnis,longspine combfish,Zaniolepis ,Greeling,Greeling,vertebrate,Bottom-dwelling,Greenling
21937,Icosteus aenigmaticus,ragfish,Icosteus,Greeling,Greeling,vertebrate,Bottom-dwelling,Greenling
22178,Eumicrotremus orbis,Pacific spiny lumpsucker,Eumicrotremus,Lumpsucker,bottom_f,vertebrate,Bottom-dwelling,bottom_f
22200,Cyclopteridae (Liparidinae),snailfish unidentNone,Cyclopteridae,Snailfish,bottom_f,vertebrate,Bottom-dwelling,bottom_f
22201,Liparis sp.,Snailfish unidentified,Liparis,Snailfish,bottom_f,vertebrate,Bottom-dwelling,bottom_f
22205,Liparis gibbus (=Liparis cyclostigma),dusky snailfish (prevNone variegated snailfish),Liparis,Snailfish,bottom_f,vertebrate,Bottom-dwelling,bottom_f
22213,Liparis rutteri,ringtail snailfish,Liparis,Snailfish,bottom_f,vertebrate,Bottom-dwelling,bottom_f
23041,Mallotus villosus,capelin,Mallotus,Smelt,swim_f,vertebrate,Swimmer,swim_f
23055,Osmerus mordax,rainbow smelt,Osmerus,Smelt,swim_f,vertebrate,Swimmer,swim_f
23201,Salmonidae,salmon and trouts unidentNone(prevNone salmon unidentNone),Salmonidae,Salmon,swim_f,vertebrate,Swimmer,swim_f
23220,Oncorhynchus tshawytscha,chinook salmon,Oncorhynchus,Salmon,swim_f,vertebrate,Swimmer,swim_f
23225,Oncorhynchus kisutch,coho salmon,Oncorhynchus,Salmon,swim_f,vertebrate,Swimmer,swim_f
23235,Oncorhynchus keta,chum salmon,Oncorhynchus,Salmon,swim_f,vertebrate,Swimmer,swim_f
23240,Oncorhynchus nerka,sockeye salmon,Oncorhynchus,Salmon,swim_f,vertebrate,Swimmer,swim_f
23801,Lumpenus sp.,None,Lumpenus,Prickl_L,Prickleback,vertebrate,Bottom-dwelling,Prickleback
23803,Eumesogrammus praecisus,fourline snakeblenny,Eumesogrammus,Prickl_O,Prickleback,vertebrate,Bottom-dwelling,Prickleback
23804,Stichaeus punctatus,Arctic shanny,Stichaeus,Prickl_O,Prickleback,vertebrate,Bottom-dwelling,Prickleback
23805,Lumpenus maculatus  (=Leptoclinus maculatus),daubed shanny,Lumpenus,Prickl_L,Prickleback,vertebrate,Bottom-dwelling,Prickleback
23806,Lumpenus medius,stout eelblenny,Lumpenus,Prickl_L,Prickleback,vertebrate,Bottom-dwelling,Prickleback
23807,Lumpenus fabricii,slender eelblenny,Lumpenus,Prickl_L,Prickleback,vertebrate,Bottom-dwelling,Prickleback
23808,Lumpenus sagitta,snake prickleback,Lumpenus,Prickl_L,Prickleback,vertebrate,Bottom-dwelling,Prickleback
23809,Acantholumpenus mackayi,pighead prickleback,Acantholumpenus,Prickl_O,Prickleback,vertebrate,Bottom-dwelling,Prickleback
23841,Chirolophis decoratus,decorated warbonnet,Chirolophis,Warbonnet,bottom_f,vertebrate,Bottom-dwelling,bottom_f
23843,Chirolophis snyderi,bearded warbonnet,Chirolophis,Warbonnet,bottom_f,vertebrate,Bottom-dwelling,bottom_f
24100,Zoarcidae,eelpout unidentNone,Zoarcidae,Eelpout,Eelpout,vertebrate,Bottom-dwelling,Eelpout
24180,Lycodes sp.,None,Lycodes,Eelpout,Eelpout,vertebrate,Bottom-dwelling,Eelpout
24184,Lycodes raridens,marbled eelpout  (prevNone sparse toothed lycod),Lycodes,Eelpout,Eelpout,vertebrate,Bottom-dwelling,Eelpout
24185,Lycodes palearis,wattled eelpout,Lycodes,Eelpout,Eelpout,vertebrate,Bottom-dwelling,Eelpout
24187,Lycodes concolor (=Lycodes soldatovi),ebony eelpout  (prevNone marbled eelpout),Lycodes,Eelpout,Eelpout,vertebrate,Bottom-dwelling,Eelpout
24188,Lycodes polaris,Canadian eelpout,Lycodes,Eelpout,Eelpout,vertebrate,Bottom-dwelling,Eelpout
24189,Lycodes turneri,polar eelpout,Lycodes,Eelpout,Eelpout,vertebrate,Bottom-dwelling,Eelpout
24191,Lycodes brevipes,shortfin eelpout,Lycodes,Eelpout,Eelpout,vertebrate,Bottom-dwelling,Eelpout
24192,Gymnelus viridis,fish doctor,Gymnelus,Eelpout,Eelpout,vertebrate,Bottom-dwelling,Eelpout
40001,Cnideria (phylum)  (Coelenterata),coelenterate unidentNone,Cnideria,Coral,Coral,Invertebrate,Filter-feeder,Coral
40010,Hydrozoa (class),None,Hydrozoa,Hydra,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
40011,Hydroid sp.,Hydroid unidentNone,Hydroid,Hydra,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
40020,Hydractinia sp.,None,Hydractinia,Hydra,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
40050,Sertularia robusta,None,Sertularia,Hydra,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
40500,Scyphozoa (class),jellyfish unidentNone,Scyphozoa,Jellyfish,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
40501,Chrysaora sp.,chrysaora jellyfish,Chrysaora,Jellyfish,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
41201,Gersemia sp.  (=Eunephthya sp.),sea raspberry,Gersemia,Sea raspberry,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
41221,Gersemia rubiformis  (=Eunephthya rubiformis),None,Gersemia,Sea raspberry,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
41500,Gorgonacea (order),coral unidentNone,Gorgonacea,Coral,Coral,Invertebrate,Filter-feeder,Coral
41520,Primona sp. ,None,Primona,Coral,Coral,Invertebrate,Filter-feeder,Coral
41530,Primnoa willeyi,None,Primona,Coral,Coral,Invertebrate,Filter-feeder,Coral
41540,Antipathes sp.,None,Antipathes,Coral,Coral,Invertebrate,Filter-feeder,Coral
41550,Parantipathes sp.,None,Parantipathes,Coral,Coral,Invertebrate,Filter-feeder,Coral
41570,Swiftia sp.,None,Swiftia,Coral,Coral,Invertebrate,Filter-feeder,Coral
41580,Paragorgia sp.,None,Paragorgia,Coral,Coral,Invertebrate,Filter-feeder,Coral
41582,Paragorgia arborea,None,Paragorgia,Coral,Coral,Invertebrate,Filter-feeder,Coral
41600,Callogorgia sp.,None,Callogorgia,Coral,Coral,Invertebrate,Filter-feeder,Coral
41700,Calcigorgia sp.,None,Calcigorgia,Coral,Coral,Invertebrate,Filter-feeder,Coral
42001,Virgularia sp.,smoothstem seawhip,Virgularia,Coral,Coral,Invertebrate,Filter-feeder,Coral
42003,Virgularidae,sea whip unidentNone,Virgularia,Coral,Coral,Invertebrate,Filter-feeder,Coral
42004,Stylatula sp.,slender seawhip,Stylatula ,Coral,Coral,Invertebrate,Filter-feeder,Coral
42005,Stylatula gracile,roughstem seawhip,Stylatula ,Coral,Coral,Invertebrate,Filter-feeder,Coral
42008,Pavonaria sp.,None,Pavonaria,Coral,Coral,Invertebrate,Filter-feeder,Coral
42010,Pavonaria finmarchica,None,Pavonaria,Coral,Coral,Invertebrate,Filter-feeder,Coral
42015,Umbellula sp.,None,Umbellula,Coral,Coral,Invertebrate,Filter-feeder,Coral
42017,Ptilosarcus gurneyi (=Leioptilus gurneyi),None,Ptilosarcus,Coral,Coral,Invertebrate,Filter-feeder,Coral
43000,Actiniaria (order),sea anemone unidentNone,Actiniaria,Sea anemone,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
43010,Metridium sp.,None,Metridium,Sea anemone,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
43020,Metridium senile,None,Metridium,Sea anemone,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
43040,Tealia sp.,Sea anemone,Tealia,Sea anemone,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
43082,Cribrinopsis fernaldi,None,Cribrinopsis ,Sea anemone,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
44000,Scleractinia unident.,stony coral unidentNone,Scleractinia,Coral,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
45000,Ctenophora (phylum),comb jelly unidentNone,Ctenophora,Jellyfish,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
50000,Polychaeta (class),polychaete worm unidentNone,Polychaeta,Worm,Invertebrate,Invertebrate,Detribor,Invertebrate
