# Station.csv ,,,,,,,
"# This includes standard station lat long and ADFG, NMFS station conversion and Area the station represents",,,,,,,
"# ADFG_Tier:  C: core. Tier 1, 2, 3, O: station within NS but out of standard Survey station,  ONS: stations out of Norton Sound",,,,,,,
"# NOAA_tier S: NBS survey station,  CPT_STD: S  1976-91 NMFS standard stations   ",,,,,,,
#,,,,,,,
#,,,,,,,
Latitude,Longitude,ADFG_Station,NMFS_Station,Area_Nm2,ADFG_tier,NOAA_tier,CPT_STD
63,-164.97,1,A11,100,O,O,O
63,-165.3355,2,A12,100,O,O,O
63,-165.701,3,A13,100,O,O,O
63,-166.0665,4,A14,100,O,O,O
63,-166.432,5,A15,225,O,O,O
63,-166.7973333,6,A16,225,O,O,O
63,-167.1628333,7,A17,225,ONS,O,O
63,-167.5283333,8,A18,225,ONS,O,O
63,-167.8938333,9,A19/N009,225,ONS,O,O
63.0305,-168.61775,10,A21/N009AB,225,ONS,O,O
63.06666667,-169.1166667,11,A22,,ONS,O,O
63.1667,-163.0775,15,B06,100,O,O,O
63.1667,-163.456,16,B07,100,O,O,O
63.16666667,-164.97,17,B11,100,O,O,O
63.16666667,-165.3375,18,B12,100,O,O,O
63.16666667,-165.7051667,19,B13,100,O,O,O
63.16666667,-166.0726667,20,B14,100,O,O,O
63.16666667,-166.4403333,21,B15,225,O,O,O
63.16666667,-166.8078333,22,B16,225,O,O,O
63.16666667,-167.1755,23,B17,225,ONS,O,O
63.16666667,-167.543,24,B18/N024,225,ONS,O,O
63.16666667,-167.9106667,25,B19/N025,225,ONS,O,O
63.21941667,-168.5448333,26,B21/N044A,,ONS,O,O
63.33333333,-162.7518333,30,C05,100,O,O,O
63.33333333,-163.1215,31,C06,100,O,O,O
63.33333333,-163.4911667,32,C07,100,O,O,O
63.33333333,-163.8608333,33,C08,100,O,O,O
63.33333333,-164.2306667,34,C09,100,O,O,O
63.33333333,-164.6003333,35,C10,100,O,O,O
63.33333333,-164.97,36,C11,100,O,O,O
63.33333333,-165.3396667,37,C12,100,O,O,O
63.33333333,-165.7093333,38,C13,100,O,S,O
63.33333333,-166.0791667,39,C14,100,O,S,O
63.33333333,-166.4488333,40,C15,225,O,S,O
63.33333333,-166.8185,41,C16,225,O,O,O
63.33333333,-167.1881667,42,C17,225,ONS,O,O
