spcode,_NAME_,_1976,_1979,_1982,_1985,_1988,_1991,_1996,_1999,_2002,_2006,_2008,_2010,_2011,_2014
10120,CPUEIND,,,,19.670861884,4.0267480058,30.547438529,232.86254509,,26.139914538,41.493570302,124.73371168,58.083056239,17.627594801,52.732265162
10210,CPUEIND,13.841722106,41.286670496,180.78467727,241.96401097,201.59136786,98.761149641,188.45627324,110.43135798,169.19030331,372.14677483,171.60886783,110.12988549,110.92473474,118.64345273
10220,CPUEIND,44.229704978,71.481988284,97.705677925,111.37038118,172.57113584,101.88923618,221.30449938,265.77988174,150.59009533,265.64312449,187.28940987,196.81544318,188.87614959,192.47552451
10260,CPUEIND,,,,,,1.5681793159,,8.1429694317,2.214389778,14.866760596,22.610718329,14.325025503,,16.867149555
10285,CPUEIND,8.1199430284,38.245082618,100.44341018,57.86821715,90.725671458,67.101836198,84.0397666,73.387942295,45.600493578,148.3828561,66.417149985,86.121515823,48.015861938,48.151535014
20322,CPUEIND,2.6260057602,1.3187224502,1.2089566073,8.3789990889,4.4421823988,2.5033056855,10.301128202,0.9163186629,0.7146599053,6.8772487866,15.690612042,0.0127272727,,6.2304380973
21313,CPUEIND,3.3817584933,1.6500222661,5.0332201436,24.845830324,17.233819936,4.8036315454,14.624627954,6.3284050212,7.3926094404,9.5119479119,5.4360197108,4.0129956212,4.0263187376,9.3259007096
21720,CPUEIND,,0.0212394698,,26.243199774,7.5960576505,9.3124678769,,10.364682673,5.9602047775,67.729835939,213.45910389,,0.1519258409,10.537792043
21725,CPUEIND,7.5309533449,0.9765694395,1.9687275899,19.77265868,1.9520163756,2.0934231541,,5.7830992246,4.1548503138,34.920770773,9.624309308,8.7171470993,0.7274308179,3.7651834202
21735,CPUEIND,226.34242551,756.39749565,288.93401227,702.59551889,1025.0342195,1024.6866768,749.35629215,174.30325175,341.15359118,451.3879124,424.69095071,439.8226695,231.67013392,1007.1879296
21740,CPUEIND,0.4188034623,1.1837819474,0.0981301191,6.8329092784,6.4541809062,34.833362467,20.170130073,0.755045328,10.914785886,8.3483339328,7.5374461522,1.1787344383,0.027064764,2.8174587456
23055,CPUEIND,6.8364528292,14.018723162,7.492736139,27.023989992,12.841526354,35.812008716,18.850825851,7.8381526269,9.0918676303,23.642297777,7.325704602,2.3243442444,8.0811705923,4.1222099309
