year,station,_NAME_,_10210,_10285,_21725,_21735,_23055,_43000,_69010,_80200,_81742,_10220,_21313,_68577,_68580,_69322,_80020,_80595,_82510,_83020,_98000,_21740,_71882,_71884,_68781,_75284,_81095,_20322,_21720,_10120,_10260
1976,78,cpue,6.023140196,17.072945188,5.026664796,166.74355028,0.9964754001,0.2214389778,51.573137928,11.07194889,217.01019824,,,,,,,,,,,,,,,,,,,,
1976,80,cpue,15.05785049,30.137844878,0.9964754001,773.41991775,5.026664796,,442.59008492,161.65045379,834.82494629,532.33930262,4.0080454981,0.2214389778,4.0080454981,40.169030572,17.715118224,13.286338668,6.6431693339,25.111180082,146.14972534,,,,,,,,,,
1976,81,cpue,9.034710294,10.053329592,,268.18474601,27.12627478,,110.6530572,161.65045379,391.9469907,20.084515286,5.026664796,4.4287795559,5.026664796,130.58256521,130.6489969,22.14389778,2.214389778,12.046280392,70.860472894,2.0150946979,27.12627478,47.210790066,,,,,,,
1976,103,cpue,72.699470881,30.604975674,0.7592193524,313.76005105,3.0537489509,,33.557495378,168.71541165,1462.762619,30.604975674,,,,30.604975674,20.245849398,0.1687154117,,,,,,2.2945295985,0.7592193524,,,,,,
1976,104,cpue,8.4659617616,4.2329808808,,103.19522553,12.68029515,,39.141087528,100.69646148,203.25767225,50.758475584,,,,67.671751614,,,,,7.4589971468,0.839137179,,5.0721180598,,1.6969218509,,,,,
1976,105,cpue,30.137844878,50.222360164,,699.0828529,30.137844878,,88.531303323,292.29945069,704.17594939,331.47200586,5.026664796,0.8857559112,8.038234894,367.61084704,130.6489969,0.8857559112,,2.214389778,6.6431693339,0.9964754001,,,,0.9964754001,,,,,
1976,106,cpue,,9.461957263,4.7309786315,548.31417099,37.806146421,0.4168263111,351.86393055,360.55475914,737.78257072,160.70738426,9.461957263,12.504789334,0.9378592001,357.34519654,170.89878757,20.841315557,,43.495825568,41.682631114,1.8965597157,,0.9378592001,,,0.8336526223,,,,
1976,107,cpue,,,10.053329592,17.072945188,19.088039886,,303.99142872,181.57996179,201.50946979,,0.9964754001,13.286338668,13.06489969,,201.50946979,95.218760452,4.4287795559,,513.73842848,,31.134320278,145.6404157,,4.0080454981,2.214389778,,,,
1976,123,cpue,1.7911952871,1.7911952871,0.8857559112,4.4681464853,0.8857559112,,28.048937187,,70.860472894,,,,,,,,11.810078816,,,,,,6.2593417723,,,,,,
1976,124,cpue,2.3029653691,5.7447597668,4.5806234264,20.650766386,1.1388290287,,,,,,,,,,,,,,,,,,,,,,,,
1976,125,cpue,31.060507285,,53.570517508,102.84216633,11.786458658,460.59307381,223.32859041,439.33493195,8321.3815336,32.147034536,3.2123414379,,1.0629070934,,85.032567473,0.4724031526,61.412409842,,66.136441368,,7.5112101268,,117.86458658,57.84576604,,,,,
1976,126,cpue,18.90307321,12.296376179,75.633134157,293.07057937,0.9378592001,18.757184001,528.91090621,525.20115204,6004.383012,28.365030473,0.9378592001,2.0841315557,0.9378592001,321.41476852,454.34067915,0.6252394667,283.44189158,48.205962884,45.850894226,,42.537125052,17.006513495,259.97457026,25.530611558,,,,,
1976,127,cpue,0.3643677726,,0.0905886727,16.434798316,2.0996441258,,1.505785049,7.8510183036,57.574134227,1.6426745989,,,,,0.6039244849,0.0402616323,0.2013081616,0.0201308162,0.6039244849,,,0.7307486267,0.3643677726,0.1831904271,,,,,
