length,New86,Old86,New87,Old87,New88,Old88,New89,Old89,New90,Old90,New92,Old92,New93,Old93,New94,Old94,New95,Old95
58,0,0,0,0,3,0,0,0,0,0,4,0,0,0,1,1,5,0
60,0,0,5,0,0,0,1,0,6,6,2,0,0,0,4,7,2,0
62,0,0,6,0,3,0,6,1,5,3,8,0,0,0,8,7,2,0
64,0,0,11,0,1,1,6,3,4,2,9,0,0,0,11,12,1,0
66,0,0,10,0,1,1,15,0,4,3,11,0,0,0,8,15,0,0
68,0,0,16,0,2,0,9,7,9,0,14,1,0,0,11,13,8,0
70,1,0,15,0,3,0,16,2,11,1,14,0,0,0,17,6,1,0
72,0,0,17,0,2,0,25,6,12,2,17,2,0,0,16,15,7,0
74,0,0,20,1,2,1,42,2,15,2,12,3,0,0,11,11,9,0
76,0,0,41,0,2,1,32,7,21,1,16,2,0,0,5,13,3,0
78,3,0,49,1,6,2,45,6,33,3,20,3,0,0,7,14,5,0
80,2,0,45,0,9,1,36,8,28,2,21,0,0,0,15,11,11,0
82,2,0,61,0,10,3,38,11,18,1,30,5,0,0,12,14,6,1
84,2,0,55,1,13,4,51,11,33,2,37,3,0,0,15,21,4,0
86,5,0,58,3,18,4,37,14,25,2,29,1,0,0,19,36,7,0
88,12,0,70,2,22,2,42,8,23,3,42,3,0,0,16,19,5,0
90,3,0,101,9,27,9,50,11,24,2,34,3,1,0,31,26,5,0
92,5,0,83,8,28,4,62,23,32,1,32,1,2,0,11,26,7,1
94,6,0,87,7,54,12,55,20,35,5,37,1,2,1,28,43,8,2
96,13,1,85,4,61,11,44,20,31,5,34,5,8,0,31,41,2,0
98,23,1,70,15,69,15,53,31,21,6,37,5,10,0,24,48,7,0
100,29,1,75,13,83,14,35,25,32,7,36,5,4,0,26,39,2,0
102,28,0,62,8,77,17,29,13,20,4,27,7,1,0,17,34,1,0
104,12,0,21,4,56,13,17,16,6,1,13,4,0,0,10,24,4,0
106,4,1,13,1,25,13,3,7,2,2,4,1,0,0,4,10,1,0
108,1,0,2,0,12,4,3,2,7,0,1,0,0,0,4,4,0,0
110,1,0,1,0,6,2,1,0,2,0,1,0,0,0,1,4,0,0
112,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
